"id","question_text","company","date","interview_id"
"q1","Как работают эвенты в DOM","BetBoom","2024-10-08","interview_BetBoom_000"
"q2","Event loop","BetBoom","2024-10-08","interview_BetBoom_000"
"q3","Этапы построения отрисовки страницы в браузере","BetBoom","2024-10-08","interview_BetBoom_000"
"q4","Семантическая верстка","BetBoom","2024-10-08","interview_BetBoom_000"
"q5","В чем отличие Grid от Flexbox","BetBoom","2024-10-08","interview_BetBoom_000"
"q6","Связь классов и прототипов в JS","BetBoom","2024-10-08","interview_BetBoom_000"
"q7","Как без классов реализовать constructor","BetBoom","2024-10-08","interview_BetBoom_000"
"q8","Как сымитировать класс на обычной функции","BetBoom","2024-10-08","interview_BetBoom_000"
"q9","Какие хуки в React знаете и используете","BetBoom","2024-10-08","interview_BetBoom_000"
"q10","Когда использовать хуки useCallback или useMemo","BetBoom","2024-10-08","interview_BetBoom_000"
"q11","useRef для чего нужен","BetBoom","2024-10-08","interview_BetBoom_000"
"q12","Чем отличается useLayoutEffect от useEffect","BetBoom","2024-10-08","interview_BetBoom_000"
"q13","Что такое рендеринг в React","BetBoom","2024-10-08","interview_BetBoom_000"
"q14","Что такое виртуальный DOM","BetBoom","2024-10-08","interview_BetBoom_000"
"q15","Можно ли в теории обойтись без использования виртуального DOM","BetBoom","2024-10-08","interview_BetBoom_000"
"q16","Что такое Enum и почему его не любят","BetBoom","2024-10-08","interview_BetBoom_000"
"q17","Какие анимации делали","BetBoom","2024-10-08","interview_BetBoom_000"
"q18","Как следить за производительностью приложений","BetBoom","2024-10-08","interview_BetBoom_000"
"q19","Из-за чего может тормозить страница","BetBoom","2024-10-08","interview_BetBoom_000"
"q1","Реализовать тип ValueOf, который получает значения всех ключей объекта, например для объекта user = { name: 'John', email: 'John@gmail.com', city: 'NY' } тип ValueOf должен быть 'John' | 'John@gmail.com' | 'NY'","BetBoom","2024-10-08","interview_BetBoom_000"
"q1","Расскажи о себе.","BetBoom","2024-09-24","interview_BetBoom_001"
"q2","Что ищешь?","BetBoom","2024-09-24","interview_BetBoom_001"
"q3","Где у вас было SEO (метаданные)?","BetBoom","2024-09-24","interview_BetBoom_001"
"q4","Как ты начал свой путь в программировании?","BetBoom","2024-09-24","interview_BetBoom_001"
"q5","Был ли опыт работы с PHP?","BetBoom","2024-09-24","interview_BetBoom_001"
"q6","Что такое CORS и для чего он нужен?","BetBoom","2024-09-24","interview_BetBoom_001"
"q7","Что такое куки? Как они появляются, как передаются, где они могут добавляться?","BetBoom","2024-09-24","interview_BetBoom_001"
"q8","Что означает Security Policy?","BetBoom","2024-09-24","interview_BetBoom_001"
"q9","Все про прототипы.","BetBoom","2024-09-24","interview_BetBoom_001"
"q10","В чем разница между prototype и __proto__?","BetBoom","2024-09-24","interview_BetBoom_001"
"q11","Map, Set.","BetBoom","2024-09-24","interview_BetBoom_001"
"q12","Promise.","BetBoom","2024-09-24","interview_BetBoom_001"
"q13","Делаем запрос через await, что возвращает await?","BetBoom","2024-09-24","interview_BetBoom_001"
"q14","Микро- и макрозадачи.","BetBoom","2024-09-24","interview_BetBoom_001"
"q15","Замыкание в JS: для чего нужно?","BetBoom","2024-09-24","interview_BetBoom_001"
"q16","Virtual DOM.","BetBoom","2024-09-24","interview_BetBoom_001"
"q17","Utility Types: какие знаешь, какие использовал?","BetBoom","2024-09-24","interview_BetBoom_001"
"q18","Enum: что по умолчанию возвращает при обращении к ключу? Какие типы у Enum?","BetBoom","2024-09-24","interview_BetBoom_001"
"q19","Как компилируются const в TypeScript?","BetBoom","2024-09-24","interview_BetBoom_001"
"q20","Как заморозить объект?","BetBoom","2024-09-24","interview_BetBoom_001"
"q21","Способы изоляции стилей.","BetBoom","2024-09-24","interview_BetBoom_001"
"q22","Каскад в CSS.","BetBoom","2024-09-24","interview_BetBoom_001"
"q23","Специфичность в CSS.","BetBoom","2024-09-24","interview_BetBoom_001"
"q24","event.stopPropagation(): для чего нужен?","BetBoom","2024-09-24","interview_BetBoom_001"
"q25","Что будет, если кликнуть на потомка через родителя?","BetBoom","2024-09-24","interview_BetBoom_001"
"q26","На одном уровне два HTML-элемента: чем обернуть?","BetBoom","2024-09-24","interview_BetBoom_001"
"q1","Реализовать вызов функции foo(a, b = 4, c = 5) так, чтобы сумма аргументов была равна 18, при этом второй параметр должен использовать дефолтное значение.","BetBoom","2024-09-24","interview_BetBoom_001"
"q2","Объяснить поведение this в объекте bet с методом getBetType и при вызове getType, который ссылается на bet.getBetType, а также почему при вызове getType() выводится значение глобальной переменной type.","BetBoom","2024-09-24","interview_BetBoom_001"
"q1","event-loop","BetBoom","2024-04-03","interview_BetBoom_002"
