"id","question_text","company","date","interview_id"
"q1","Работал ли с graphql?","Северсталь","2025-06-11","interview_Северсталь_000"
"q2","Почему уходишь с текущего места работы?","Северсталь","2025-06-11","interview_Северсталь_000"
"q3","Через сколько сможешь выйти на работу, если дадут оффер?","Северсталь","2025-06-11","interview_Северсталь_000"
"q4","Куда хочешь развиваться?","Северсталь","2025-06-11","interview_Северсталь_000"
"q5","Делаешь ли пет проекты?","Северсталь","2025-06-11","interview_Северсталь_000"
"q6","Что изучаешь нового и как развиваешься?","Северсталь","2025-06-11","interview_Северсталь_000"
"q7","Какие книги читаешь?","Северсталь","2025-06-11","interview_Северсталь_000"
"q8","Какие у тебя увлечения вне работы?","Северсталь","2025-06-11","interview_Северсталь_000"
"q9","Каковы твои ожидания по зарплате?","Северсталь","2025-06-11","interview_Северсталь_000"
"q10","Как будешь выбирать место работы, если на руках несколько офферов?","Северсталь","2025-06-11","interview_Северсталь_000"
"q11","В каком городе живешь (чтобы знать к какому офису прикреплять при трудоустройстве)?","Северсталь","2025-06-11","interview_Северсталь_000"
"q1","Что такое type guards","Северсталь","2024-11-20","interview_Северсталь_001"
"q2","Написать type guard для типов User и Admin, чтобы определить, является ли объект User","Северсталь","2024-11-20","interview_Северсталь_001"
"q3","Протипизировать функцию callFn так, чтобы она принимала объект с обязательными полями name: string и fn: () => void и не ругалась на дополнительные поля","Северсталь","2024-11-20","interview_Северсталь_001"
"q4","Реализовать функцию, которая получает список предметов с сервера через getServerItemsApi(), получает список предметов из Steam через getSteamItemsApi() и фильтрует список Steam, оставляя только те предметы, которых нет на сервере","Северсталь","2024-11-20","interview_Северсталь_001"
"q1","Всплытия события","Северсталь","2024-11-15","interview_Северсталь_002"
"q2","Что такое capture: true в обработчиках событий","Северсталь","2024-11-15","interview_Северсталь_002"
"q3","Почему после изменения CSS не изменился цвет элемента","Северсталь","2024-11-15","interview_Северсталь_002"
"q4","Объясните и примените git bisect для поиска ошибки в коде","Северсталь","2024-11-15","interview_Северсталь_002"
"q5","Что такое errorBoundary и как его использовать для обработки ошибок в React","Северсталь","2024-11-15","interview_Северсталь_002"
"q6","Как предотвратить ошибку в одном виджете, чтобы она не влияла на работу всего приложения","Северсталь","2024-11-15","interview_Северсталь_002"
"q7","Обнаружена ошибка в коде компонента, как ее исправить","Северсталь","2024-11-15","interview_Северсталь_002"
"q8","Что означают HTTP коды 400 и 500, в чем их различия","Северсталь","2024-11-15","interview_Северсталь_002"
"q1","Исправить React-компонент, который должен выводить текущее значение вертикального скролла окна (window.scrollY) и после монтирования асинхронно получить число и вывести его, найти, объяснить и исправить все проблемы в реализации","Северсталь","2024-11-15","interview_Северсталь_002"
"q1","Мутирующие и не мутирующие методы массива","Северсталь","2024-11-05","interview_Северсталь_003"
"q2","Получить список предметов из сервера с помощью getServerItemsApi()","Северсталь","2024-11-05","interview_Северсталь_003"
"q3","Получить список предметов у клиента с помощью getClientItemsApi()","Северсталь","2024-11-05","interview_Северсталь_003"
"q4","Отфильтровать список предметов клиента, оставив только те, которых нет на сервере","Северсталь","2024-11-05","interview_Северсталь_003"
"q5","Добавить новые предметы на сервер с помощью saveItemToServerApi(url)","Северсталь","2024-11-05","interview_Северсталь_003"
"q6","Реализовать добавление новых предметов на сервер с ограничением: одновременно можно добавлять не более 2 предметов","Северсталь","2024-11-05","interview_Северсталь_003"
"q1","Что такое event-loop","Северсталь","2024-11-05","interview_Северсталь_004"
"q2","Что такое замыкания","Северсталь","2024-11-05","interview_Северсталь_004"
"q1","Расскажи про опыт","Северсталь","2024-10-20","interview_Северсталь_005"
