cluster_id,canonical_question,topics,size,topic_confidence,fingerprint
0,Что такое as const в TypeScript?,"typescript, типы, тип, дженерики, omit",183,"{""main_topic"": 1.0}",56da8e6491bae0ba
1,Какие ещё css правила затрагивают изменение layout?,"css, специфичность, div, in, селекторов",155,"{""main_topic"": 1.0}",5f01d9b4f657308e
2,Middleware в Redux,"redux, mobx, toolkit, middleware, паттерн",130,"{""main_topic"": 1.0}",3848e1d9c3268bd6
3,Замыкание,"хуки, знаешь, всплытие, факапы, дженерики",111,"{""main_topic"": 1.0}",abb151fe5f3d763b
4,Как внутри команды договаривались о внедрении новой технологии или библиотеки?,"команде, команды, команда, команду, человек",108,"{""main_topic"": 1.0}",a9ab70746bea27d1
5,Какими свойствами должен обладать хороший unit-тест?,"тесты, писали, unit, тестов, тестирование",102,"{""main_topic"": 1.0}",1eafedb8a308f583
6,Где сейчас проживаете?,"места, работы, новом, почему, ищешь",94,"{""main_topic"": 1.0}",1a4be4eeaa979cf7
7,Какие бывают бандлеры,"такое, каррирование, промисы, куки, дженерики",90,"{""main_topic"": 1.0}",05c32d136cb5cf4e
8,Работал с zustand или valtio?,"работал, какими, ли, занимался, делал",86,"{""main_topic"": 1.0}",11f7fb16b7eeaec5
9,Сколько по времени тратили на просмотр кода на ревью?,"код, ревью, кода, leetcode, внимание",84,"{""main_topic"": 1.0}",8a9f2b5b1ab831ec
10,event-loop,"loop, event, микро, while, работает",73,"{""main_topic"": 1.0}",d5175cf68e479abe
11,На сколько большой проект был на фронте: сколько было репозиторий на фронте?,"проекты, проекте, проект, сейчас, проектах",72,"{""main_topic"": 1.0}",6f1ef7a7324a0cc4
12,"Привести строку с дробью к формату без скобок, например преобразовать '(9999/9999)'","чисел, числа, число, 11, массиве",72,"{""main_topic"": 1.0}",c07da858f57d077c
13,"Реализовать функцию compose, которая принимает несколько функций и возвращает новую функцию, последовательно применяющую переданные функции к аргументу","аргументов, функцию, функций, compose, counter",70,"{""main_topic"": 1.0}",83286632e011cf4d
14,Работали ли вы с Next.js?,"next, js, node, three, nextjs",65,"{""main_topic"": 1.0}",0b10c3f12eda34d3
15,Как настроить кэширование в браузере,"браузере, хранилища, хранения, памяти, браузерные",63,"{""main_topic"": 1.0}",a0f3306ec2a46001
16,Перечислить хуки React,"ререндер, react, перерисовки, компонента, рендеринг",63,"{""main_topic"": 1.0}",91c8173b04f6afc6
17,модули в JS,"js, асинхронность, типы, workers, однопоточный",62,"{""main_topic"": 1.0}",787552f8226c0dca
18,Обсуждение сложности алгоритмов и понятия Big O,"сложность, алгоритма, алгоритмов, оценить, какова",60,"{""main_topic"": 1.0}",b79f5d18932a45ac
19,Кратко про опыт работы,"работы, резюме, место, опыт, месте",60,"{""main_topic"": 1.0}",976b6b01ec9a6a60
20,"Можно ли сделать так, чтобы нельзя было менять свойства объекта (заморозить объект)","reduce, reducer, компонента, car2, рендер",59,"{""main_topic"": 1.0}",ec475b861538cb6c
21,Кратко про опыт,"опыт, опыте, себе, расскажи, storybook",59,"{""main_topic"": 1.0}",c6b2491a075dd11a
22,async/await,"await, async, asyncauth, auth, promise",57,"{""main_topic"": 1.0}",45b9901d3c3ddc18
23,Знаком ли с WebRTC?,"websocket, sse, websockets, polling, webrtc",57,"{""main_topic"": 1.0}",dc186a1169006e71
24,Рассказать про задачи какие делал,"самая, интересные, сложная, задачи, интересная",55,"{""main_topic"": 1.0}",c0128823ad6e3cd1
25,Отличия типа от интерфейса в TypeScript,"interface, type, typescript, разница, интерфейса",55,"{""main_topic"": 1.0}",291aaef75891169b
26,"Зачем нужен React, объясните преимущества декларативности, виртуального DOM и процесса reconciliation","virtual, dom, vdom, виртуального, reconciliation",54,"{""main_topic"": 1.0}",a518799dde64f0bd
27,Что такое cleanup функция в useEffect,"useeffect, зависимостей, cleanup, хук, useimperativehandle",53,"{""main_topic"": 1.0}",bbd0159f35b846f2
28,С какими хуками React вы работали и для чего они используются,"хуки, react, они, используете, хуками",51,"{""main_topic"": 1.0}",12a242787e91ab98
29,Пользовался ли var и почему не рекомендуется использовать эту переменную,"let, const, var, изменить, между",51,"{""main_topic"": 1.0}",68d0c32703df6c7a
30,Что хранится на бэке для авторизации,"авторизации, refresh, авторизацией, авторизацию, token",51,"{""main_topic"": 1.0}",d46a32b5967e9088
31,Расскажи про DNS/DNS-Resolving,"происходит, enter, адреса, адрес, url",49,"{""main_topic"": 1.0}",19bd3255b1a7ba57
32,"useRef и forwardRef, можно ли реф прокинуть в дочерний компонент просто как пропс","useeffect, useref, рендере, forwardref, usestate",49,"{""main_topic"": 1.0}",a6bb4cf9697ceea4
33,По пункту в резюме: как реализовано скачивание файлов в pdf,"inline, display, block, box, perfect",48,"{""main_topic"": 1.0}",a4e28da0cc4344c3
34,Как выполняется отрисовка в браузере,"страницы, страница, страницу, странице, отрисовки",48,"{""main_topic"": 1.0}",474cc2c6f14f8856
35,Объясните назначение свойства key в React,"key, атрибут, ключей, нужен, зачем",48,"{""main_topic"": 1.0}",ea1268175a5683f3
36,Из чего состоит HTTP запрос?,"http, коды, методы, заголовки, перечислите",48,"{""main_topic"": 1.0}",798856387289f00f
37,"Что такое CSP, для чего нужно","ssr, ssg, scss, spa, isr",47,"{""main_topic"": 1.0}",24dff81d426d9eb0
38,sessionStorage vs localStorage,"localstorage, sessionstorage, cookie, storage, indexeddb",47,"{""main_topic"": 1.0}",86ae1432b235f095
39,Что такое CORS? Как настроить CORS?,"cors, preflight, он, заголовки, запросы",47,"{""main_topic"": 1.0}",651e55765a4a0482
40,"Реализовать кастомный React-хук useDebounce, который принимает значение и возвращает его с задержкой обновления в 500 мс, очищая таймаут при изменении значения","fn, debounce, вызовов, ограничивает, limit",47,"{""main_topic"": 1.0}",977b9f531d26cd62
41,"2 этап - знакомство с менеджерами: рассказ о корпоративной культуре, технике, пересмотре зарплаты, соцпакете и дополнительных бонусах","стейт, менеджеры, менеджерами, какими, менеджер",46,"{""main_topic"": 1.0}",f749fc4c3cb9c2d9
42,Объясните прототипное наследование в JavaScript,"javascript, наследование, типы, данных, прототипное",46,"{""main_topic"": 1.0}",62ca5ba80550b4e5
43,Перечислите и объясните REST API методы,"rest, graphql, spread, es6, api",46,"{""main_topic"": 1.0}",e0e6a0856cca5df0
44,"как заставить рефетчнуть данные, если мы добавили новый элемент в массив в redux-toolkit или react-query","usestate, рефакторинг, окна, компонент, компонента",46,"{""main_topic"": 1.0}",16f8c4948039b4b6
45,Что относится к микротаскам,"микрофронты, микрофронтами, federation, module, макротаски",45,"{""main_topic"": 1.0}",b67ca29a1b1a83e9
46,EventLoop,"eventloop, stoppropagation, preventdefault, event, currenttarget",45,"{""main_topic"": 1.0}",089f211d7bcc3487
47,"Написать функцию reverseString без использования arr.reverse, которая переворачивает строку","строку, строки, the, переворачивает, строк",45,"{""main_topic"": 1.0}",415e466c89aef458
48,Какое для себя видишь развитие,"развиваешься, видишь, развиваться, кем, развитие",44,"{""main_topic"": 1.0}",abb2942ae069c9e1
49,useMemo vs useCallback,"usememo, usecallback, memo, стоит, оборачивать",43,"{""main_topic"": 1.0}",61f5acd990335c86
50,В чем отличие Grid от Flexbox,"grid, flex, flexbox, template, css",43,"{""main_topic"": 1.0}",6567aa58e3640130
51,Опишите порядок выполнения операций в вашем решении задачи с медианой,"задачи, происходила, дома, оценка, планирование",42,"{""main_topic"": 1.0}",0df7d4ba32dbbd52
52,"Map, Set.","map, set, foreach, reduce, maps",42,"{""main_topic"": 1.0}",2e6b757658ed4c8e
53,Какие UI киты использовал,"ui, kit, uikit, свой, точки",42,"{""main_topic"": 1.0}",3d50b146300c75c9
54,Разница между any / never / unknown,"unknown, any, never, void, typescript",41,"{""main_topic"": 1.0}",3059cc089c1e9c81
55,Расскажите про особенности хостинга веб-приложений,"веб, вебсокеты, мессенджера, вебворкеры, доступность",41,"{""main_topic"": 1.0}",8399056670522d97
56,"Псевдоклассы и псевдоэлементы: что такое, чем отличаются","псевдоклассы, псевдоэлементы, конструктор, класса, class",40,"{""main_topic"": 1.0}",e09c16c6ba485cf9
57,Что такое React,"смысл, react, suspense, решает, базовые",40,"{""main_topic"": 1.0}",ef3312aa45eb0cc2
58,разница между примитивами и объектами,"данных, ссылочных, ссылочные, типы, типов",40,"{""main_topic"": 1.0}",c4499b8e0048c714
59,Почему именно эти библиотеки были выбраны при решении задачи?,"библиотеки, графиками, формами, библиотеку, библиотеками",38,"{""main_topic"": 1.0}",e07a5f0ffd687018
60,Методы копирования объектов,"копирования, копирование, объекта, скопировать, глубокое",38,"{""main_topic"": 1.0}",b1549f9d8d68cbeb
61,Что выведет в консоль при присваивании объекта другой переменной и последующем изменении первой переменной на новый объект,"объекта, person, выведено, вызове, консоль",38,"{""main_topic"": 1.0}",1cdb3ddcc4547aa5
62,Что такое ref и зачем нужен,"useref, usestate, usesyncexternalstore, триггерить, нужен",38,"{""main_topic"": 1.0}",20f8ed39b7bf974a
