"id","question_text","company","date","interview_id"
"q1","Задача на SetCount(count+1) vs setCount(prev => prev+1), что если из этих вариантов подряд в одном действии вызывать","Автомакон","2024-11-11","interview_Автомакон_000"
"q2","EventLoop","Автомакон","2024-11-11","interview_Автомакон_000"
"q3","Как можно добавить потоки в JS","Автомакон","2024-11-11","interview_Автомакон_000"
"q4","Подробно про redux, какая последовательность действий","Автомакон","2024-11-11","interview_Автомакон_000"
"q5","Задача на промисы","Автомакон","2024-11-11","interview_Автомакон_000"
"q6","Про async и defer","Автомакон","2024-11-11","interview_Автомакон_000"
"q7","Про Event Bus","Автомакон","2024-11-11","interview_Автомакон_000"
"q8","Подробно про авторизацию, access token, refresh token, где хранятся","Автомакон","2024-11-11","interview_Автомакон_000"
"q9","SessionStorage, localStorage, IndexedDB","Автомакон","2024-11-11","interview_Автомакон_000"
"q10","CDN","Автомакон","2024-11-11","interview_Автомакон_000"
"q1","Что такое event-loop","Автомакон","2024-10-30","interview_Автомакон_001"
"q2","Что такое замыкания","Автомакон","2024-10-30","interview_Автомакон_001"
"q3","Реализуйте функцию debounce с настраиваемой задержкой","Автомакон","2024-09-23","interview_Автомакон_002"
"q4","Реализуйте функцию parallelLimit, которая принимает массив асинхронных функций и ограничивает количество одновременно выполняемых задач","Автомакон","2024-09-23","interview_Автомакон_002"
"q5","Реализуйте функцию getRoute, которая возвращает маршрут по заданным параметрам","Автомакон","2024-09-23","interview_Автомакон_002"
"q1","Типизировать объект comments с интерфейсом Comment<T> с вложенными комментариями","Автомакон","2024-07-07","interview_Автомакон_003"
"q2","Какая разница между типом и интерфейсом в TypeScript?","Автомакон","2024-07-07","interview_Автомакон_003"
"q3","В React отрисовать комментарии так, чтобы по кнопке '+' можно было открывать и скрывать вложенные комментарии","Автомакон","2024-07-07","interview_Автомакон_003"
"q4","Имитировать подгрузку новых комментариев с показом лоадера на 2 секунды перед отображением вложенных комментариев","Автомакон","2024-07-07","interview_Автомакон_003"
