"id","question_text","company","date","interview_id"
"q1","По твоему опыту, с какими ограничениями реакта столкнулся? Во что упирается производительность?","Argo Studio","2025-05-28","interview_Argo_Studio_000"
"q2","Как решать проблему с SEO оптимизацией реакта?","Argo Studio","2025-05-28","interview_Argo_Studio_000"
"q3","Расскажи про virtual dom, как вообще это работает (reconciliation, эвристический алгоритм, сравнение узлов)?","Argo Studio","2025-05-28","interview_Argo_Studio_000"
"q4","А к чему может привести поведение, при котором старый дом сразу же удаляется, если элементы разные (эвристический алгоритм)?","Argo Studio","2025-05-28","interview_Argo_Studio_000"
"q5","Расскажи про key в реакте?","Argo Studio","2025-05-28","interview_Argo_Studio_000"
"q6","Спрашивает про глубокую работу браузера, как отрисовывает страницу реакт. Глубже чем Critical Render Path (архитектура Chromium)","Argo Studio","2025-05-28","interview_Argo_Studio_000"
"q7","Расскажи что такое Critical render path?","Argo Studio","2025-05-28","interview_Argo_Studio_000"
"q8","visibility: hidden / display: none отличия. Какие стадии отрисовки страницы затрагивают?","Argo Studio","2025-05-28","interview_Argo_Studio_000"
"q9","Какие ещё css правила затрагивают изменение layout?","Argo Studio","2025-05-28","interview_Argo_Studio_000"
"q10","Использовал ли какие-то сложные конструкции Typescript?","Argo Studio","2025-05-28","interview_Argo_Studio_000"
"q11","Приведи пример использования дженериков. Как бы ты типизировал компонент какой-нибудь, который может разный тип на вход принимать","Argo Studio","2025-05-28","interview_Argo_Studio_000"
"q12","Был ли опыт настройки линтеров, конфигов?","Argo Studio","2025-05-28","interview_Argo_Studio_000"
"q13","Был ли опыт создания своих npm-пакетов?","Argo Studio","2025-05-28","interview_Argo_Studio_000"
"q14","Расскажи подробно как редачили npm пакеты, где хранили и тд","Argo Studio","2025-05-28","interview_Argo_Studio_000"
"q15","Какими свойствами должен обладать хороший unit-тест?","Argo Studio","2025-05-28","interview_Argo_Studio_000"
"q16","Есть процентная метрика покрытия unit тестами проекта. Как думаешь, насколько эта метрика вообще полезна?","Argo Studio","2025-05-28","interview_Argo_Studio_000"
"q17","В каких случаях покрытие тестами может только навредить разработке? Не ускорить, а замедлить?","Argo Studio","2025-05-28","interview_Argo_Studio_000"
"q18","По какому флоу разработки работали в команде? (Git Flow)","Argo Studio","2025-05-28","interview_Argo_Studio_000"
"q19","Знаешь что такое trunk based development?","Argo Studio","2025-05-28","interview_Argo_Studio_000"
"q20","Какая у вас архитектура на проекте? Знаком с FSD?","Argo Studio","2025-05-28","interview_Argo_Studio_000"
"q21","Типизируй компонент Select с использованием дженериков, чтобы он мог принимать разные типы значения в зависимости от режима работы (single или multi)","Argo Studio","2025-05-28","interview_Argo_Studio_000"
