"id","question_text","company","date","interview_id"
"q1","Какие были задачи и как реализовывал микрофронты, как они работают и как их реализовать","Umbrella It","2025-01-31","interview_Umbrella_It_000"
"q2","Переменные в JavaScript","Umbrella It","2025-01-31","interview_Umbrella_It_000"
"q3","event-loop","Umbrella It","2025-01-31","interview_Umbrella_It_000"
"q4","Что происходит в браузере, когда мы вводим URL","Umbrella It","2025-01-31","interview_Umbrella_It_000"
"q5","Зачем нужны key в React","Umbrella It","2025-01-31","interview_Umbrella_It_000"
"q6","Virtual Dom","Umbrella It","2025-01-31","interview_Umbrella_It_000"
"q7","Способы оптимизации в React","Umbrella It","2025-01-31","interview_Umbrella_It_000"
"q8","Метрики производительности","Umbrella It","2025-01-31","interview_Umbrella_It_000"
"q9","React.memo","Umbrella It","2025-01-31","interview_Umbrella_It_000"
"q1","Определить порядок вывода в консоль и объяснить результат выполнения кода с setTimeout и Promise, включающего несколько вызовов console.log внутри асинхронных колбеков и промисов","Umbrella It","2025-01-31","interview_Umbrella_It_000"
