"id","question_text","company","date","interview_id"
"q1","Отличие декларативного от императивного подхода","Smena","2025-07-07","interview_Smena_000"
"q2","Какие знаешь семантические теги и тег role для скринридеров","Smena","2025-07-07","interview_Smena_000"
"q3","Что происходит, когда мы ввели адрес сайта и нажали Enter","Smena","2025-07-07","interview_Smena_000"
"q4","Кеширование клиента и сервера, какие есть отличия","Smena","2025-07-07","interview_Smena_000"
"q5","SSE vs websocket","Smena","2025-07-07","interview_Smena_000"
"q6","Какие есть заголовки в headers","Smena","2025-07-07","interview_Smena_000"
"q7","Какие есть коды статуса ответа","Smena","2025-07-07","interview_Smena_000"
"q8","Расскажи всё что знаешь про http","Smena","2025-07-07","interview_Smena_000"
"q9","Какие есть http методы","Smena","2025-07-07","interview_Smena_000"
"q10","Можно ли использовать body в get","Smena","2025-07-07","interview_Smena_000"
"q11","Расскажи про заголовок rabbitmq","Smena","2025-07-07","interview_Smena_000"
"q1","Почему меняете работу?","Smena","2025-06-25","interview_Smena_001"
"q2","Какой был состав команды?","Smena","2025-06-25","interview_Smena_001"
"q3","Что делали на последнем месте работе, какие фичи?","Smena","2025-06-25","interview_Smena_001"
"q4","Какая архитектура по проекту?","Smena","2025-06-25","interview_Smena_001"
"q5","Почему ушли из предыдущих компаний?","Smena","2025-06-25","interview_Smena_001"
"q6","Что ищете для себя, чего хочется, какую компанию выбираете и команда мечты?","Smena","2025-06-25","interview_Smena_001"
"q7","Собеседуетесь ли, активно ли ищете, есть ли оффер, если да, то почему не приняли?","Smena","2025-06-25","interview_Smena_001"
"q8","Если будет стоять выбор перед несколькими офферами, какие критерии по выбору?","Smena","2025-06-25","interview_Smena_001"
"q9","Как хотели бы оформиться по ТК РФ или по ИП?","Smena","2025-06-25","interview_Smena_001"
"q10","События жизненного цикла html документа в контексте именно JS, не Реакта (вопрос про DOMContentLoaded и прочее)","Smena","2025-06-25","interview_Smena_001"
"q11","Отличия BOM от DOM","Smena","2025-06-25","interview_Smena_001"
"q12","Что такое reflow и repaint","Smena","2025-06-25","interview_Smena_001"
"q13","По какой WebVital симметрике можно отследить дергание странички во время загрузки (мерцание)?","Smena","2025-06-25","interview_Smena_001"
"q14","Отличия обычного объекта vs Map vs WeakMap в JS","Smena","2025-06-25","interview_Smena_001"
"q15","Принципы чистой функции","Smena","2025-06-25","interview_Smena_001"
"q16","Назовите все известные способы инкапсуляции логики в Реакте","Smena","2025-06-25","interview_Smena_001"
"q17","Что такое diffing и reconcilation в Реакте? Как работает?","Smena","2025-06-25","interview_Smena_001"
"q18","При каких случаях Reconcilation может быть замедлен?","Smena","2025-06-25","interview_Smena_001"
"q19","С помощью чего можно реализовать code splitting в Реакте?","Smena","2025-06-25","interview_Smena_001"
"q20","Что такое HOC? Приведи примеры HOC в Реакт?","Smena","2025-06-25","interview_Smena_001"
"q21","Перечислите критические этапы рендеринга","Smena","2025-06-25","interview_Smena_001"
"q22","Что такое Дебаунсинг, Тротлинг и Каррирование?","Smena","2025-06-25","interview_Smena_001"
"q23","Какие есть правила ограничения в использовании Реакт хуков?","Smena","2025-06-25","interview_Smena_001"
"q24","Что такое делегирование событий?","Smena","2025-06-25","interview_Smena_001"
