"id","question_text","company","date","interview_id"
"q1","Про опыт","Азиатско-Тихоокеанский Банк","2025-07-16","interview_Азиатско-Тихоокеанский_Банк_000"
"q2","Про интересные задачи","Азиатско-Тихоокеанский Банк","2025-07-16","interview_Азиатско-Тихоокеанский_Банк_000"
"q3","Почему уходишь","Азиатско-Тихоокеанский Банк","2025-07-16","interview_Азиатско-Тихоокеанский_Банк_000"
"q4","websocket vs sse","Азиатско-Тихоокеанский Банк","2025-07-16","interview_Азиатско-Тихоокеанский_Банк_000"
"q5","tcp vs udp","Азиатско-Тихоокеанский Банк","2025-07-16","interview_Азиатско-Тихоокеанский_Банк_000"
"q6","Отправляешь запрос на создание ресурса, но сервер не может его создать прямо сейчас и возвращает ссылку по которой будет создан ресурс. Какой статус код будет у такого ответа?","Азиатско-Тихоокеанский Банк","2025-07-16","interview_Азиатско-Тихоокеанский_Банк_000"
"q7","Мы отправляем запрос на бэк, но ответ будет готов через пару часов. За это время пользователь может закрыть браузер. Как такое реализовать?","Азиатско-Тихоокеанский Банк","2025-07-16","interview_Азиатско-Тихоокеанский_Банк_000"
"q8","Есть ли пет проекты?","Азиатско-Тихоокеанский Банк","2025-07-16","interview_Азиатско-Тихоокеанский_Банк_000"
"q9","Написать функцию myMap с типизацией, которая принимает массив и функцию и возвращает новый массив, применяя функцию к каждому элементу исходного массива","Азиатско-Тихоокеанский Банк","2025-07-16","interview_Азиатско-Тихоокеанский_Банк_000"
"q10","Реализовать функционал, при котором по клику на кнопку загружается и отображается картинка собаки с одного API и список пород собак с другого API, с обработкой загрузки и ошибок","Азиатско-Тихоокеанский Банк","2025-07-16","interview_Азиатско-Тихоокеанский_Банк_000"
"q1","Объясните особенности HTTP 1.0 и расскажите про неочевидные коды ошибок, такие как 409 и 425","Азиатско-Тихоокеанский Банк","2025-02-26","interview_Азиатско-Тихоокеанский_Банк_001"
"q2","Расскажите про пропускную способность WebSocket","Азиатско-Тихоокеанский Банк","2025-02-26","interview_Азиатско-Тихоокеанский_Банк_001"
"q3","Опишите устройство, синтаксис и работу react-hook-form и zod, включая схемы, определяющие структуру и валидацию данных в multi-step формах","Азиатско-Тихоокеанский Банк","2025-02-26","interview_Азиатско-Тихоокеанский_Банк_001"
"q4","Расскажите про HOC: useImperativeHandler, forwardRef, memo, включая что memo принимает вторым аргументом","Азиатско-Тихоокеанский Банк","2025-02-26","interview_Азиатско-Тихоокеанский_Банк_001"
"q5","Что такое каррирование и что для него необходимо","Азиатско-Тихоокеанский Банк","2025-02-26","interview_Азиатско-Тихоокеанский_Банк_001"
"q6","Что вернёт typeof псевдомассива arguments у function declaration","Азиатско-Тихоокеанский Банк","2025-02-26","interview_Азиатско-Тихоокеанский_Банк_001"
"q1","В React на codesandbox реализовать отрисовку данных с API https://catfact.ninja/#/Breeds/getBreeds","Азиатско-Тихоокеанский Банк","2025-02-26","interview_Азиатско-Тихоокеанский_Банк_001"
