"id","question_text","company","date","interview_id"
"q1","Про интересные задачи и проекты","Merlion Tech","2025-04-24","interview_Merlion_Tech_000"
"q2","Подробно про мессенджер","Merlion Tech","2025-04-24","interview_Merlion_Tech_000"
"q3","Подробно про опыт","Merlion Tech","2025-04-24","interview_Merlion_Tech_000"
"q4","Server Side Rendering был ли опыт","Merlion Tech","2025-04-24","interview_Merlion_Tech_000"
"q5","Какие есть ограничения в компонентах в SSR","Merlion Tech","2025-04-24","interview_Merlion_Tech_000"
"q6","Про graphQL и Rest","Merlion Tech","2025-04-24","interview_Merlion_Tech_000"
"q7","Где бы применял graphQL","Merlion Tech","2025-04-24","interview_Merlion_Tech_000"
"q8","Как оценишь себя в TS от 0 до 10","Merlion Tech","2025-04-24","interview_Merlion_Tech_000"
"q9","Cookie vs localStorage","Merlion Tech","2025-04-24","interview_Merlion_Tech_000"
"q10","Замыкания, где применял на работе, использовал ли в React","Merlion Tech","2025-04-24","interview_Merlion_Tech_000"
"q11","Про Event Loop","Merlion Tech","2025-04-24","interview_Merlion_Tech_000"
"q12","Как сделать настоящую асинхроность, можно ли стартовать новый поток","Merlion Tech","2025-04-24","interview_Merlion_Tech_000"
"q13","Про стейт менеджеры, какой бы выбрал на новом проекте","Merlion Tech","2025-04-24","interview_Merlion_Tech_000"
"q14","Какие ограничения на использование хуков в React","Merlion Tech","2025-04-24","interview_Merlion_Tech_000"
"q15","Разница между useState и useRef","Merlion Tech","2025-04-24","interview_Merlion_Tech_000"
"q16","Разница между useEffect и useLayoutEffect","Merlion Tech","2025-04-24","interview_Merlion_Tech_000"
"q17","Мемоизация, зачем нужна, чек-лист когда использовать","Merlion Tech","2025-04-24","interview_Merlion_Tech_000"
"q18","По каким признакам понять что не хватает мемоизации","Merlion Tech","2025-04-24","interview_Merlion_Tech_000"
"q19","Были ли задачи по оптимизации","Merlion Tech","2025-04-24","interview_Merlion_Tech_000"
"q20","Как оценишь себя в работе с гитом от 0 до 10","Merlion Tech","2025-04-24","interview_Merlion_Tech_000"
"q21","Какой бы делал стек на новом проекте","Merlion Tech","2025-04-24","interview_Merlion_Tech_000"
"q22","Как саморазвиваешься","Merlion Tech","2025-04-24","interview_Merlion_Tech_000"
"q23","Что ищешь на новом месте и почему уходишь со старого","Merlion Tech","2025-04-24","interview_Merlion_Tech_000"
"q1","Выведет ли данный код что-то и почему: class Animal {} const dog = new Animal(); console.log(dog.toString())","Merlion Tech","2025-04-24","interview_Merlion_Tech_000"
"q2","Будет ли работать код с множественным наследованием: class A {} class B {} class Animal extends A, B {}","Merlion Tech","2025-04-24","interview_Merlion_Tech_000"
"q3","Реализовать класс N так, чтобы следующий код вывел в консоль '3': console.log(new N(1) + new N(2))","Merlion Tech","2025-04-24","interview_Merlion_Tech_000"
"q4","Когда выведется 'hello' в коде с setTimeout на 200 мс и блокирующим циклом на 5 секунд","Merlion Tech","2025-04-24","interview_Merlion_Tech_000"
"q5","В чем проблема функции arrayToKeyValue, которая при редьюсе создает новый объект на каждой итерации, и как ее переписать для оптимизации","Merlion Tech","2025-04-24","interview_Merlion_Tech_000"
