"id","question_text","company","date","interview_id"
"q1","Процессы от оценки задачи до ее мержа в ветку","Медиалогия","2024-11-17","interview_Медиалогия_000"
"q2","Расскажите о своих задачах, погрузитесь в контекст, покажите экспертизу от боли заказчика до реализации фичи","Медиалогия","2024-11-17","interview_Медиалогия_000"
"q3","Опишите процесс CI/CD, который вы использовали","Медиалогия","2024-11-17","interview_Медиалогия_000"
"q4","Расскажите о самой сложной задаче, с которой вы сталкивались","Медиалогия","2024-11-17","interview_Медиалогия_000"
"q5","Участвовали ли вы в code review и на что обращали внимание при проверке кода","Медиалогия","2024-11-17","interview_Медиалогия_000"
"q6","Какие инструменты использовали для управления пакетами в монорепозитории (workspaces), в том числе про lerna","Медиалогия","2024-11-17","interview_Медиалогия_000"
"q1","Знает ли про книгу 'Чистый код' Роберта Мартина? Каких принципов придерживается для поддержания чистоты кода?","Медиалогия","2024-10-29","interview_Медиалогия_001"
"q2","Какие принципы программирования знает? Что такое принцип открытости/закрытости, принцип единственной ответственности, зацепление и связность?","Медиалогия","2024-10-29","interview_Медиалогия_001"
"q3","Как мыслит при дебаггинге, какие логические шаги предпринимает и какие технические средства использует?","Медиалогия","2024-10-29","interview_Медиалогия_001"
"q4","Знает ли какие-нибудь паттерны из программирования, например, синглтон?","Медиалогия","2024-10-29","interview_Медиалогия_001"
"q5","Что такое алгоритмическая сложность, какие виды у нее бывают и какими способами её можно минимизировать?","Медиалогия","2024-10-29","interview_Медиалогия_001"
"q6","Что такое замыкание в JavaScript?","Медиалогия","2024-10-29","interview_Медиалогия_001"
"q7","Как работают ссылки на данные в JavaScript и как работает сборщик мусора?","Медиалогия","2024-10-29","interview_Медиалогия_001"
"q8","Что такое this в JavaScript, как его привязать и зачем это нужно?","Медиалогия","2024-10-29","interview_Медиалогия_001"
"q9","Что такое event loop и как он работает?","Медиалогия","2024-10-29","interview_Медиалогия_001"
"q10","Расскажите про обработку событий в JavaScript: три стадии распространения, остановка распространения, кастомные события, обработка в event loop, использование в задачах не связанных напрямую с интерфейсом.","Медиалогия","2024-10-29","interview_Медиалогия_001"
"q11","Что такое worker в JavaScript и для чего они нужны?","Медиалогия","2024-10-29","interview_Медиалогия_001"
"q12","Объясните работу Promise в JavaScript и реализацию через Promise API и async/await.","Медиалогия","2024-10-29","interview_Медиалогия_001"
"q13","Зачем придумали TypeScript, если уже есть JavaScript?","Медиалогия","2024-10-29","interview_Медиалогия_001"
"q14","Чем отличается interface от type alias в TypeScript?","Медиалогия","2024-10-29","interview_Медиалогия_001"
"q15","Расскажите про generic в TypeScript.","Медиалогия","2024-10-29","interview_Медиалогия_001"
"q16","Что такое any и чем оно отличается от unknown в TypeScript?","Медиалогия","2024-10-29","interview_Медиалогия_001"
"q17","Что такое enum в TypeScript, зачем они нужны и какие типы enum существуют?","Медиалогия","2024-10-29","interview_Медиалогия_001"
"q18","Как работает утилитарный тип данных Record в TypeScript?","Медиалогия","2024-10-29","interview_Медиалогия_001"
"q19","Что такое вывод типов (type inference) в TypeScript и как он работает?","Медиалогия","2024-10-29","interview_Медиалогия_001"
"q20","Что такое совместимость типов в TypeScript и как она работает?","Медиалогия","2024-10-29","interview_Медиалогия_001"
"q21","Если фронтенд описал с помощью TypeScript тип данных результата работы эндпойнта, как отреагирует TypeScript, если во время работы приложение бэк вернёт данные другого типа?","Медиалогия","2024-10-29","interview_Медиалогия_001"
"q22","Расскажите про жизненный цикл компонента в React.","Медиалогия","2024-10-29","interview_Медиалогия_001"
"q23","Расскажите про хуки в React.","Медиалогия","2024-10-29","interview_Медиалогия_001"
"q24","Объясните разницу между DOM и Virtual DOM в React.","Медиалогия","2024-10-29","interview_Медиалогия_001"
"q25","Расскажите про алгоритм согласования (reconciliation) в React.","Медиалогия","2024-10-29","interview_Медиалогия_001"
