"id","question_text","company","date","interview_id"
"q1","Расскажи про свой опыт.","ФАККТ","2025-03-12","interview_ФАККТ_000"
"q2","Виды хранилищ и их отличия (localstorage, session storage, cookie, indexdb).","ФАККТ","2025-03-12","interview_ФАККТ_000"
"q3","Как оптимизировать сложные задачи, которые блокируют рендер (вебворкеры).","ФАККТ","2025-03-12","interview_ФАККТ_000"
"q4","Виды вебворкеров.","ФАККТ","2025-03-12","interview_ФАККТ_000"
"q5","Как общаться между воркером и основным тредом.","ФАККТ","2025-03-12","interview_ФАККТ_000"
"q6","Почему у воркеров нет доступа к DOM.","ФАККТ","2025-03-12","interview_ФАККТ_000"
"q7","Как общаться между 2 приложениями на одной странице не используя нетворк (window.dispatchEvent, localstorage, broadcast channel).","ФАККТ","2025-03-12","interview_ФАККТ_000"
"q8","window.sharedData - какие минусы (безопасность).","ФАККТ","2025-03-12","interview_ФАККТ_000"
"q9","Как отлеживать изменение в обновляющемся списке (mutationObserver, setInterval).","ФАККТ","2025-03-12","interview_ФАККТ_000"
"q10","Что возвращает setInterval.","ФАККТ","2025-03-12","interview_ФАККТ_000"
"q11","Есть ли какая-то гарантия, что у нас пройдет delay в setInterval и какая эта гарантия.","ФАККТ","2025-03-12","interview_ФАККТ_000"
"q12","Как гарантировать, что у нас пройдет ровно столько delay, сколько указано в delay, а не больше.","ФАККТ","2025-03-12","interview_ФАККТ_000"
"q13","Статические поля класса.","ФАККТ","2025-03-12","interview_ФАККТ_000"
"q14","Есть ли у метода static доступ к this.","ФАККТ","2025-03-12","interview_ФАККТ_000"
"q15","Какие есть способы запретить изменение объекта (Object.freeze, symbol, прокси)?","ФАККТ","2025-03-12","interview_ФАККТ_000"
"q16","Что используется в Object.freeze под капотом (дескрипторы)?","ФАККТ","2025-03-12","interview_ФАККТ_000"
"q17","Какие дескрипторы знаешь?","ФАККТ","2025-03-12","interview_ФАККТ_000"
"q18","Какие есть методы оптимизации сборки?","ФАККТ","2025-03-12","interview_ФАККТ_000"
"q19","Как работает treeshaking?","ФАККТ","2025-03-12","interview_ФАККТ_000"
"q20","Vite и его 2 вида сборщика.","ФАККТ","2025-03-12","interview_ФАККТ_000"
"q21","Модули и CommonJS.","ФАККТ","2025-03-12","interview_ФАККТ_000"
"q22","Что такое VDOM?","ФАККТ","2025-03-12","interview_ФАККТ_000"
"q23","На какой структуре данных работает VDOM и это концепт или объект?","ФАККТ","2025-03-12","interview_ФАККТ_000"
"q24","В чем особенность fiber? (fiber и ссылки на альтернативные деревья в этом fiber).","ФАККТ","2025-03-12","interview_ФАККТ_000"
"q25","Подробнее про эвристический алгоритм, какая суть, почему сложность O(n).","ФАККТ","2025-03-12","interview_ФАККТ_000"
"q26","Как строится VDOM, откуда появляется.","ФАККТ","2025-03-12","interview_ФАККТ_000"
"q27","Подробней, во что превращается JSX, на каком этапе.","ФАККТ","2025-03-12","interview_ФАККТ_000"
"q28","Какую проблему решают стейтменеджеры?","ФАККТ","2025-03-12","interview_ФАККТ_000"
"q29","Зачем нам стейтменеджеры, если мы можем использовать нативный context.","ФАККТ","2025-03-12","interview_ФАККТ_000"
"q30","Зачем нам отделять UI от логики?","ФАККТ","2025-03-12","interview_ФАККТ_000"
"q31","Какие есть бенефиты при тестировании при использовании стейтменеджеров?","ФАККТ","2025-03-12","interview_ФАККТ_000"
"q32","Реализовать объект Dispatcher, который позволяет задавать и вызывать пользовательские события с методами on(event, callback), off(event, callback) и trigger(event), поддерживающий множественные обработчики на одно событие.","ФАККТ","2025-03-12","interview_ФАККТ_000"
"q33","Map и Set, что такое, какая структура данных под капотом (хеш таблица).","ФАККТ","2025-03-12","interview_ФАККТ_000"
