"id","question_text","company","date","interview_id"
"q1","Написать с нуля приложение с SSR. Отрендерить список с https://rickandmortyapi.com/, сделать верстку как на сайте, сделать по клику на сущность переход на новую страницу с подгрузкой данных","Финам","2025-01-28","interview_Финам_000"
"q1","Были поведенческие вопросы, что ты сделаешь в той или иной ситуации","Финам","2024-11-01","interview_Финам_001"
"q2","Что происходит после нажатия enter в браузере","Финам","2024-11-01","interview_Финам_001"
"q3","Какие порты существуют (например, 80 http, 443 https)","Финам","2024-11-01","interview_Финам_001"
"q4","Что такое SSL и какие есть типы шифрования (симметричные и асимметричные)","Финам","2024-11-01","interview_Финам_001"
"q5","Какие unit тесты можно написать для задачи с React хуком, который делает запрос к постам и выводит их","Финам","2024-11-01","interview_Финам_001"
"q6","Создать React хук с запросом к постам и вывести их, при нажатии на пост открывать и закрывать комментарии к посту","Финам","2024-11-01","interview_Финам_001"
"q1","Что такое this в JavaScript?","Финам","2024-07-25","interview_Финам_002"
"q2","Как работает React?","Финам","2024-07-25","interview_Финам_002"
"q3","Какие существуют способы оптимизации в React (useCallback, useMemo, memo)?","Финам","2024-07-25","interview_Финам_002"
"q4","Опишите стадии события (event phases) в JavaScript.","Финам","2024-07-25","interview_Финам_002"
"q5","Расскажите про наследование в JavaScript.","Финам","2024-07-25","interview_Финам_002"
"q6","Объясните разницу между __proto__ и prototype в JavaScript.","Финам","2024-07-25","interview_Финам_002"
"q7","Всегда ли стоит использовать мемоизацию? Объясните почему.","Финам","2024-07-25","interview_Финам_002"
"q8","Опишите области видимости (scope) в JavaScript.","Финам","2024-07-25","interview_Финам_002"
"q1","Напишите React-хук, который делает асинхронный запрос и возвращает объект с полями data, loading и error.","Финам","2024-07-25","interview_Финам_002"
"q2","Напишите функцию, которая принимает два массива и возвращает новый массив с элементами, которые присутствуют в обоих массивах.","Финам","2024-07-25","interview_Финам_002"
"q1","Как в Nextjs реализован SSR","Финам","2024-06-10","interview_Финам_003"
"q2","Накидай сценарий реализации большой задачи","Финам","2024-06-10","interview_Финам_003"
"q3","Каким требованиям должен отвечать HTML, чтобы называться хорошим? Про SEO, семантику и доступность, альтернативный текст","Финам","2024-06-10","interview_Финам_003"
"q4","Теоретический кейс про доступность: как решить доступность кнопки в кнопке? Про атрибут role=\\button\\""""","Финам","2024-06-10","interview_Финам_003"
"q5","Механизмы перерисовки React","Финам","2024-06-10","interview_Финам_003"
"q6","Критерии выбора хранения данных в стейт менеджере","Финам","2024-06-10","interview_Финам_003"
"q7","Способы получения данных с бекенда","Финам","2024-06-10","interview_Финам_003"
"q8","Сужение типов в TypeScript","Финам","2024-06-10","interview_Финам_003"
"q9","Разница type от interface в TypeScript","Финам","2024-06-10","interview_Финам_003"
"q1","Задача на семантику: раскидать страницу с формой, используя правильные HTML-теги, включая form, fieldset, legend, label и input","Финам","2024-06-10","interview_Финам_003"
"q2","Задача на верстку: покрасить каждый второй абзац внутри элемента с id=a в красный цвет и все h2 с классом bbb внутри элемента с классом fff покрасить в синий цвет","Финам","2024-06-10","interview_Финам_003"
"q3","Понять область видимости переменных в асинхронных контекстах на примере цикла с var и setTimeout","Финам","2024-06-10","interview_Финам_003"
"q4","Написать функцию, которая принимает число N и возвращает функцию, которая первые N раз возвращает 'yes', а потом – 'no' (задача на замыкание)","Финам","2024-06-10","interview_Финам_003"
"q5","Сделать счетчик на React с использованием useState и useEffect, который увеличивает значение каждую секунду","Финам","2024-06-10","interview_Финам_003"
