"id","question_text","company","date","interview_id"
"q1","Что такое карирование?","Luxsoft","2024-08-08","interview_Luxsoft_000"
"q2","Объясните механизм CORS","Luxsoft","2024-08-08","interview_Luxsoft_000"
"q3","Расскажите про принципы SOLID","Luxsoft","2024-08-08","interview_Luxsoft_000"
"q4","Объясните работу Promise","Luxsoft","2024-08-08","interview_Luxsoft_000"
"q5","В чем разница между Flexbox и Grid?","Luxsoft","2024-08-08","interview_Luxsoft_000"
"q6","Что такое Unit testing?","Luxsoft","2024-08-08","interview_Luxsoft_000"
"q7","Что такое Suspense в React?","Luxsoft","2024-08-08","interview_Luxsoft_000"
"q8","Что такое Middleware в Redux?","Luxsoft","2024-08-08","interview_Luxsoft_000"
"q1","Реализуйте функцию, которая возвращает самый часто встречающийся элемент в массиве с его количеством, учитывая вложенные массивы","Luxsoft","2024-08-08","interview_Luxsoft_000"
"q2","Реализуйте React-компонент App, который рендерит список квадратов из массива цветов с использованием компонента Square и реализует логику: при клике на зеленый квадрат он становится красным и в конец списка добавляется новый зеленый квадрат, при клике на красный квадрат он удаляется","Luxsoft","2024-08-08","interview_Luxsoft_000"
