"id","question_text","company","date","interview_id"
"q1","Расскажи про интересные задачи в опыте","Tecius","2024-07-16","interview_Tecius_000"
"q2","Какие html теги знаешь, для чего нужны","Tecius","2024-07-16","interview_Tecius_000"
"q3","Почему верстать только дивами плохая практика","Tecius","2024-07-16","interview_Tecius_000"
"q4","Чем отличается фрагмент от div","Tecius","2024-07-16","interview_Tecius_000"
"q5","Типы позиционирования элементов и их особенности","Tecius","2024-07-16","interview_Tecius_000"
"q6","Какие свойства для контейнера sticky элемента обязательно нужно соблюсти","Tecius","2024-07-16","interview_Tecius_000"
"q7","Как работают селекторы css и как они согласуются","Tecius","2024-07-16","interview_Tecius_000"
"q8","Как повысить приоритет селектора в CSS с помощью !important","Tecius","2024-07-16","interview_Tecius_000"
"q9","Типы данных в JavaScript","Tecius","2024-07-16","interview_Tecius_000"
"q10","Что такое объекты в JavaScript своими словами, их особенности","Tecius","2024-07-16","interview_Tecius_000"
"q11","Как сравнить объекты в JavaScript","Tecius","2024-07-16","interview_Tecius_000"
"q12","Что такое промисы в JavaScript","Tecius","2024-07-16","interview_Tecius_000"
"q13","Отличие типизации в JavaScript и TypeScript","Tecius","2024-07-16","interview_Tecius_000"
"q14","Что такое дженерики в TypeScript","Tecius","2024-07-16","interview_Tecius_000"
"q15","Какими utility types в TypeScript использовал","Tecius","2024-07-16","interview_Tecius_000"
"q16","Расскажи про тип Record в TypeScript","Tecius","2024-07-16","interview_Tecius_000"
"q17","Какие типы можно указывать первым аргументом для Record в TypeScript","Tecius","2024-07-16","interview_Tecius_000"
"q18","React - что это и зачем","Tecius","2024-07-16","interview_Tecius_000"
"q19","Расскажи про реконсиляцию в React","Tecius","2024-07-16","interview_Tecius_000"
"q20","Для чего нужен useRef в React","Tecius","2024-07-16","interview_Tecius_000"
"q21","Способы оптимизации ререндеров в React","Tecius","2024-07-16","interview_Tecius_000"
"q22","Как сравниваются пропсы в HOC memo в React","Tecius","2024-07-16","interview_Tecius_000"
"q23","Как изменить сравнение пропсов в HOC memo, используя вторым аргументом коллбэк","Tecius","2024-07-16","interview_Tecius_000"
"q24","В каких ситуациях происходит ререндер компонента в React","Tecius","2024-07-16","interview_Tecius_000"
"q25","Минусы Redux","Tecius","2024-07-16","interview_Tecius_000"
"q26","Когда использовать стейт менеджер, а когда локальный стейт","Tecius","2024-07-16","interview_Tecius_000"
"q27","Как мутировать стейт в Zustand с использованием Immer","Tecius","2024-07-16","interview_Tecius_000"
"q28","В чем особенность React Query","Tecius","2024-07-16","interview_Tecius_000"
"q29","Альтернативы React Query","Tecius","2024-07-16","interview_Tecius_000"
"q30","Какие проблемы могут возникнуть при попытке интегрировать 3D графику с вебсокетами, учитывая производительность","Tecius","2024-07-16","interview_Tecius_000"
"q31","Как замерять производительность работы приложения с помощью Lighthouse и как можно ускорить сайт","Tecius","2024-07-16","interview_Tecius_000"
"q32","Как реализовать адаптивность сайта с использованием брейкпойнтов и мета тега viewport","Tecius","2024-07-16","interview_Tecius_000"
"q33","Какие бывают мета теги и для чего они нужны","Tecius","2024-07-16","interview_Tecius_000"
"q34","Как убрать индексацию сайта с помощью robots.txt","Tecius","2024-07-16","interview_Tecius_000"
"q35","Способы хранения данных на клиенте","Tecius","2024-07-16","interview_Tecius_000"
"q36","С какими видами авторизации работал","Tecius","2024-07-16","interview_Tecius_000"
"q37","Протокол работы JWT","Tecius","2024-07-16","interview_Tecius_000"
"q38","Какие уязвимости бывают в веб-приложениях","Tecius","2024-07-16","interview_Tecius_000"
"q39","Что конкретно шифруется в рамках HTTPS протокола","Tecius","2024-07-16","interview_Tecius_000"
"q40","По каким критериям будешь отбирать библиотеку в проект","Tecius","2024-07-16","interview_Tecius_000"
