"id","question_text","company","date","interview_id"
"q1","Расскажи про себя + парочка вопросов по резюме","iFellow","2025-07-18","interview_iFellow_000"
"q2","Вижу в резюме что писал свой UI kit самописный или на чем то? Ant или MUI использовал?","iFellow","2025-07-18","interview_iFellow_000"
"q3","Вижу опыт с Effector, Redux и пр что можешь сказать по ним?","iFellow","2025-07-18","interview_iFellow_000"
"q4","Что используешь для кэширования? (useQuery, RTK Query)","iFellow","2025-07-18","interview_iFellow_000"
"q5","Вижу опыт с CSS-in-Js что скажешь? Как еще стили писал?","iFellow","2025-07-18","interview_iFellow_000"
"q6","Какие значения знаешь у display?","iFellow","2025-07-18","interview_iFellow_000"
"q7","rem vs em","iFellow","2025-07-18","interview_iFellow_000"
"q8","Как центрировать элемент по вертикали?","iFellow","2025-07-18","interview_iFellow_000"
"q9","Какие способы организации асинхронности знаешь в JS?","iFellow","2025-07-18","interview_iFellow_000"
"q10","Отличие type и interface","iFellow","2025-07-18","interview_iFellow_000"
"q11","Отличие enum и const enum + кейсы использования","iFellow","2025-07-18","interview_iFellow_000"
"q12","Что такое React? Плюсы?","iFellow","2025-07-18","interview_iFellow_000"
"q13","Способы оптимизации React-приложения?","iFellow","2025-07-18","interview_iFellow_000"
"q14","Для чего нужны ключи в React?","iFellow","2025-07-18","interview_iFellow_000"
"q15","merge или rebase юзаете?","iFellow","2025-07-18","interview_iFellow_000"
"q1","Проанализировать следующий код и определить типы переменных a и b после выполнения: (function() { var a = b = 3; })(); console.log(typeof a); console.log(typeof b);","iFellow","2025-07-18","interview_iFellow_000"
"q2","Объяснить поведение методов объекта с использованием стрелочной функции и обычной функции в контексте this: const obj = { i: 10, b: () => { console.log(this.i, this) }, c: function() { console.log(this.i, this) } }; вызовы obj.b() и obj.c()","iFellow","2025-07-18","interview_iFellow_000"
"q3","Реализовать функцию fibonacci(n), которая возвращает n-е число Фибоначчи с базовыми случаями f(1)=0, f(2)=1 и последующим вычислением через цикл","iFellow","2025-07-18","interview_iFellow_000"
"q1","Есть боль на проекте, 20 тыс объектов приходят, их нельзя разбить на части, они взаимосвязаны, загрузка долгая, что с этим делать?","iFellow","2025-07-16","interview_iFellow_001"
"q2","С чем бы хотел поработать?","iFellow","2025-07-16","interview_iFellow_001"
"q3","Есть ли офферы?","iFellow","2025-07-16","interview_iFellow_001"
"q4","На что ориентируешься при выборе оффера?","iFellow","2025-07-16","interview_iFellow_001"
"q1","Расскажи о последнем релевантном опыте. Сделать акцент на личных достижениях, знаковых задачах","iFellow","2025-07-09","interview_iFellow_002"
"q2","Как у вас выстроен производственный процесс? Команда большая?","iFellow","2025-07-09","interview_iFellow_002"
"q3","Unit тесты писали? Как писали? Какие еще тесты писал? Какой опыт есть в тестировании?","iFellow","2025-07-09","interview_iFellow_002"
"q4","Какие ожидания от нового места работы? Чтобы хотелось получить в итоге?","iFellow","2025-07-09","interview_iFellow_002"
"q5","Какие способы организации CSS кода приходилось использовать?","iFellow","2025-07-09","interview_iFellow_002"
"q7","Какие способы центрировать блок знаешь?","iFellow","2025-07-09","interview_iFellow_002"
"q9","Какие способы копирования объекта знаешь? При кастомном решении копирования объекта - как скопировать функцию?","iFellow","2025-07-09","interview_iFellow_002"
"q10","Чем типы отличаются от interface?","iFellow","2025-07-09","interview_iFellow_002"
"q11","Расскажи про Декораторы в typescript","iFellow","2025-07-09","interview_iFellow_002"
"q12","Для чего нужен key в react? Что будет если поменять местами элементы?","iFellow","2025-07-09","interview_iFellow_002"
"q13","В каких случаях нужно использовать мемоизацию и какие способы ты знаешь? Как понять, что нужно ее применять?","iFellow","2025-07-09","interview_iFellow_002"
"q14","Что используете на проекте merge или rebase?","iFellow","2025-07-09","interview_iFellow_002"
"q1","Сделать на CSS фигуру: в квадрат вписать четыре треугольника с общей вершиной в центре, используя абсолютное позиционирование и бордеры для создания треугольников","iFellow","2025-07-09","interview_iFellow_002"
"q2","Объяснить, что будет в консоли и почему при выполнении кода: (function() { var a = b = 3; })(); console.log(typeof a); console.log(typeof b);","iFellow","2025-07-09","interview_iFellow_002"
"q3","Определить порядок вывода в консоль и объяснить почему для кода: setTimeout(() => console.log('timeout')); Promise.resolve().then(() => console.log('promise')); window.requestAnimationFrame(() => console.log('requestAnimationFrame')); console.log('code');","iFellow","2025-07-09","interview_iFellow_002"
"q4","Объяснить, что будет выведено и почему при выполнении кода с замыканием, где объект возвращает значение и функцию для изменения этого значения, и почему значение не меняется после вызова setValue; а также как исправить эту проблему","iFellow","2025-07-09","interview_iFellow_002"
"q5","Реализовать функцию fibonacci(n), возвращающую n-й элемент последовательности Фибоначчи, используя итеративный подход","iFellow","2025-07-09","interview_iFellow_002"
"q1","Чем отличается rem от em в CSS","iFellow","2025-05-21","interview_iFellow_003"
"q2","Чем отличается type от interface в TypeScript","iFellow","2025-05-21","interview_iFellow_003"
