"id","question_text","company","date","interview_id"
"q1","На каких проектах работал?","Irlix","2025-03-03","interview_Irlix_000"
"q2","Стек технологий на проектах","Irlix","2025-03-03","interview_Irlix_000"
"q3","Состав команды","Irlix","2025-03-03","interview_Irlix_000"
"q4","Что такое замыкание?","Irlix","2025-03-03","interview_Irlix_000"
"q5","Что такое event loop?","Irlix","2025-03-03","interview_Irlix_000"
"q6","Какие существуют методы у промисов?","Irlix","2025-03-03","interview_Irlix_000"
"q7","Как работает всплытие и погружение?","Irlix","2025-03-03","interview_Irlix_000"
"q8","Отличие defer и async","Irlix","2025-03-03","interview_Irlix_000"
"q9","Что быстрее .find или .some?","Irlix","2025-03-03","interview_Irlix_000"
"q10","Зачем нужен React?","Irlix","2025-03-03","interview_Irlix_000"
"q11","С какими хуками работал?","Irlix","2025-03-03","interview_Irlix_000"
"q12","Отличие useEffect от useLayoutEffect","Irlix","2025-03-03","interview_Irlix_000"
"q13","Способы оптимизации React приложения","Irlix","2025-03-03","interview_Irlix_000"
"q14","Когда нужно оборачивать функцию в useCallback?","Irlix","2025-03-03","interview_Irlix_000"
"q15","Зачем нужны keys в React и почему нельзя использовать индексы?","Irlix","2025-03-03","interview_Irlix_000"
"q16","Что такое батчинг?","Irlix","2025-03-03","interview_Irlix_000"
"q17","Что такое дженерики?","Irlix","2025-03-03","interview_Irlix_000"
"q18","Что такое utility types и какие знаешь?","Irlix","2025-03-03","interview_Irlix_000"
"q19","Что такое type guard?","Irlix","2025-03-03","interview_Irlix_000"
"q20","Работал ли с JWT?","Irlix","2025-03-03","interview_Irlix_000"
