"id","question_text","company","date","interview_id"
"q1","Расскажи про себя","Prooftech IT","2025-03-05","interview_Prooftech_IT_000"
"q2","Интересная задача которую делал","Prooftech IT","2025-03-05","interview_Prooftech_IT_000"
"q3","Почему ищешь работу","Prooftech IT","2025-03-05","interview_Prooftech_IT_000"
"q4","Типы данных","Prooftech IT","2025-03-05","interview_Prooftech_IT_000"
"q5","В чем разница между == и ===","Prooftech IT","2025-03-05","interview_Prooftech_IT_000"
"q6","Что выведет в консоли Number(' 12 3 ')","Prooftech IT","2025-03-05","interview_Prooftech_IT_000"
"q7","В чем разница между let, var и const","Prooftech IT","2025-03-05","interview_Prooftech_IT_000"
"q8","Что будет при выполнении выражения '22' && [] && 1 && null && undefined","Prooftech IT","2025-03-05","interview_Prooftech_IT_000"
"q9","Расскажи про event-loop","Prooftech IT","2025-03-05","interview_Prooftech_IT_000"
"q10","Реализуйте функцию palindrom, которая проверяет, является ли строка палиндромом","Prooftech IT","2025-03-05","interview_Prooftech_IT_000"
"q11","Реализуйте функцию pasteArray, которая вставляет элементы второго массива в первый, начиная с заданного индекса, заменяя соответствующие элементы","Prooftech IT","2025-03-05","interview_Prooftech_IT_000"
"q12","Реализуйте функцию promiseAll, которая принимает массив промисов и возвращает промис, который резолвится массивом результатов всех промисов или реджектится при ошибке любого из них","Prooftech IT","2025-03-05","interview_Prooftech_IT_000"
"q1","Какие селекторы знаешь?","Prooftech IT","2025-03-03","interview_Prooftech_IT_001"
"q2","Приоритет селекторов в числовых значениях","Prooftech IT","2025-03-03","interview_Prooftech_IT_001"
"q3","Что такое медиазапросы и для чего применяются?","Prooftech IT","2025-03-03","interview_Prooftech_IT_001"
"q4","Какие использовал препроцессоры?","Prooftech IT","2025-03-03","interview_Prooftech_IT_001"
"q5","Как можно выровнять элемент по центру (с абстрактной задачкой)? Какие способы знаешь?","Prooftech IT","2025-03-03","interview_Prooftech_IT_001"
"q6","Для чего использовал переменные в CSS? Для каких-нибудь хитрых применений?","Prooftech IT","2025-03-03","interview_Prooftech_IT_001"
"q7","Работал ли с анимацией?","Prooftech IT","2025-03-03","interview_Prooftech_IT_001"
"q8","Различия между последним стандартом HTML и предыдущими?","Prooftech IT","2025-03-03","interview_Prooftech_IT_001"
"q9","Типы данных в JS какие есть?","Prooftech IT","2025-03-03","interview_Prooftech_IT_001"
"q10","Отличие стрелочной функции от обычной?","Prooftech IT","2025-03-03","interview_Prooftech_IT_001"
"q11","var, let, const отличия?","Prooftech IT","2025-03-03","interview_Prooftech_IT_001"
"q12","Как работает event loop?","Prooftech IT","2025-03-03","interview_Prooftech_IT_001"
"q13","Как можно запланировать микрозадачу?","Prooftech IT","2025-03-03","interview_Prooftech_IT_001"
"q14","Если есть постоянный процесс который генерит микрозадачи, заблочит ли он event loop?","Prooftech IT","2025-03-03","interview_Prooftech_IT_001"
"q15","Что такое Promise, какие есть методы?","Prooftech IT","2025-03-03","interview_Prooftech_IT_001"
"q16","Какие методы применения Promise? Какой используешь? (async await)","Prooftech IT","2025-03-03","interview_Prooftech_IT_001"
"q17","Применял ли генераторы?","Prooftech IT","2025-03-03","interview_Prooftech_IT_001"
"q18","Применял ли на практике Map и Set? В чем отличие Map и Set?","Prooftech IT","2025-03-03","interview_Prooftech_IT_001"
"q19","Что происходит после того как вбил в строку браузера URL?","Prooftech IT","2025-03-03","interview_Prooftech_IT_001"
"q20","В каком месте event loop используется requestAnimationFrame?","Prooftech IT","2025-03-03","interview_Prooftech_IT_001"
"q21","Чем тип отличается от интерфейса?","Prooftech IT","2025-03-03","interview_Prooftech_IT_001"
"q22","Чем отличается И (&) от ИЛИ (|)?","Prooftech IT","2025-03-03","interview_Prooftech_IT_001"
"q23","Что такое generics?","Prooftech IT","2025-03-03","interview_Prooftech_IT_001"
"q24","Как можно типизировать JSON внутри которого есть вложенное свойство JSON с рекурсивной вложенностью?","Prooftech IT","2025-03-03","interview_Prooftech_IT_001"
