id,question_text,company,date,cluster_id,topic_name,final_category,canonical_question
q1,"2 этап - знакомство с менеджерами: рассказ о корпоративной культуре, технике, пересмотре зарплаты, соцпакете и дополнительных бонусах",- Знакомство С Менеджерами,2024-10-17,41,Менеджеры и стейтменеджеры,Soft Skills,"2 этап - знакомство с менеджерами: рассказ о корпоративной культуре, технике, пересмотре зарплаты, соцпакете и дополнительных бонусах"
q1,Кратко про опыт,- Интеграционные Решения,2025-04-29,21,Опыт и истории,Soft Skills,Кратко про опыт
q2,Что такое батчинг в реакт,- Интеграционные Решения,2025-04-29,-1,Нет темы,Нет кластера,
q3,Разница интерфейсов и типов,- Интеграционные Решения,2025-04-29,74,Интерфейсы и типы в TS,TypeScript,Разница интерфейсов и типов
q4,Что такое ref и зачем нужен,- Интеграционные Решения,2025-04-29,62,Хуки React,React,Что такое ref и зачем нужен
q5,Что такое cleanup функция в useEffect,- Интеграционные Решения,2025-04-29,27,Хук useEffect и его особенности,React,Что такое cleanup функция в useEffect
q6,Разница между any / never / unknown,- Интеграционные Решения,2025-04-29,54,"Типы any, unknown, never",TypeScript,Разница между any / never / unknown
q1,"Реализовать метод groupBy, который группирует элементы массива объектов по заданному ключу и возвращает объект с массивами сгруппированных элементов",- Интеграционные Решения,2025-04-29,88,Группировка данных по ключу,JavaScript Core,"Реализовать метод groupBy, который группирует элементы массива объектов по заданному ключу и возвращает объект с массивами сгруппированных элементов"
q2,"Реализовать функцию compose, которая принимает несколько функций и возвращает новую функцию, последовательно применяющую переданные функции к аргументу",- Интеграционные Решения,2025-04-29,13,Функциональное программирование,JavaScript Core,"Реализовать функцию compose, которая принимает несколько функций и возвращает новую функцию, последовательно применяющую переданные функции к аргументу"
q3,"Реализовать кастомный React-хук useDebounce, который принимает значение и возвращает его с задержкой обновления в 500 мс, очищая таймаут при изменении значения",- Интеграционные Решения,2025-04-29,40,Дебаунс и лимит вызовов,JavaScript Core,"Реализовать кастомный React-хук useDebounce, который принимает значение и возвращает его с задержкой обновления в 500 мс, очищая таймаут при изменении значения"
q1,Что такое замыкания,- Ту Софт,2024-09-26,132,Замыкания в программировании,JavaScript Core,Что такое замыкания
q2,event-loop,- Ту Софт,2024-09-26,10,Event Loop,JavaScript Core,event-loop
q3,"Объясните принципы чистого кода: SOLID, KISS, DRY, YAGNI",- Ту Софт,2024-09-26,-1,Нет темы,Нет кластера,
q4,Что такое React,- Ту Софт,2024-09-26,57,Основы React и Suspense,React,Что такое React
q5,Что такое виртуальный дом в React,- Ту Софт,2024-09-26,97,Виртуализация в React,React,Что такое виртуальный дом в React
q6,С какими хуками React вы работали и для чего они используются,- Ту Софт,2024-09-26,28,Хуки в React,React,С какими хуками React вы работали и для чего они используются
q7,Обсуждение сложности алгоритмов и понятия Big O,- Ту Софт,2024-09-26,18,Сложность алгоритмов,Алгоритмы,Обсуждение сложности алгоритмов и понятия Big O
q8,"Найдите медиану двух отсортированных массивов без использования сортировки, используя их упорядоченность для оптимального прохода",- Ту Софт,2024-09-26,-1,Нет темы,Нет кластера,
q9,Опишите порядок выполнения операций в вашем решении задачи с медианой,- Ту Софт,2024-09-26,51,Оценка и планирование задач,Soft Skills,Опишите порядок выполнения операций в вашем решении задачи с медианой
q1,Нужно найти медиану двух отсортированных массивов за O(n),- Ту Софт,2024-09-22,-1,Нет темы,Нет кластера,
q1,"Объясните, почему блок try...catch не ловит ошибки из промисов и как работает обработка ошибок в цепочке промисов",06 Иц-Айтеко,2025-06-05,142,Обработка ошибок в промисах,JavaScript Core,"Объясните, почему блок try...catch не ловит ошибки из промисов и как работает обработка ошибок в цепочке промисов"
q2,"Проанализируйте вывод консольных логов в следующем коде: setTimeout(()=> console.log('setTimeout'), 0); console.log('scriptstart'); Promise.resolve().then(()=> { console.log(1); throw new Error('err'); console.log(100); }).then(()=> console.log(2)).then(()=> console.log(3))",06 Иц-Айтеко,2025-06-05,99,Логирование и асинхронность,JavaScript Core,"Проанализируйте вывод консольных логов в следующем коде: setTimeout(()=> console.log('setTimeout'), 0); console.log('scriptstart'); Promise.resolve().then(()=> { console.log(1); throw new Error('err'); console.log(100); }).then(()=> console.log(2)).then(()=> console.log(3))"
q3,"Как можно отрефакторить задачу с консольными логами, вынеся таблицу и логику запроса",06 Иц-Айтеко,2025-06-05,-1,Нет темы,Нет кластера,
q4,"Зачем нужен React, объясните преимущества декларативности, виртуального DOM и процесса reconciliation",06 Иц-Айтеко,2025-06-05,26,Виртуальный DOM и Reconciliation,React,"Зачем нужен React, объясните преимущества декларативности, виртуального DOM и процесса reconciliation"
