"id","question_text","company","date","interview_id"
"q1","Написать функцию вывода строкой через запятую названий (name) объектов, беря только объекты связанные с типами у которых class='Устройства', учитывая, что объектов может быть миллиард, а типов миллион, с максимальным снижением затрат по времени и ресурсам","ЭД-Айти","2025-01-15","interview_ЭД-Айти_000"
"q2","Реализовать функцию debounse(fn, delay=1000) на чистом JavaScript без использования готовых библиотек, которая вызывает переданную функцию fn только если пауза в наборе текста составила 1 секунду, имитируя отложенный вызов для текстового поиска с участием бэкенда","ЭД-Айти","2025-01-15","interview_ЭД-Айти_000"
"q3","Написать функцию getResult, которая принимает массив объектов с полями name и region и возвращает объект с количеством субъектов в регионе 1 и регионе 2, при этом нельзя использовать дополнительные объявления переменных-массивов, вся логика должна быть реализована внутри функции","ЭД-Айти","2025-01-15","interview_ЭД-Айти_000"
"q4","Написать типизацию TypeScript для объектов с известными ключами endpoints, чтобы не потерять типизацию ключей, где ключи для vtemplateObject: 'getVtemplates' и 'postVtemplates', а для reportObject: 'getReports' и 'putReports', при этом key:string и Record<string, ...> не подходят","ЭД-Айти","2025-01-15","interview_ЭД-Айти_000"
"q1","Расскажите про ваш опыт работы в IT","ЭД-Айти","2024-11-11","interview_ЭД-Айти_001"
"q2","Как построено взаимодействие в вашей команде","ЭД-Айти","2024-11-11","interview_ЭД-Айти_001"
"q3","Расскажите про интересные задачи, с которыми вы сталкивались","ЭД-Айти","2024-11-11","interview_ЭД-Айти_001"
"q4","Расскажите про ваш проект","ЭД-Айти","2024-11-11","interview_ЭД-Айти_001"
"q1","Реализуйте функцию getRoute, которая принимает массив точек с координатами и возвращает оптимальный маршрут с минимальной суммарной длиной пути","ЭД-Айти","2024-10-11","interview_ЭД-Айти_002"
"q2","Реализуйте функцию parallelLimit, которая принимает массив асинхронных задач и ограничивает количество одновременно выполняемых задач заданным лимитом","ЭД-Айти","2024-10-11","interview_ЭД-Айти_002"
"q3","Что такое event-loop","ЭД-Айти","2024-10-11","interview_ЭД-Айти_002"
"q4","Что такое замыкания","ЭД-Айти","2024-10-11","interview_ЭД-Айти_002"
