"id","question_text","company","date","interview_id"
"q1","Как оптимизировал приложение?","Highhelp","2025-07-18","interview_Highhelp_000"
"q2","Топ 5 твоих достижений в компании (какую идею/фичу внедрил и как она помогла бизнесу)","Highhelp","2025-07-18","interview_Highhelp_000"
"q3","Топ 5 твоих достижений в жизни","Highhelp","2025-07-18","interview_Highhelp_000"
"q4","Как свободное время проводишь?","Highhelp","2025-07-18","interview_Highhelp_000"
"q5","Чем увлекаешься?","Highhelp","2025-07-18","interview_Highhelp_000"
"q6","Хобби","Highhelp","2025-07-18","interview_Highhelp_000"
"q7","Семейное положение","Highhelp","2025-07-18","interview_Highhelp_000"
"q8","Ожидания по зп (мин/макс/комфорт)","Highhelp","2025-07-18","interview_Highhelp_000"
"q9","Когда готов выходить?","Highhelp","2025-07-18","interview_Highhelp_000"
"q10","Готов ли работать с 11 до 21?","Highhelp","2025-07-18","interview_Highhelp_000"
"q1","Что такое event loop?","Highhelp","2025-07-15","interview_Highhelp_001"
"q2","Объясните promise и их методы","Highhelp","2025-07-15","interview_Highhelp_001"
"q3","В чем разница между Promise.all, Promise.allSettled, Promise.race и Promise.any?","Highhelp","2025-07-15","interview_Highhelp_001"
"q4","Что такое VDOM и как он работает?","Highhelp","2025-07-15","interview_Highhelp_001"
"q5","Что такое Reconciliation в React?","Highhelp","2025-07-15","interview_Highhelp_001"
"q6","Объясните React.memo, useMemo и useCallback","Highhelp","2025-07-15","interview_Highhelp_001"
"q7","Расскажите про Redux","Highhelp","2025-07-15","interview_Highhelp_001"
"q8","Что такое RTK Query?","Highhelp","2025-07-15","interview_Highhelp_001"
"q9","Что такое оптимистичный запрос (optimistic request)?","Highhelp","2025-07-15","interview_Highhelp_001"
"q1","Написать debounce для React компонента, чтобы инпут корректно работал с задержкой обновления значения","Highhelp","2025-07-15","interview_Highhelp_001"
