"id","question_text","company","date","interview_id"
"q1","Реализуйте функцию, которая принимает строку и возвращает букву, которая встречается чаще всего; если таких несколько, вернуть букву, наиболее близкую к началу алфавита","LegalTech","2025-06-27","interview_LegalTech_000"
"q2","Оцените сложность алгоритма для функции, которая возвращает наиболее часто встречающуюся букву в строке с учетом выбора буквы, наиболее близкой к началу алфавита при равенстве частот","LegalTech","2025-06-27","interview_LegalTech_000"
"q3","Реализуйте класс Buffer с ограничением по максимальному размеру max_size, который хранит данные до отправки на сервер и поддерживает методы write для добавления элемента с перезаписью самого старого при переполнении и read для удаления и возврата самого старого элемента","LegalTech","2025-06-27","interview_LegalTech_000"
"q1","Расскажите про свой опыт","LegalTech","2025-06-12","interview_LegalTech_001"
"q2","Объясните свойство position в CSS","LegalTech","2025-06-12","interview_LegalTech_001"
"q3","Расскажите про Promise.all","LegalTech","2025-06-12","interview_LegalTech_001"
"q4","Как работает EventLoop","LegalTech","2025-06-12","interview_LegalTech_001"
"q5","Что такое WebWorker","LegalTech","2025-06-12","interview_LegalTech_001"
"q6","Как бы вы оптимизировали приложение, если у нас нет пагинации","LegalTech","2025-06-12","interview_LegalTech_001"
"q7","Что бы вы использовали для реализации формы логина","LegalTech","2025-06-12","interview_LegalTech_001"
"q8","Расскажите про принципы SOLID","LegalTech","2025-06-12","interview_LegalTech_001"
"q9","Расскажите про плюсы и минусы архитектуры FSD и почему она стала популярной","LegalTech","2025-06-12","interview_LegalTech_001"
"q1","Рефакторинг React-компонента TodoApp с исправлением ошибок в работе с состоянием, обработчиками событий и корректным рендерингом списка задач","LegalTech","2025-06-12","interview_LegalTech_001"
"q2","Добавить типизацию в React-компонент TodoApp с использованием TypeScript интерфейсов для задач и пропсов, а также корректной типизацией событий и состояния","LegalTech","2025-06-12","interview_LegalTech_001"
"q1","Написать функцию, которая принимает строку и возвращает из нее наиболее повторяющийся символ","LegalTech","2025-06-05","interview_LegalTech_002"
"q2","Реализовать класс циклического буфера фиксированного размера с методами write(item) для добавления элемента с перезаписью самого старого при переполнении, read() для чтения и удаления старейшего элемента и getSize() для получения текущего количества элементов","LegalTech","2025-06-05","interview_LegalTech_002"
