"id","question_text","company","date","interview_id"
"q1","Позиционирование CSS","Аг-Логистика","2024-11-17","interview_Аг-Логистика_000"
"q2","Объясните работу Flex и Grid в CSS","Аг-Логистика","2024-11-17","interview_Аг-Логистика_000"
"q3","Опишите принципы CSS анимаций","Аг-Логистика","2024-11-17","interview_Аг-Логистика_000"
"q4","Что происходит после ввода URL в браузере","Аг-Логистика","2024-11-17","interview_Аг-Логистика_000"
"q5","Объясните понятия Reflow, Repaint и Composite в браузере","Аг-Логистика","2024-11-17","interview_Аг-Логистика_000"
"q6","Перечислите и опишите HTTP методы","Аг-Логистика","2024-11-17","interview_Аг-Логистика_000"
"q7","Перечислите и опишите основные HTTP ответы","Аг-Логистика","2024-11-17","interview_Аг-Логистика_000"
"q8","Что такое CORS и как он работает","Аг-Логистика","2024-11-17","interview_Аг-Логистика_000"
"q9","Что такое Preflight request в CORS","Аг-Логистика","2024-11-17","interview_Аг-Логистика_000"
"q10","Объясните разницу между var, let и const в контексте замыканий","Аг-Логистика","2024-11-17","interview_Аг-Логистика_000"
"q11","Что такое чистая функция","Аг-Логистика","2024-11-17","interview_Аг-Логистика_000"
"q12","event-loop","Аг-Логистика","2024-11-17","interview_Аг-Логистика_000"
"q13","Дан пример кода с замыканием, который выводит 10 раз число 10; объясните почему так происходит и как исправить, чтобы выводились числа от 0 до 9","Аг-Логистика","2024-11-17","interview_Аг-Логистика_000"
