"id","question_text","company","date","interview_id"
"q1","Реализуйте функцию reverseString, которая переворачивает строку","Точка Банк","2025-06-08","interview_Точка_Банк_000"
"q2","Объясните разницу в поведении методов say и say2 в классах и объектах с разными способами объявления функций и стрелочных функций","Точка Банк","2025-06-08","interview_Точка_Банк_000"
"q3","Определите порядок вывода чисел в консоль для следующего кода с console.log, setTimeout, Promise.reject, Promise.resolve и requestAnimationFrame","Точка Банк","2025-06-08","interview_Точка_Банк_000"
"q4","Сравните поведение функций func1 и func2, которые вызывают сами себя через setTimeout и Promise.resolve().then соответственно","Точка Банк","2025-06-08","interview_Точка_Банк_000"
"q5","Объясните разницу между типами any и unknown в TypeScript и почему нельзя напрямую присвоить unknown переменной типа string","Точка Банк","2025-06-08","interview_Точка_Банк_000"
"q6","Опишите разницу между объединением (Type1 | Type2) и пересечением (Type1 & Type2) типов в TypeScript на примере типов с полями foo, bar и state","Точка Банк","2025-06-08","interview_Точка_Банк_000"
"q7","Напишите type guard функцию isType1, которая определяет, является ли объект типа Type1 или Type2 по наличию свойства foo","Точка Банк","2025-06-08","interview_Точка_Банк_000"
"q8","Напишите type guard функцию isUser, которая проверяет, что объект соответствует интерфейсу User с полями id:number и login:string","Точка Банк","2025-06-08","interview_Точка_Банк_000"
"q9","Напишите две утилитные типы TypeScript: PartialType, делающий все свойства опциональными, и PickType, выбирающий указанные ключи из типа","Точка Банк","2025-06-08","interview_Точка_Банк_000"
"q10","Перепишите классический React компонент Clock с состоянием и жизненным циклом на функциональный компонент с хуками","Точка Банк","2025-06-08","interview_Точка_Банк_000"
"q11","Объясните, как работает мемоизация компонента MenuItem с помощью React.memo и useCallback в компоненте Menu","Точка Банк","2025-06-08","interview_Точка_Банк_000"
"q1","Что такое мемоизация","Точка Банк","2024-06-27","interview_Точка_Банк_001"
"q2","Что такое реконсилейшн","Точка Банк","2024-06-27","interview_Точка_Банк_001"
"q3","Что такое дескрипторы объектов","Точка Банк","2024-06-27","interview_Точка_Банк_001"
"q4","Что такое тип данных Symbol и как его использовали на практике","Точка Банк","2024-06-27","interview_Точка_Банк_001"
"q5","По каким правилам работает TypeScript","Точка Банк","2024-06-27","interview_Точка_Банк_001"
"q6","Во что компилируется TypeScript","Точка Банк","2024-06-27","interview_Точка_Банк_001"
"q1","почему ушел с работы?","Точка Банк","2024-06-18","interview_Точка_Банк_002"
"q2","самая сложная задача?","Точка Банк","2024-06-18","interview_Точка_Банк_002"
"q3","что ищешь?","Точка Банк","2024-06-18","interview_Точка_Банк_002"
"q4","event loop про последовательность выполнения","Точка Банк","2024-06-18","interview_Точка_Банк_002"
"q5","жизненный цикл компонентов","Точка Банк","2024-06-18","interview_Точка_Банк_002"
"q6","что такое мемоизация?","Точка Банк","2024-06-18","interview_Точка_Банк_002"
"q7","что такое реконсиляция?","Точка Банк","2024-06-18","interview_Точка_Банк_002"
"q1","Что такое event-loop","Точка Банк","2024-06-14","interview_Точка_Банк_003"
"q2","Что такое замыкания","Точка Банк","2024-06-14","interview_Точка_Банк_003"
"q3","Объясните spread-оператор в JavaScript","Точка Банк","2024-06-14","interview_Точка_Банк_003"
"q4","Объясните контекст исполнения в JavaScript","Точка Банк","2024-06-14","interview_Точка_Банк_003"
"q5","Объясните классы и прототипы в JavaScript","Точка Банк","2024-06-14","interview_Точка_Банк_003"
"q6","Объясните дженерики в TypeScript","Точка Банк","2024-06-14","interview_Точка_Банк_003"
"q7","Объясните объединение и пересечение типов в TypeScript","Точка Банк","2024-06-14","interview_Точка_Банк_003"
"q8","Объясните хуки в React","Точка Банк","2024-06-14","interview_Точка_Банк_003"
"q1","Реализуйте функцию, которая принимает строку или массив и возвращает их элементы в обратном порядке в виде строки","Точка Банк","2024-06-08","interview_Точка_Банк_004"
"q2","Объясните порядок вывода чисел в консоль для следующего кода с использованием setTimeout, Promise и синхронных вызовов: console.log(1); setTimeout(() => { console.log(2); }, 0); console.log(3); Promise.resolve().then(() => { console.log(4); }).then(() => { console.log(8); }); Promise.reject().catch(() => { console.log(9); }); console.log(5); while('') { console.log(6); } console.log(7);","Точка Банк","2024-06-08","interview_Точка_Банк_004"
"q3","Объясните поведение и результат выполнения функций func1 и func2, где func1 вызывает setTimeout с самой собой, а func2 возвращает Promise.resolve().then(func2)","Точка Банк","2024-06-08","interview_Точка_Банк_004"
"q4","Объясните разницу в поведении методов say и say2 в классе Cat и объекте myCat, учитывая использование стрелочных функций и обычных методов, а также влияние контекста this","Точка Банк","2024-06-08","interview_Точка_Банк_004"
"q5","Объясните результат вызовов методов say и say2 после применения bind и call к экземплярам класса Cat и объекту myCat","Точка Банк","2024-06-08","interview_Точка_Банк_004"
"q6","Объясните разницу между типами any и unknown в TypeScript и почему присваивание unknown переменной типа string вызывает ошибку","Точка Банк","2024-06-08","interview_Точка_Банк_004"
"q7","Реализуйте функцию isString, которая проверяет, является ли значение строкой, используя TypeScript type guard","Точка Банк","2024-06-08","interview_Точка_Банк_004"
"q8","Объясните работу условного типа Required<T> в TypeScript, который убирает опциональность у свойств объекта","Точка Банк","2024-06-08","interview_Точка_Банк_004"
"q9","Объясните разницу между enum Status с тремя значениями и типом Status с двумя строковыми литералами в TypeScript","Точка Банк","2024-06-08","interview_Точка_Банк_004"
"q10","Опишите типизацию функции getData, которая принимает данные неизвестного типа и статус, и возвращает any","Точка Банк","2024-06-08","interview_Точка_Банк_004"
"q11","Объясните работу React-компонента с использованием useState и useCallback для увеличения счетчика и условного рендеринга элемента div при четном значении счетчика","Точка Банк","2024-06-08","interview_Точка_Банк_004"
"q12","Объясните поведение компонента MyButton с использованием useEffect для логирования при монтировании и размонтировании, а также почему он оборачивается в React.memo","Точка Банк","2024-06-08","interview_Точка_Банк_004"
"q1","Как работает мемоизация компонентов","Точка Банк","2024-05-14","interview_Точка_Банк_005"
"q2","Что такое реконсиляция","Точка Банк","2024-05-14","interview_Точка_Банк_005"
"q3","Приходилось ли работать с дескрипторами объектов","Точка Банк","2024-05-14","interview_Точка_Банк_005"
"q1","Объясните отличие Prototype и __proto__","Точка Банк","2024-05-13","interview_Точка_Банк_006"
"q2","Как проверить наличие итератора в прототипе объекта?","Точка Банк","2024-05-13","interview_Точка_Банк_006"
"q3","Что происходит с type и interface в рантайме? Во что компилируется TypeScript?","Точка Банк","2024-05-13","interview_Точка_Банк_006"
"q4","Почему нельзя сделать проверку typeof value === TMyType в TypeScript?","Точка Банк","2024-05-13","interview_Точка_Банк_006"
"q5","Объясните работу тайпгардов и оператора is в TypeScript","Точка Банк","2024-05-13","interview_Точка_Банк_006"
"q6","Что такое infer в TypeScript и как его использовать?","Точка Банк","2024-05-13","interview_Точка_Банк_006"
"q7","Объясните разницу между const enum и enum в TypeScript","Точка Банк","2024-05-13","interview_Точка_Банк_006"
"q8","Как работает useEffect с пустым списком зависимостей в React?","Точка Банк","2024-05-13","interview_Точка_Банк_006"
"q9","Для чего используется useRef для хранения переменных в функциональных компонентах React?","Точка Банк","2024-05-13","interview_Точка_Банк_006"
"q10","Реализуйте класс Emitter с методами on, emit и off для управления событиями","Точка Банк","2024-05-13","interview_Точка_Банк_006"
"q11","Объясните поведение функции wtf, которая принимает строку или массив и возвращает строку в обратном порядке","Точка Банк","2024-05-13","interview_Точка_Банк_006"
"q12","Реализуйте функцию convertToStrAndReverse, которая принимает строку или итерируемый объект и возвращает строку в обратном порядке","Точка Банк","2024-05-13","interview_Точка_Банк_006"
"q13","Объясните разницу между typeof для примитивов, объектов и Promise","Точка Банк","2024-05-13","interview_Точка_Банк_006"
"q14","Опишите поведение цепочки Promise с resolve, then и catch, объясните типы данных на каждом этапе","Точка Банк","2024-05-13","interview_Точка_Банк_006"
"q15","Реализуйте функцию isFrog, которая проверяет, что объект соответствует типу с методом quack и свойством color","Точка Банк","2024-05-13","interview_Точка_Банк_006"
"q16","Объясните работу условного типа TRet<T> в TypeScript, который извлекает тип возвращаемого значения функции","Точка Банк","2024-05-13","interview_Точка_Банк_006"
