"id","question_text","company","date","interview_id"
"q1","Задача с SetTimeout и бесконечным циклом, просят сказать что выведется в консоли исправленной функции getCookiesCount с использованием setInterval и setTimeout","Lada Цифра","2025-02-05","interview_Lada_Цифра_000"
"q2","Почему var поднимается (hoisting)","Lada Цифра","2025-02-05","interview_Lada_Цифра_000"
"q3","Что такое callback Hell","Lada Цифра","2025-02-05","interview_Lada_Цифра_000"
"q4","Что будет если подсунуть исходники в Source","Lada Цифра","2025-02-05","interview_Lada_Цифра_000"
"q5","Как работает debugger","Lada Цифра","2025-02-05","interview_Lada_Цифра_000"
"q6","Что такое компиляция","Lada Цифра","2025-02-05","interview_Lada_Цифра_000"
"q7","Что такое инициализация","Lada Цифра","2025-02-05","interview_Lada_Цифра_000"
"q8","Куда попадает var и почему оно хостится","Lada Цифра","2025-02-05","interview_Lada_Цифра_000"
"q9","Для чего придумали async/await","Lada Цифра","2025-02-05","interview_Lada_Цифра_000"
"q10","Способы оптимизации страницы","Lada Цифра","2025-02-05","interview_Lada_Цифра_000"
"q11","Что такое чистая функция","Lada Цифра","2025-02-05","interview_Lada_Цифра_000"
"q12","Что такое RUM и для чего он нужен","Lada Цифра","2025-02-05","interview_Lada_Цифра_000"
"q13","В каких компонентах и какие тесты писали","Lada Цифра","2025-02-05","interview_Lada_Цифра_000"
"q14","Задача на область видимости: объяснить поведение функции arraySorted, которая принимает два массива arrUnSort и arrSort, сортирует arrUnSort и присваивает результат arrSort, после чего выводит arrSort и arrUnSort","Lada Цифра","2025-02-05","interview_Lada_Цифра_000"
