"id","question_text","company","date","interview_id"
"q1","Какая роль в команде?","Спринтерра","2025-03-18","interview_Спринтерра_000"
"q2","Команда 13 человек - прямо выделенная команда? Сколько митинги время занимали?","Спринтерра","2025-03-18","interview_Спринтерра_000"
"q3","Как часто релизы были?","Спринтерра","2025-03-18","interview_Спринтерра_000"
"q4","Бэкенд и фронтенд все вместе вшли в релизах?","Спринтерра","2025-03-18","interview_Спринтерра_000"
"q5","Кто занимался CI/CD? Был ли опыт по настройке?","Спринтерра","2025-03-18","interview_Спринтерра_000"
"q6","Опыт тестов End-to-End, cypress, playwright, selenium, функциональных?","Спринтерра","2025-03-18","interview_Спринтерра_000"
"q7","Кто ими занимался? Как были устроены тесты?","Спринтерра","2025-03-18","interview_Спринтерра_000"
"q8","Плюсы JS и TS сравнение.","Спринтерра","2025-03-18","interview_Спринтерра_000"
"q9","Работал ли с accessibility?","Спринтерра","2025-03-18","interview_Спринтерра_000"
"q10","По архитектуре приложение монолит?","Спринтерра","2025-03-18","interview_Спринтерра_000"
"q11","Какая организация структуры была? FSD или плоская структура или atomic?","Спринтерра","2025-03-18","interview_Спринтерра_000"
"q12","Опыта работы с мобильными приложениями не было?","Спринтерра","2025-03-18","interview_Спринтерра_000"
"q13","Как было организована работа с сокетами?","Спринтерра","2025-03-18","interview_Спринтерра_000"
"q14","На чем был бэк?","Спринтерра","2025-03-18","interview_Спринтерра_000"
"q15","Насколько высоконагруженная была система? Порядок юзеров.","Спринтерра","2025-03-18","interview_Спринтерра_000"
"q16","Приходилось ли сталкиваться с поддержкой продакшена? Приходили запросы от клиентов и приходилось с этими запросами работать?","Спринтерра","2025-03-18","interview_Спринтерра_000"
"q17","Опыт экстремального программирования? TDD?","Спринтерра","2025-03-18","interview_Спринтерра_000"
"q18","Задачи падали резжеванные, все прописано было?","Спринтерра","2025-03-18","interview_Спринтерра_000"
"q19","Аналитики ближе к айти были или из разряда по ГОСТу?","Спринтерра","2025-03-18","interview_Спринтерра_000"
"q20","Что будет выведено в консоль в коде с createCounter и почему так происходит, и как это исправить?","Спринтерра","2025-03-18","interview_Спринтерра_000"
"q21","Что будет в результате выполнения функции fetchUserData с Promise.all для массива userIds и как исправить обработку ошибок?","Спринтерра","2025-03-18","interview_Спринтерра_000"
"q22","Какие логи будут выведены в функции fetchData при вызове then с преобразованием строки в верхний регистр и как исправить возможные ошибки, если промис может возвращать не только строку?","Спринтерра","2025-03-18","interview_Спринтерра_000"
"q23","Какая последовательность логов будет выведена в коде с console.log, setTimeout и Promise?","Спринтерра","2025-03-18","interview_Спринтерра_000"
"q24","Какие ошибки есть в функции fetchData с типом ApiResponse<T>, которая пытается вернуть данные из fetch синхронно?","Спринтерра","2025-03-18","interview_Спринтерра_000"
