"id","question_text","company","date","interview_id"
"q1","Как были выстроены процессы в команде","Itsports","2024-11-15","interview_Itsports_000"
"q2","Как происходила оценка задач","Itsports","2024-11-15","interview_Itsports_000"
"q3","Объясните разницу между for и forEach","Itsports","2024-11-15","interview_Itsports_000"
"q4","Объясните свойства CSS position","Itsports","2024-11-15","interview_Itsports_000"
"q5","Что такое семантика в HTML","Itsports","2024-11-15","interview_Itsports_000"
"q6","В чем разница между тегами ol и ul","Itsports","2024-11-15","interview_Itsports_000"
"q7","Что такое препроцессор и зачем он нужен","Itsports","2024-11-15","interview_Itsports_000"
"q8","Как центрировать блок с помощью CSS","Itsports","2024-11-15","interview_Itsports_000"
"q9","Для чего нужен Next.js","Itsports","2024-11-15","interview_Itsports_000"
"q10","Реализуйте React-компонент формы с полем для имени пользователя, кнопкой отправки, которая выводит имя в консоль, и кнопкой закрытия, которая выводит сообщение о закрытии формы","Itsports","2024-11-15","interview_Itsports_000"
"q11","Реализуйте React-компонент, который асинхронно получает случайное число при монтировании и отображает его, а также отслеживает и отображает текущую позицию прокрутки окна","Itsports","2024-11-15","interview_Itsports_000"
