"id","question_text","company","date","interview_id"
"q1","Написать форму регистрации с инпутами: email, password, password again и реализовать проверку на совпадение паролей","Платформа","2025-03-12","interview_Платформа_000"
"q1","Что будет выведено в консоль и почему при выполнении функции wrapper с объявлением var value внутри нее и вызове showValue?","Платформа","2024-05-17","interview_Платформа_001"
"q2","Что будет выведено в консоль и почему при выполнении двух циклов for с var и let внутри setTimeout?","Платформа","2024-05-17","interview_Платформа_001"
"q3","Что будет выведено в консоль при выполнении reduce с конкатенацией вложенных массивов и начальным значением [1, 2]?","Платформа","2024-05-17","interview_Платформа_001"
"q4","Что будет выведено в консоль при выполнении Promise.race с двумя промисами, резолвящимися через 500 и 100 миллисекунд?","Платформа","2024-05-17","interview_Платформа_001"
"q5","Что будет выведено в консоль при создании и выводе Set из массива с повторяющимися элементами [1, 1, 2, 3, 3, 3, 4, 5]?","Платформа","2024-05-17","interview_Платформа_001"
"q6","Что будет выведено в консоль при вызове async функции getData, которая возвращает Promise.resolve с строкой?","Платформа","2024-05-17","interview_Платформа_001"
"q7","Что будет выведено в консоль при последовательном вызове firstFunction и secondFunction, где первая использует then для промиса, а вторая await?","Платформа","2024-05-17","interview_Платформа_001"
"q8","Какой будет результат и вывод в консоль после последовательных вызовов функции multiply с параметром по умолчанию и с объектом value?","Платформа","2024-05-17","interview_Платформа_001"
"q9","Напишите функцию, которая принимает строку и возвращает ее в обратном порядке","Платформа","2024-05-17","interview_Платформа_001"
"q10","Напишите функцию для определения количества вхождений каждого элемента в массив","Платформа","2024-05-17","interview_Платформа_001"
"q11","Напишите функцию, которая перемещает все нулевые элементы массива в конец, сохраняя относительный порядок ненулевых элементов, без копирования массива","Платформа","2024-05-17","interview_Платформа_001"
