"id","question_text","company","date","interview_id"
"q1","Написать функцию, которая запускает параллельно несколько промисов с ограничением на количество одновременно выполняемых задач (лимит)","Сигнал","2025-03-18","interview_Сигнал_000"
"q2","Написать рекурсивную функцию, которая обходит дерево и возвращает все ноды, где есть дочерние ноды, удаляя 'мертвые' узлы без живых детей","Сигнал","2025-03-18","interview_Сигнал_000"
"q1","Почему ищешь работу","Сигнал","2025-03-15","interview_Сигнал_001"
"q2","Как вас учили в колледже","Сигнал","2025-03-15","interview_Сигнал_001"
"q3","Для заданного набора двумерных точек вычислите площадь ограничивающего треугольника","Сигнал","2025-03-15","interview_Сигнал_001"
"q4","Написать React-компонент, который получает данные пользователя по userId с помощью функции fetchUser и выводит основные данные пользователя с обработкой загрузки и ошибок","Сигнал","2025-03-15","interview_Сигнал_001"
"q1","почему ищешь работу","Сигнал","2025-03-11","interview_Сигнал_002"
"q2","как вас учили в колледже","Сигнал","2025-03-11","interview_Сигнал_002"
"q3","Для заданного набора двумерных точек вычислите площадь ограничивающего прямоугольника","Сигнал","2025-03-11","interview_Сигнал_002"
"q4","Написать компонент который будет получать пользователя по {{userId}} и выводить основные данные, для запроса использовать fetchUser","Сигнал","2025-03-11","interview_Сигнал_002"
