"id","question_text","company","date","interview_id"
"q1","Что такое event-loop","Антара","2025-01-28","interview_Антара_000"
"q2","Что такое замыкания","Антара","2025-01-28","interview_Антара_000"
"q1","Какие компоненты в каких папках используются в FSD, приведите примеры","Антара","2024-10-22","interview_Антара_001"
"q2","Чем различаются хранилища браузеров и какое из них безопаснее","Антара","2024-10-22","interview_Антара_001"
"q3","Расскажите про WebSocket, Polling и Long Polling","Антара","2024-10-22","interview_Антара_001"
"q4","Работали ли вы с CSS? В чем различия между flex и grid","Антара","2024-10-22","interview_Антара_001"
"q5","Можно ли через JavaScript работать с псевдоклассами","Антара","2024-10-22","interview_Антара_001"
"q6","Объясните разницу между var, let и const","Антара","2024-10-22","interview_Антара_001"
"q7","Что такое event loop","Антара","2024-10-22","interview_Антара_001"
"q8","Расскажите про event propagation, как остановить всплытие и как получить элемент, на котором сработало событие","Антара","2024-10-22","interview_Антара_001"
"q9","Объясните, что такое хуки в React","Антара","2024-10-22","interview_Антара_001"
"q10","Как вы работали с Git, какие команды использовали, знаете ли про squash и cherry-pick","Антара","2024-10-22","interview_Антара_001"
"q11","Какие у вас базовые знания по TypeScript","Антара","2024-10-22","interview_Антара_001"
"q12","Объясните перегрузку функций в TypeScript","Антара","2024-10-22","interview_Антара_001"
"q1","Зарефакторить React-компонент TestContainer с учетом правильного использования useRef, useState, useCallback и useEffect","Антара","2024-10-22","interview_Антара_001"
"q2","Реализовать функцию queryObjectify, которая преобразует строку параметров вида 'user.name.firstname=Bob&user.name.lastname=Smith&user.favoritecolor=Light%20Blue' в вложенный объект { user: { name: { firstname: 'Bob', lastname: 'Smith' }, favoritecolor: 'Light Blue' } }","Антара","2024-10-22","interview_Антара_001"
"q1","В чем отличия package-lock.json от package.json","Антара","2024-10-15","interview_Антара_002"
"q2","Что будет, если в then будет вызываться другой then (в последующих then будет результат первого промиса)","Антара","2024-10-15","interview_Антара_002"
"q3","Объясните разницу между управляемыми и неуправляемыми компонентами","Антара","2024-10-15","interview_Антара_002"
"q4","Опишите цикл Redux: создание экшена, передача в dispatch, обновление store в редюсере, обновление интерфейса","Антара","2024-10-15","interview_Антара_002"
"q1","Расскажи про свой опыт. Какое образование. Сколько лет. Почему ушел с последнего места работы.","Антара","2024-09-27","interview_Антара_003"
"q2","Какие знаешь хуки? Особенности useRef?","Антара","2024-09-27","interview_Антара_003"
"q3","Какие жизненные циклы компонента реализует useEffect и как?","Антара","2024-09-27","interview_Антара_003"
"q4","Каким стейт-менеджером пользовался, зачем нужны они вообще? Какой архитектурный паттерн у Redux? Что в Redux реализует своевременное обновление данных при изменении?","Антара","2024-09-27","interview_Антара_003"
"q5","Что такое flux?","Антара","2024-09-27","interview_Антара_003"
"q6","Что такое приоритетность селекторов?","Антара","2024-09-27","interview_Антара_003"
"q7","Как выровнять div?","Антара","2024-09-27","interview_Антара_003"
"q8","Что такое em и rem?","Антара","2024-09-27","interview_Антара_003"
"q9","Как парсится страница? Опиши все этапы, на каком этапе обрабатываются скрипты? Что такое async и defer у скриптов?","Антара","2024-09-27","interview_Антара_003"
"q10","Что такое event-loop? Что входит в микро и макро задачи?","Антара","2024-09-27","interview_Антара_003"
"q11","Что такое погружение и всплытие в DOM?","Антара","2024-09-27","interview_Антара_003"
"q1","Определи, что выведется и почему в коде с setTimeout, Promise, console.log и переменными a, b, c, учитывая их объявления и порядок выполнения.","Антара","2024-09-27","interview_Антара_003"
"q2","Проанализируй и сделай ревью React-компонента с useState, useRef, useCallback и useEffect, который обновляет массив и ref.current, и возвращает div с элементами массива.","Антара","2024-09-27","interview_Антара_003"
"q3","Напиши функцию, которая возвращает только уникальные значения массива без использования нативных способов JavaScript, таких как new Set().","Антара","2024-09-27","interview_Антара_003"
"q1","Что такое селекторы?","Антара","2024-09-26","interview_Антара_004"
"q2","Приоритетность селекторов","Антара","2024-09-26","interview_Антара_004"
"q3","Какие есть хранилища в браузере?","Антара","2024-09-26","interview_Антара_004"
"q4","Какие есть флаги у cookie, для чего они, отличие?","Антара","2024-09-26","interview_Антара_004"
"q5","Расскажи про методы оптимизации в React","Антара","2024-09-26","interview_Антара_004"
"q6","Методы копирования объекта","Антара","2024-09-26","interview_Антара_004"
"q7","Расскажи про хуки","Антара","2024-09-26","interview_Антара_004"
"q8","Отличие useState от useRef","Антара","2024-09-26","interview_Антара_004"
"q9","Что выведет в консоль console.log(1++'1'+3)?","Антара","2024-09-26","interview_Антара_004"
"q10","Что выведет в консоль console.log('A'-'B')?","Антара","2024-09-26","interview_Антара_004"
"q11","Напиши кастомный хук useFetch","Антара","2024-09-26","interview_Антара_004"
"q1","Как отрисовывается html после получения?","Антара","2024-09-22","interview_Антара_005"
"q2","Что знаешь про вес селекторов?","Антара","2024-09-22","interview_Антара_005"
"q3","Какие знаешь свойства flex?","Антара","2024-09-22","interview_Антара_005"
"q4","Объясни разницу между == и ===","Антара","2024-09-22","interview_Антара_005"
"q5","Чем proto отличается от prototype?","Антара","2024-09-22","interview_Антара_005"
"q6","Расскажи про localStorage, sessionStorage и cookie","Антара","2024-09-22","interview_Антара_005"
"q7","Какие есть флаги в cookie?","Антара","2024-09-22","interview_Антара_005"
"q8","Какие хуки использовал?","Антара","2024-09-22","interview_Антара_005"
"q9","В чем отличие useRef от useState?","Антара","2024-09-22","interview_Антара_005"
"q10","Что такое дженерики?","Антара","2024-09-22","interview_Антара_005"
"q1","Написать свою реализацию функции map","Антара","2024-09-22","interview_Антара_005"
"q2","Написать функцию, которая из строки 'hello' создаст массив ['Hello','hEllo','heLlo','helLo','hellO']","Антара","2024-09-22","interview_Антара_005"
"q3","Рефакторинг useEffect: добавить массив зависимостей, отписку, убрать async, разделить на два useEffect (один для запроса, другой для логики скролла)","Антара","2024-09-22","interview_Антара_005"
"q1","Что такое useRef и useState хуки, расскажи о них поподробнее и разницу","Антара","2024-09-18","interview_Антара_006"
"q2","Расскажи что такое useEffect, различие между useLayoutEffect, и как мы можем вызвать колбек при размонтировании компонента","Антара","2024-09-18","interview_Антара_006"
"q3","Что такое event.stopPropagation() и event.preventDefault()?","Антара","2024-09-18","interview_Антара_006"
"q4","С помощью чего можно решить проблему пропс дриллинга?","Антара","2024-09-18","interview_Антара_006"
"q5","Какие минусы использования useContext в реакте?","Антара","2024-09-18","interview_Антара_006"
"q6","Что такое дженерики в TypeScript?","Антара","2024-09-18","interview_Антара_006"
"q1","Напиши функцию, которая принимает аргументом массив (в массиве могут быть числа и/или вложенные массивы), и выдает сумму всех чисел из переданного массива","Антара","2024-09-18","interview_Антара_006"
"q2","Напиши кастомный хук useFetch, который принимает URL и отдает объект с значениями data, isLoading, isError, и функцию reload, при вызове которой происходит повторный запрос за данными","Антара","2024-09-18","interview_Антара_006"
