"id","question_text","company","date","interview_id"
"q1","С какими хуками работаешь и расскажи про них (useRef, useLayoutEffect)","Тех Тпп Лаб","2024-07-03","interview_Тех_Тпп_Лаб_000"
"q2","В чем разница между строгим равенством и нестрогим === и ==","Тех Тпп Лаб","2024-07-03","interview_Тех_Тпп_Лаб_000"
"q3","Что такое DOM и VDOM и в чем их разница","Тех Тпп Лаб","2024-07-03","interview_Тех_Тпп_Лаб_000"
"q4","Что такое Portal в React","Тех Тпп Лаб","2024-07-03","interview_Тех_Тпп_Лаб_000"
"q5","Какими HTTP методами пользовался и в чем у них разница","Тех Тпп Лаб","2024-07-03","interview_Тех_Тпп_Лаб_000"
"q6","Можем ли мы обновить объект с помощью метода GET","Тех Тпп Лаб","2024-07-03","interview_Тех_Тпп_Лаб_000"
"q7","Можем ли мы создать сущность с помощью метода GET","Тех Тпп Лаб","2024-07-03","interview_Тех_Тпп_Лаб_000"
"q8","Работал ли с авторизацией и на чем","Тех Тпп Лаб","2024-07-03","interview_Тех_Тпп_Лаб_000"
"q9","Что такое JWT токен и зачем он нужен","Тех Тпп Лаб","2024-07-03","interview_Тех_Тпп_Лаб_000"
"q10","Какие параметры можно передать в полезной нагрузке помимо жизни токена JWT","Тех Тпп Лаб","2024-07-03","interview_Тех_Тпп_Лаб_000"
"q11","Сталкивался ли с ролевой моделью (администратор, клиент, менеджер)","Тех Тпп Лаб","2024-07-03","interview_Тех_Тпп_Лаб_000"
"q12","Для чего нужен последний блок JWT токена — подпись (signature)","Тех Тпп Лаб","2024-07-03","interview_Тех_Тпп_Лаб_000"
"q13","Если мы поменяем payload в подписи JWT токена (вместо роли менеджера запишем роль администратора), будет ли такой токен работать","Тех Тпп Лаб","2024-07-03","interview_Тех_Тпп_Лаб_000"
"q1","Рефакторинг React компонента: при нажатии кнопки значение первого элемента массива на экране должно измениться на '1', исправить ошибки в коде компонента с использованием useState и отображением списка","Тех Тпп Лаб","2024-07-03","interview_Тех_Тпп_Лаб_000"
"q2","Реализовать React компонент с инпутом, при каждом вводе нового значения запрашивать данные по API jsonplaceholder соответствующего комментария, отображать лоадер во время загрузки, описать возможные проблемы при таком взаимодействии с бэкендом и пути их решения","Тех Тпп Лаб","2024-07-03","interview_Тех_Тпп_Лаб_000"
