"id","question_text","company","date","interview_id"
"q1","Что такое HTTP запросы и как они работают?","Avs Consulting","2024-11-20","interview_Avs_Consulting_000"
"q2","Что такое preflight запрос (OPTIONS) в CORS и зачем он нужен?","Avs Consulting","2024-11-20","interview_Avs_Consulting_000"
"q3","Перечислите и объясните REST API методы","Avs Consulting","2024-11-20","interview_Avs_Consulting_000"
"q4","Объясните основные принципы ООП","Avs Consulting","2024-11-20","interview_Avs_Consulting_000"
"q5","В чем разница между localStorage, sessionStorage, cookie и IndexedDB?","Avs Consulting","2024-11-20","interview_Avs_Consulting_000"
"q6","Что такое CORS и как работают заголовки CORS и куки?","Avs Consulting","2024-11-20","interview_Avs_Consulting_000"
"q7","В чем разница между let и const?","Avs Consulting","2024-11-20","interview_Avs_Consulting_000"
"q8","Объясните разницу между примитивными и ссылочными типами данных в JavaScript","Avs Consulting","2024-11-20","interview_Avs_Consulting_000"
"q9","Что произойдет при выполнении кода: const a = { test: 1}; a.test = 2;","Avs Consulting","2024-11-20","interview_Avs_Consulting_000"
"q10","Что произойдет при выполнении кода: const a = []; a.push(1);","Avs Consulting","2024-11-20","interview_Avs_Consulting_000"
"q11","Объясните разницу между Function declaration, Function expression и стрелочными функциями","Avs Consulting","2024-11-20","interview_Avs_Consulting_000"
"q12","Объясните работу методов bind, call и apply","Avs Consulting","2024-11-20","interview_Avs_Consulting_000"
"q13","Что такое this в JavaScript и как он определяется?","Avs Consulting","2024-11-20","interview_Avs_Consulting_000"
"q14","Что такое замыкания в JavaScript?","Avs Consulting","2024-11-20","interview_Avs_Consulting_000"
"q15","Объясните, что такое Promise и как работает async/await","Avs Consulting","2024-11-20","interview_Avs_Consulting_000"
"q16","Как происходит обработка ошибок в асинхронном коде на JavaScript?","Avs Consulting","2024-11-20","interview_Avs_Consulting_000"
"q17","Перечислите плюсы и минусы TypeScript","Avs Consulting","2024-11-20","interview_Avs_Consulting_000"
"q18","В чем разница между интерфейсами и типами в TypeScript?","Avs Consulting","2024-11-20","interview_Avs_Consulting_000"
"q19","Что такое утилити-типы в TypeScript и для чего они используются?","Avs Consulting","2024-11-20","interview_Avs_Consulting_000"
"q20","Объясните разницу между any, unknown и never в TypeScript","Avs Consulting","2024-11-20","interview_Avs_Consulting_000"
"q21","Что такое Generic в TypeScript и как его использовать?","Avs Consulting","2024-11-20","interview_Avs_Consulting_000"
