"id","question_text","company","date","interview_id"
"q1","В чем разница между interface и type в TypeScript","Восточная Горнорудная","2024-01-18","interview_Восточная_Горнорудная_000"
"q2","Объясните дженерики в TypeScript","Восточная Горнорудная","2024-01-18","interview_Восточная_Горнорудная_000"
"q3","Почему TypeScript не работает в рантайме","Восточная Горнорудная","2024-01-18","interview_Восточная_Горнорудная_000"
"q4","Объясните замыкания и стадии создания контекста","Восточная Горнорудная","2024-01-18","interview_Восточная_Горнорудная_000"
"q5","Объясните разницу между WebSocket и HTTP","Восточная Горнорудная","2024-01-18","interview_Восточная_Горнорудная_000"
"q6","Опишите, что происходит в интернете с момента ввода URL в адресную строку браузера","Восточная Горнорудная","2024-01-18","interview_Восточная_Горнорудная_000"
"q7","Что такое JWT и как он работает","Восточная Горнорудная","2024-01-18","interview_Восточная_Горнорудная_000"
"q8","Объясните CORS и зачем он нужен","Восточная Горнорудная","2024-01-18","interview_Восточная_Горнорудная_000"
"q9","Для чего нужны access и refresh токены, где их хранить и почему","Восточная Горнорудная","2024-01-18","interview_Восточная_Горнорудная_000"
"q10","Расскажите про архитектуры, которые вы использовали, почему сначала применяли одну, потом другую, плюсы и минусы","Восточная Горнорудная","2024-01-18","interview_Восточная_Горнорудная_000"
"q11","Объясните основные принципы Domain-Driven Design (DDD)","Восточная Горнорудная","2024-01-18","interview_Восточная_Горнорудная_000"
"q12","В чем отличия Vue 2 и Vue 3","Восточная Горнорудная","2024-01-18","interview_Восточная_Горнорудная_000"
"q13","Расскажите про Composition API и Options API в Vue, их различия и преимущества","Восточная Горнорудная","2024-01-18","interview_Восточная_Горнорудная_000"
"q14","Опишите хуки жизненного цикла Vue и что происходит на каждом этапе","Восточная Горнорудная","2024-01-18","interview_Восточная_Горнорудная_000"
"q15","В чем отличия методов (methods) от вычисляемых свойств (computed) и наблюдателей (watchers) в Vue","Восточная Горнорудная","2024-01-18","interview_Восточная_Горнорудная_000"
"q16","Что такое effectScope в Vue","Восточная Горнорудная","2024-01-18","interview_Восточная_Горнорудная_000"
"q17","Объясните, что такое trigger в контексте Vue (реактивность)","Восточная Горнорудная","2024-01-18","interview_Восточная_Горнорудная_000"
