"id","question_text","company","date","interview_id"
"q1","Селекторы в CSS","Egar Technology","2025-01-29","interview_Egar_Technology_000"
"q2","Для чего используется селектор * {} в CSS","Egar Technology","2025-01-29","interview_Egar_Technology_000"
"q3","event-loop","Egar Technology","2025-01-29","interview_Egar_Technology_000"
"q4","this","Egar Technology","2025-01-29","interview_Egar_Technology_000"
"q5","call, bind, apply","Egar Technology","2025-01-29","interview_Egar_Technology_000"
"q6","React.Fragment - для чего используется и какие пропсы принимает","Egar Technology","2025-01-29","interview_Egar_Technology_000"
"q7","Сравните useEffect и useLayoutEffect","Egar Technology","2025-01-29","interview_Egar_Technology_000"
"q8","Объясните разницу между управляемым и неуправляемым компонентом в React","Egar Technology","2025-01-29","interview_Egar_Technology_000"
"q9","Какие бывают виды тестов: unit, интеграционные, e2e","Egar Technology","2025-01-29","interview_Egar_Technology_000"
"q10","Что такое Cypress и Playwright","Egar Technology","2025-01-29","interview_Egar_Technology_000"
"q11","Где лучше хранить авторизационные токены и почему в куках","Egar Technology","2025-01-29","interview_Egar_Technology_000"
"q12","Виды атак: XSS, CSRF и другие","Egar Technology","2025-01-29","interview_Egar_Technology_000"
"q13","Что такое CORS","Egar Technology","2025-01-29","interview_Egar_Technology_000"
"q1","Типизировать React-хук useOperationQuery, который принимает параметры запроса и возвращает объект с данными, состояниями загрузки, ошибки и текстом ошибки, используя generic тип T","Egar Technology","2025-01-29","interview_Egar_Technology_000"
"q1","Реализуйте вывод чисел от 1 до 100 с заменой чисел, кратных 3 и 5, на 'FizzBuzz', кратных 3 на 'Fizz', кратных 5 на 'Buzz'","Egar Technology","2024-07-08","interview_Egar_Technology_001"
"q2","Напишите функцию bookingCalculate, которая рассчитывает стоимость бронирования с разной стоимостью для будних и выходных дней, учитывая количество ночей и дату начала","Egar Technology","2024-07-08","interview_Egar_Technology_001"
"q3","Напишите кастомный React-хук useOperationQuery для запроса данных с возможностью прерывания предыдущего запроса через AbortController","Egar Technology","2024-07-08","interview_Egar_Technology_001"
"q1","Что такое замыкание","Egar Technology","2024-01-16","interview_Egar_Technology_002"
"q2","Какая функция не имеет замыкания","Egar Technology","2024-01-16","interview_Egar_Technology_002"
"q3","Через какое скрытое свойство работает замыкание","Egar Technology","2024-01-16","interview_Egar_Technology_002"
"q4","Что возвращает typeof Alert()","Egar Technology","2024-01-16","interview_Egar_Technology_002"
"q5","Объясните приведение типов в JavaScript","Egar Technology","2024-01-16","interview_Egar_Technology_002"
"q6","Объясните наследование в JavaScript","Egar Technology","2024-01-16","interview_Egar_Technology_002"
"q7","В чем разница между proto и prototype","Egar Technology","2024-01-16","interview_Egar_Technology_002"
"q8","У каких функций есть prototype","Egar Technology","2024-01-16","interview_Egar_Technology_002"
"q9","Какие типы данных можно присвоить prototype","Egar Technology","2024-01-16","interview_Egar_Technology_002"
"q10","Какие ограничения есть у прототипного наследования в JavaScript","Egar Technology","2024-01-16","interview_Egar_Technology_002"
"q11","Какие виды данных есть в JavaScript","Egar Technology","2024-01-16","interview_Egar_Technology_002"
"q12","Что выведется в консоль при выполнении: console.log(undefined > 0); console.log(undefined < 0); console.log(undefined == 0);","Egar Technology","2024-01-16","interview_Egar_Technology_002"
