"id","question_text","company","date","interview_id"
"q1","Виды позиционирования в CSS (static, relative, absolute, fixed, sticky)","Маквес","2025-06-26","interview_Маквес_000"
"q2","Какие есть единицы измерения в CSS и какие лучше использовать (px, em, rem, %, vw, vh)","Маквес","2025-06-26","interview_Маквес_000"
"q3","В чем различия между единицами em и rem в CSS","Маквес","2025-06-26","interview_Маквес_000"
"q4","Какие существуют псевдо-классы в CSS и для чего они используются (:hover, :active, :focus, :visited, :link, :disabled, :enabled)","Маквес","2025-06-26","interview_Маквес_000"
"q5","Какие существуют псевдо-элементы в CSS и как они работают (::before, ::after)","Маквес","2025-06-26","interview_Маквес_000"
"q6","Как работает свойство z-index в CSS и какие есть нюансы при большом количестве элементов с z-index и вложенностью","Маквес","2025-06-26","interview_Маквес_000"
"q7","Если есть два div-контейнера A и B с z-index 2 и 3 соответственно, внутри A есть элемент C с z-index 5, а внутри B элемент D с z-index 4, какой из элементов C или D будет отображаться выше и почему","Маквес","2025-06-26","interview_Маквес_000"
"q8","Что такое media-запросы в CSS и для чего они используются","Маквес","2025-06-26","interview_Маквес_000"
"q9","Работает ли prefers-reduced-motion как отключатель всех анимаций и как правильно использовать этот media-запрос","Маквес","2025-06-26","interview_Маквес_000"
"q10","Расскажите, чем вы занимались на последнем месте работы","Маквес","2025-06-26","interview_Маквес_000"
"q11","Приходилось ли вам работать со styled components","Маквес","2025-06-26","interview_Маквес_000"
"q12","Сравните styled components и SCSS modules, какие у вас предпочтения и почему","Маквес","2025-06-26","interview_Маквес_000"
"q13","Расскажите про использование UI Kit на вашем проекте","Маквес","2025-06-26","interview_Маквес_000"
"q14","Что такое React Grid Layout и для чего он используется","Маквес","2025-06-26","interview_Маквес_000"
"q15","На чем писали таблицы в вашем проекте (например, самописные решения)","Маквес","2025-06-26","interview_Маквес_000"
"q1","Виды позиционирования SCSS (static, relative, absolute, fixed, sticky)","Маквес","2025-06-26","interview_Маквес_001"
"q2","Какие есть единицы измерения в CSS, какие лучше использовать (px, em, rem, %, vw, vh)","Маквес","2025-06-26","interview_Маквес_001"
"q3","В чем различия между em и rem в CSS","Маквес","2025-06-26","interview_Маквес_001"
"q4","Какие есть псевдо-классы в CSS и для чего они используются (:hover, :active, :focus, :visited, :link, :disabled, :enabled)","Маквес","2025-06-26","interview_Маквес_001"
"q5","Что такое псевдо-элементы в CSS и как работают ::before и ::after","Маквес","2025-06-26","interview_Маквес_001"
"q6","Как работает Z-index в CSS и какие есть нюансы при большом количестве элементов с Z-index и вложенностью","Маквес","2025-06-26","interview_Маквес_001"
"q7","Если есть два div-контейнера A с Z-index 2 и B с Z-index 3, внутри A есть C с Z-index 5, а внутри B есть D с Z-index 4, какой из div'ов C или D будет выше и почему","Маквес","2025-06-26","interview_Маквес_001"
"q9","Как работает prefers-reduced-motion media-запрос и отключает ли он все анимации автоматически","Маквес","2025-06-26","interview_Маквес_001"
"q10","Расскажите, чем занимались на последнем месте работы","Маквес","2025-06-26","interview_Маквес_001"
"q11","Приходилось ли работать со styled components","Маквес","2025-06-26","interview_Маквес_001"
"q12","Сравните styled components и SCSS modules, какие предпочтения","Маквес","2025-06-26","interview_Маквес_001"
"q13","Расскажите про UI Kit на проекте","Маквес","2025-06-26","interview_Маквес_001"
"q15","На чем писали таблицы на проекте (самописные или готовые решения)","Маквес","2025-06-26","interview_Маквес_001"
