"id","question_text","company","date","interview_id"
"q1","Расскажите про Frontend Software Development (FSD) и чистую архитектуру","Unirest","2024-10-20","interview_Unirest_000"
"q2","Что за плагины приходилось писать для eslint и babel?","Unirest","2024-10-20","interview_Unirest_000"
"q3","Какое место занимал в команде и как происходило взаимодействие с другими разработчиками?","Unirest","2024-10-20","interview_Unirest_000"
"q4","Как было устроено ревью кода?","Unirest","2024-10-20","interview_Unirest_000"
"q5","Какие технологии применяются для написания стилей?","Unirest","2024-10-20","interview_Unirest_000"
"q6","Какие минусы есть у подхода css in js?","Unirest","2024-10-20","interview_Unirest_000"
"q7","С какими UI библиотеками работал, приходилось ли писать свой UI Kit?","Unirest","2024-10-20","interview_Unirest_000"
"q8","Какие линтеры знаешь?","Unirest","2024-10-20","interview_Unirest_000"
"q9","Какие виды тестов знаешь? Расскажи подробнее про unit и e2e тестирование","Unirest","2024-10-20","interview_Unirest_000"
"q10","Что такое CI и что запускалось во время его запуска? Что такое Sentry и для чего он нужен?","Unirest","2024-10-20","interview_Unirest_000"
"q11","Расскажи про хуки в React: useCallback, React.memo, useMemo, useEffect, useLayoutEffect","Unirest","2024-10-20","interview_Unirest_000"
"q12","Приходилось ли работать с классовыми компонентами в React?","Unirest","2024-10-20","interview_Unirest_000"
"q13","Какие стадии отрисовки в браузере знаешь?","Unirest","2024-10-20","interview_Unirest_000"
"q14","Что такое Fibers, reconciliation, эвристический подход и для чего нужны ключи в React?","Unirest","2024-10-20","interview_Unirest_000"
"q15","Какие библиотеки для работы с формами знаешь? Какая больше нравится?","Unirest","2024-10-20","interview_Unirest_000"
"q16","Для чего нужен RTK Query?","Unirest","2024-10-20","interview_Unirest_000"
"q17","Какой position по умолчанию у элемента в CSS? Какие вообще есть значения position и как они работают?","Unirest","2024-10-20","interview_Unirest_000"
"q18","В чем отличие Flex от Grid в CSS?","Unirest","2024-10-20","interview_Unirest_000"
"q19","Если по умолчанию используется flex, относительно чего произойдет выравнивание с align-items: center?","Unirest","2024-10-20","interview_Unirest_000"
"q20","Что делает свойство align-self в flexbox?","Unirest","2024-10-20","interview_Unirest_000"
"q21","Для чего нужно flex-grow?","Unirest","2024-10-20","interview_Unirest_000"
"q22","Какие способы анимирования в CSS существуют? Что более производительно и в каких случаях что лучше использовать?","Unirest","2024-10-20","interview_Unirest_000"
"q23","Что такое local storage и cookie?","Unirest","2024-10-20","interview_Unirest_000"
"q24","Каким образом cookie попадают в HTTP-запрос?","Unirest","2024-10-20","interview_Unirest_000"
"q25","Что означают HTTP коды ошибок 401 и 403 и чем они отличаются?","Unirest","2024-10-20","interview_Unirest_000"
"q26","Какие виды редиректов знаешь и чем они отличаются?","Unirest","2024-10-20","interview_Unirest_000"
"q27","Для чего нужны OPTIONS запросы? Расскажи про CORS","Unirest","2024-10-20","interview_Unirest_000"
"q28","В какой последовательности будут вызваны функции при выполнении await f1() и await f2()?","Unirest","2024-10-20","interview_Unirest_000"
"q29","Как вызвать функции f1 и f2 параллельно? Расскажи про Promise.all, Promise.allSettled(), Promise.race()","Unirest","2024-10-20","interview_Unirest_000"
"q30","Как передать функции f1 и f2 в Promise.all?","Unirest","2024-10-20","interview_Unirest_000"
"q31","Что такое SOLID? Расскажи подробнее про принцип инверсии зависимостей (Dependency Inversion Principle)","Unirest","2024-10-20","interview_Unirest_000"
"q32","Приведи примеры использования принципа инверсии зависимостей","Unirest","2024-10-20","interview_Unirest_000"
"q33","Какие утилити тайпы знаешь в TypeScript?","Unirest","2024-10-20","interview_Unirest_000"
"q34","Типизируй функцию map, которая принимает массив T и функцию преобразования в U и возвращает массив U","Unirest","2024-10-20","interview_Unirest_000"
"q35","Какие стейт менеджеры знаешь? От чего бы отталкивался при выборе стейт менеджера для нового проекта?","Unirest","2024-10-20","interview_Unirest_000"
"q36","Какие задачи решает Redux Toolkit?","Unirest","2024-10-20","interview_Unirest_000"
"q37","Какие есть способы работы с запросами в Redux?","Unirest","2024-10-20","interview_Unirest_000"
"q38","Что такое GraphQL и какую проблему он решает?","Unirest","2024-10-20","interview_Unirest_000"
"q39","Какие frontend фреймворки знаешь?","Unirest","2024-10-20","interview_Unirest_000"
