"id","question_text","company","date","interview_id"
"q1","расскажи про себя","Юспи Групп","2024-11-12","interview_Юспи_Групп_000"
"q2","Что такое семантическая верстка и какие теги используются для семантической верстки","Юспи Групп","2024-11-12","interview_Юспи_Групп_000"
"q3","Объясните модель CSSOM","Юспи Групп","2024-11-12","interview_Юспи_Групп_000"
"q4","Что такое доступность страницы и как её обеспечить","Юспи Групп","2024-11-12","interview_Юспи_Групп_000"
"q5","Объясните механизм всплытия событий в JavaScript","Юспи Групп","2024-11-12","interview_Юспи_Групп_000"
"q6","Что такое async/await и как они работают","Юспи Групп","2024-11-12","interview_Юспи_Групп_000"
"q7","Что такое Promise в JavaScript и какие методы у него есть","Юспи Групп","2024-11-12","interview_Юспи_Групп_000"
"q8","Что такое JS Worker и как его использовать","Юспи Групп","2024-11-12","interview_Юспи_Групп_000"
"q9","Объясните работу WebSocket","Юспи Групп","2024-11-12","interview_Юспи_Групп_000"
"q10","Что такое тернарный оператор и как его применять","Юспи Групп","2024-11-12","interview_Юспи_Групп_000"
"q11","Чем отличаются cookie, localStorage и sessionStorage","Юспи Групп","2024-11-12","interview_Юспи_Групп_000"
"q12","В чем разница между forEach и map в JavaScript","Юспи Групп","2024-11-12","interview_Юспи_Групп_000"
"q13","Что такое CSS position и какие значения у него бывают","Юспи Групп","2024-11-12","interview_Юспи_Групп_000"
"q14","Как с помощью CSS поместить модальное окно по центру экрана","Юспи Групп","2024-11-12","interview_Юспи_Групп_000"
"q15","Что такое CSS reset и normalize, в чем их отличие","Юспи Групп","2024-11-12","interview_Юспи_Групп_000"
"q16","Что такое @media в CSS и как использовать медиа-запросы","Юспи Групп","2024-11-12","interview_Юспи_Групп_000"
"q17","Объясните работу CSS Grid","Юспи Групп","2024-11-12","interview_Юспи_Групп_000"
"q18","Каков смысл использования React","Юспи Групп","2024-11-12","interview_Юспи_Групп_000"
"q19","В чем разница между useEffect и useLayoutEffect в React","Юспи Групп","2024-11-12","interview_Юспи_Групп_000"
"q20","Что такое useState в React и как его использовать","Юспи Групп","2024-11-12","interview_Юспи_Групп_000"
"q21","Для чего используются useRef в React","Юспи Групп","2024-11-12","interview_Юспи_Групп_000"
"q22","Объясните назначение useMemo и useCallback в React","Юспи Групп","2024-11-12","interview_Юспи_Групп_000"
"q23","Что такое порталы в React и как их использовать","Юспи Групп","2024-11-12","interview_Юспи_Групп_000"
"q24","Что такое виртуальные списки и зачем они нужны","Юспи Групп","2024-11-12","interview_Юспи_Групп_000"
"q25","В чем разница между interface и type в TypeScript","Юспи Групп","2024-11-12","interview_Юспи_Групп_000"
"q26","С каким стейтом работали и какой использовали","Юспи Групп","2024-11-12","interview_Юспи_Групп_000"
