"id","question_text","company","date","interview_id"
"q1","Какими стейт-менеджерами пользовался?","Premium IT Solution","2024-07-11","interview_Premium_IT_Solution_000"
"q2","Отличия Mobx от Redux?","Premium IT Solution","2024-07-11","interview_Premium_IT_Solution_000"
"q3","В чём популярность React? Какую проблему он решает?","Premium IT Solution","2024-07-11","interview_Premium_IT_Solution_000"
"q4","Из чего состоит React? Компоненты, пропсы и т.д.","Premium IT Solution","2024-07-11","interview_Premium_IT_Solution_000"
"q5","Каким образом можно использовать контекст в функциональных компонентах?","Premium IT Solution","2024-07-11","interview_Premium_IT_Solution_000"
"q6","Какие хуки использовал?","Premium IT Solution","2024-07-11","interview_Premium_IT_Solution_000"
"q7","Отличия useMemo от useCallback?","Premium IT Solution","2024-07-11","interview_Premium_IT_Solution_000"
"q8","Чем события в React отличаются от событий в JS?","Premium IT Solution","2024-07-11","interview_Premium_IT_Solution_000"
"q9","Что такое порталы в React?","Premium IT Solution","2024-07-11","interview_Premium_IT_Solution_000"
"q10","Работал ли с SSR?","Premium IT Solution","2024-07-11","interview_Premium_IT_Solution_000"
"q1","Написать функцию, которая реализует аналог метода .flat() для вложенных массивов","Premium IT Solution","2024-07-11","interview_Premium_IT_Solution_000"
"q2","Написать функцию, которая реализует аналог Promise.all для массива промисов","Premium IT Solution","2024-07-11","interview_Premium_IT_Solution_000"
"q3","Написать React-компонент конвертер километров в мили и наоборот с выбором направления конвертации и вводом значения","Premium IT Solution","2024-07-11","interview_Premium_IT_Solution_000"
