"id","question_text","company","date","interview_id"
"q1","Что такое event-loop","Промсвязьбанк","2024-12-11","interview_Промсвязьбанк_000"
"q2","Что такое замыкания","Промсвязьбанк","2024-12-11","interview_Промсвязьбанк_000"
"q1","Расскажите про методы у примитивов","Промсвязьбанк","2024-08-29","interview_Промсвязьбанк_001"
"q2","Как хранится информация в браузере?","Промсвязьбанк","2024-08-29","interview_Промсвязьбанк_001"
"q3","Расскажите про команды git","Промсвязьбанк","2024-08-29","interview_Промсвязьбанк_001"
"q4","Объясните принципы SOLID и применение каждого из них","Промсвязьбанк","2024-08-29","interview_Промсвязьбанк_001"
"q5","Что такое event-loop?","Промсвязьбанк","2024-08-29","interview_Промсвязьбанк_001"
"q6","Зависнет ли выполнение при использовании while(true)?","Промсвязьбанк","2024-08-29","interview_Промсвязьбанк_001"
"q7","Реализуйте класс Queue с методами enqueue и dequeue, используя два стека","Промсвязьбанк","2024-08-29","interview_Промсвязьбанк_001"
"q1","Задача на нахождение числа в середине из 2 массивов без слияния массивов, с ограничением по памяти O(1)","Промсвязьбанк","2024-08-29","interview_Промсвязьбанк_002"
"q2","Что выведется в консоль при выполнении кода, результат: 6 7 1 3 4 5","Промсвязьбанк","2024-08-29","interview_Промсвязьбанк_002"
"q3","Будет ли переполнение стека при выполнении бесконечного цикла while(true)?","Промсвязьбанк","2024-08-29","interview_Промсвязьбанк_002"
"q4","Перечислить все способы поставить элементы A и B из двух div в одну строку в HTML/CSS","Промсвязьбанк","2024-08-29","interview_Промсвязьбанк_002"
"q5","Как выглядит интерфейс из TypeScript в JavaScript после транспиляции?","Промсвязьбанк","2024-08-29","interview_Промсвязьбанк_002"
"q6","Решение задачи valid anagram с LeetCode","Промсвязьбанк","2024-08-29","interview_Промсвязьбанк_002"
"q1","Про опыт, больше про задачи которыми гордишься","Промсвязьбанк","2024-07-14","interview_Промсвязьбанк_003"
"q2","Чем бы хотелось заниматься, какой проект ищешь?","Промсвязьбанк","2024-07-14","interview_Промсвязьбанк_003"
"q3","Как развиваешься?","Промсвязьбанк","2024-07-14","interview_Промсвязьбанк_003"
"q4","Расскажи про Event Loop","Промсвязьбанк","2024-07-14","interview_Промсвязьбанк_003"
"q5","Можем ли мы запланировать много requestAnimationFrame? Как они будут выполняться?","Промсвязьбанк","2024-07-14","interview_Промсвязьбанк_003"
"q6","После установления соединения с сервером какой HTTP метод запроса отправляется на сервер?","Промсвязьбанк","2024-07-14","interview_Промсвязьбанк_003"
"q7","Как браузер понимает, что пришла HTML страница и как он ее обрабатывает?","Промсвязьбанк","2024-07-14","interview_Промсвязьбанк_003"
"q8","Как будет себя вести браузер и как отобразит страницу, если в head есть link на стили размером 5 Мб, а в body один тег H1?","Промсвязьбанк","2024-07-14","interview_Промсвязьбанк_003"
"q9","Расскажи про атрибуты тега script, в частности про async и defer","Промсвязьбанк","2024-07-14","interview_Промсвязьбанк_003"
"q10","Какие знаешь браузерные API и способы сохранять информацию?","Промсвязьбанк","2024-07-14","interview_Промсвязьбанк_003"
"q11","В чем отличие SessionStorage и LocalStorage?","Промсвязьбанк","2024-07-14","interview_Промсвязьбанк_003"
"q12","Что такое cookie? Какие особенности и настройки cookie?","Промсвязьбанк","2024-07-14","interview_Промсвязьбанк_003"
"q13","Какие есть способы интеграции с бекэндом?","Промсвязьбанк","2024-07-14","interview_Промсвязьбанк_003"
"q14","Расскажи про REST API","Промсвязьбанк","2024-07-14","interview_Промсвязьбанк_003"
"q15","Какие паттерны и шаблоны проектирования знаешь?","Промсвязьбанк","2024-07-14","interview_Промсвязьбанк_003"
"q16","Расскажи про ООП","Промсвязьбанк","2024-07-14","interview_Промсвязьбанк_003"
"q17","Расскажи что такое SOLID","Промсвязьбанк","2024-07-14","interview_Промсвязьбанк_003"
"q1","Реализовать класс Queue с двумя стеками, поддерживающий методы enqueue для добавления в очередь, dequeue для получения следующего элемента и count для подсчёта элементов","Промсвязьбанк","2024-07-14","interview_Промсвязьбанк_003"
"q2","Оптимизировать функцию getLastDecisions, которая принимает два отсортированных по возрастанию id массива заявок и число k, и возвращает список из k последних заявок на кредит, используя алгоритм с временной сложностью O(k), сравнивая и записывая только последние элементы массивов","Промсвязьбанк","2024-07-14","interview_Промсвязьбанк_003"
"q3","Что будет выведено в консоль при выполнении цепочки Promise.reject('a').catch(p => p + 'b').catch(p => p + 'c').then(p => p + 'd').then(p => console.log(p)) и как вывести все буквы из результата?","Промсвязьбанк","2024-07-14","interview_Промсвязьбанк_003"
