"id","question_text","company","date","interview_id"
"q1","Что такое bind и какая у него сигнатура? Хотели слышать именно кейсы с частичным его применением.","Softnetix","2024-02-19","interview_Softnetix_000"
"q2","Маленькая задача на частичное применение функции через bind","Softnetix","2024-02-19","interview_Softnetix_000"
"q3","Что такое каррирование и частичное применение?","Softnetix","2024-02-19","interview_Softnetix_000"
"q4","Напиши базовый пример каррирования","Softnetix","2024-02-19","interview_Softnetix_000"
"q5","В чем практическая польза каррирования и чем это полезно в проекте (нужно было реальные кейсы назвать)","Softnetix","2024-02-19","interview_Softnetix_000"
"q6","Дописать функционал на расширение существующего кода по SOLID с помощью каррирования, постепенно усложняя задачи","Softnetix","2024-02-19","interview_Softnetix_000"
"q1","Отличие метода массива forEach от map","Softnetix","2024-02-19","interview_Softnetix_001"
"q2","Что делает метод reduce, какая сигнатура и что должен вернуть","Softnetix","2024-02-19","interview_Softnetix_001"
"q3","Что будет если не задать начальное значение в reduce","Softnetix","2024-02-19","interview_Softnetix_001"
"q4","Что будет если не указать аккумулятор в reduce","Softnetix","2024-02-19","interview_Softnetix_001"
"q5","Назови мутирующие методы массива","Softnetix","2024-02-19","interview_Softnetix_001"
"q6","Назови статические методы промисов","Softnetix","2024-02-19","interview_Softnetix_001"
"q7","Что такое статический метод класса в JS","Softnetix","2024-02-19","interview_Softnetix_001"
"q8","Можем ли мы вызвать у инстанса класса статический метод, от которого он был создан","Softnetix","2024-02-19","interview_Softnetix_001"
"q9","Какая сигнатура у конструктора класса Promise","Softnetix","2024-02-19","interview_Softnetix_001"
"q10","Если в конструкторе Promise вызвать resolve и ничего не возвращать, сможем ли мы потом достать эти данные","Softnetix","2024-02-19","interview_Softnetix_001"
"q11","Какие методы есть у экземпляра класса Promise","Softnetix","2024-02-19","interview_Softnetix_001"
"q12","Если поместить в переменную несколько then.then.then, в последний then поместить число и потом взять typeof от этой переменной, то какой тип данных будет","Softnetix","2024-02-19","interview_Softnetix_001"
"q13","Назови один любой принцип SOLID и расскажи подробно в контексте JS/React","Softnetix","2024-02-19","interview_Softnetix_001"
"q14","Для чего нужен метод bind и что он принимает","Softnetix","2024-02-19","interview_Softnetix_001"
"q15","Можем ли мы частично забиндить аргумент функции из 3 аргументов, если нужно забиндить 2 из них, как это сделать","Softnetix","2024-02-19","interview_Softnetix_001"
"q16","Зачем нужны ключи в React","Softnetix","2024-02-19","interview_Softnetix_001"
"q17","В каких случаях можно использовать индекс у элементов массива в качестве ключа, а в каких нельзя","Softnetix","2024-02-19","interview_Softnetix_001"
"q18","Можем ли мы в компонент, который рендерится вне списка, пробросить какой-то ключ","Softnetix","2024-02-19","interview_Softnetix_001"
"q19","Что будет с компонентом, если мы поменяли ключ, при этом ключ это локальный стейт, который меняется при нажатии на кнопку","Softnetix","2024-02-19","interview_Softnetix_001"
"q20","Какие у React есть инструменты из коробки для оптимизации","Softnetix","2024-02-19","interview_Softnetix_001"
"q21","Расскажи про useMemo и useCallback","Softnetix","2024-02-19","interview_Softnetix_001"
"q22","Вызывается ли функция, если мы обернем её в useCallback","Softnetix","2024-02-19","interview_Softnetix_001"
"q23","Вызывается ли функция, если мы обернем её в useMemo","Softnetix","2024-02-19","interview_Softnetix_001"
"q24","Есть компонент, который принимает N-ое число пропсов, в этом компоненте объявлена функция, которая не зависит от скоупа пропсов и других переменных, она просто выводит в консоль true, и эта функция как handler пробрасывается на 5 компонентов вглубь, всё дерево ререндерится при ререндере родителя. Как решить проблему без прибегания к возможностям React","Softnetix","2024-02-19","interview_Softnetix_001"
"q25","Как работает React.memo и как он сравнивает пропсы","Softnetix","2024-02-19","interview_Softnetix_001"
"q26","Можем ли мы написать свой алгоритм сравнения пропсов для React.memo","Softnetix","2024-02-19","interview_Softnetix_001"
"q27","Для чего нужен React.lazy и какая у него сигнатура","Softnetix","2024-02-19","interview_Softnetix_001"
"q28","Какую метрику (параметр) улучшает React.lazy","Softnetix","2024-02-19","interview_Softnetix_001"
"q29","Каким образом webpack понимает, что какую-то часть кода нужно вынести в отдельную чанку","Softnetix","2024-02-19","interview_Softnetix_001"
"q30","Какая сигнатура у редьюсера в Redux и что он возвращает","Softnetix","2024-02-19","interview_Softnetix_001"
"q31","Как мы изменяем state внутри reducer","Softnetix","2024-02-19","interview_Softnetix_001"
"q32","Мы мутируем state или каждый раз возвращаем новую ссылку на state в reducer","Softnetix","2024-02-19","interview_Softnetix_001"
"q33","Делаем shallow copy или глубокую копию state в reducer, что будет если сделать глубокую копию и какие проблемы есть у такого подхода","Softnetix","2024-02-19","interview_Softnetix_001"
"q34","Как можно работать с мемоизацией селекторов в Redux, как это работает и что мемоизируется","Softnetix","2024-02-19","interview_Softnetix_001"
