"id","question_text","company","date","interview_id"
"q1","Типы данных js","Click2Money","2024-06-03","interview_Click2Money_000"
"q2","null и undefined, разница","Click2Money","2024-06-03","interview_Click2Money_000"
"q3","Замыкание","Click2Money","2024-06-03","interview_Click2Money_000"
"q4","Промис","Click2Money","2024-06-03","interview_Click2Money_000"
"q5","Как можно избежать ссылочной зависимости при копировании объекта","Click2Money","2024-06-03","interview_Click2Money_000"
"q6","Деструктуризация массива","Click2Money","2024-06-03","interview_Click2Money_000"
"q7","Event loop","Click2Money","2024-06-03","interview_Click2Money_000"
"q8","Способы хранения данных в браузере","Click2Money","2024-06-03","interview_Click2Money_000"
"q9","Разница session и localstorage","Click2Money","2024-06-03","interview_Click2Money_000"
"q10","Как сервер запрещает чтение куки из браузере","Click2Money","2024-06-03","interview_Click2Money_000"
"q11","Virtual DOM","Click2Money","2024-06-03","interview_Click2Money_000"
"q12","React хуки, как работают основные","Click2Money","2024-06-03","interview_Click2Money_000"
"q13","useImperativeHandle что за хук","Click2Money","2024-06-03","interview_Click2Money_000"
"q14","Стратегии оптимизации в React","Click2Money","2024-06-03","interview_Click2Money_000"
"q15","Для чего TS","Click2Money","2024-06-03","interview_Click2Money_000"
"q16","Джейнерики, что это","Click2Money","2024-06-03","interview_Click2Money_000"
"q1","Что выведет консоль при выполнении console.log([...'Lydia'])","Click2Money","2024-06-03","interview_Click2Money_000"
"q2","Что выведет консоль при выполнении функции addToList, которая возвращает результат list.push(item), если вызвать addToList('apple', ['banana']) и вывести результат","Click2Money","2024-06-03","interview_Click2Money_000"
"q3","Написать функцию transform, которая преобразует массив объектов с полями name и value в объект с ключами из name и значениями из value, например [{name: 'name', value: 'Анатолий'}, {name: 'age', value: '40'}] преобразовать в { name: 'Анатолий', age: 40 }","Click2Money","2024-06-03","interview_Click2Money_000"
