"id","question_text","company","date","interview_id"
"q1","Расскажи про этапы обработки события в js","Название Компании Beget","2024-04-06","interview_Название_Компании_Beget_000"
"q2","Какие есть способы завести реактивную переменную во vue composition api и их особенности","Название Компании Beget","2024-04-06","interview_Название_Компании_Beget_000"
"q3","Какие есть модификаторы доступа атрибутов у класса (private, public, protect), в чем их отличия, и какой есть модификатор доступа в typescript (readonly)","Название Компании Beget","2024-04-06","interview_Название_Компании_Beget_000"
"q4","Что такое инъекция в ООП","Название Компании Beget","2024-04-06","interview_Название_Компании_Beget_000"
"q5","Что такое наследование в ООП","Название Компании Beget","2024-04-06","interview_Название_Компании_Beget_000"
"q6","Что такое статические атрибуты класса","Название Компании Beget","2024-04-06","interview_Название_Компании_Beget_000"
"q7","Что такое абстрактный класс и чем он отличается от обычного","Название Компании Beget","2024-04-06","interview_Название_Компании_Beget_000"
"q8","Расскажи про SOLID принципы","Название Компании Beget","2024-04-06","interview_Название_Компании_Beget_000"
"q9","Что происходит при вводе адреса сайта в браузер","Название Компании Beget","2024-04-06","interview_Название_Компании_Beget_000"
"q10","Как работает поиск ip адреса в dns сервере","Название Компании Beget","2024-04-06","interview_Название_Компании_Beget_000"
"q11","Какие знаешь гит команды и опиши последовательность их применений в работе над задачей","Название Компании Beget","2024-04-06","interview_Название_Компании_Beget_000"
"q12","Перечисли структуры данных в typescript","Название Компании Beget","2024-04-06","interview_Название_Компании_Beget_000"
"q13","Как можно указать тип массива в typescript","Название Компании Beget","2024-04-06","interview_Название_Компании_Beget_000"
"q14","Что такое бандл и чем он отличается от чанков","Название Компании Beget","2024-04-06","interview_Название_Компании_Beget_000"
"q15","Может ли бандл состоять из одного файла","Название Компании Beget","2024-04-06","interview_Название_Компании_Beget_000"
"q16","Какие типы хэшей знаешь в вебпаке","Название Компании Beget","2024-04-06","interview_Название_Компании_Beget_000"
"q17","Можно ли включить изображения в бандл, то есть не выгружать их с сервера, и как этого добиться","Название Компании Beget","2024-04-06","interview_Название_Компании_Beget_000"
"q18","Что будет выведено в консоль при выполнении кода: try { var a = 25; console.log(a); throw new Error() } catch (error) { console.log(a) } console.log(a)","Название Компании Beget","2024-04-06","interview_Название_Компании_Beget_000"
"q19","Будет ли вывод в консоли ошибки из колбэка setTimeout и как можно перехватить ошибку колбэка setTimeout, не затрагивая его колбэк","Название Компании Beget","2024-04-06","interview_Название_Компании_Beget_000"
"q20","Как можно перехватить ошибку промиса в setTimeout, не затрагивая его колбэк","Название Компании Beget","2024-04-06","interview_Название_Компании_Beget_000"
"q21","Что будет выведено в консоль при выполнении кода: const a = [1,2,3,4]; const b = [5,6,7,8]; a.concat(b); console.log(a)","Название Компании Beget","2024-04-06","interview_Название_Компании_Beget_000"
