"id","question_text","company","date","interview_id"
"q1","Что такое SOLID принципы в программировании","Evapps","2025-02-14","interview_Evapps_000"
"q2","Как на погружение обработать обработчик клика","Evapps","2025-02-14","interview_Evapps_000"
"q3","Что такое функция клинап и когда она отрабатывает","Evapps","2025-02-14","interview_Evapps_000"
"q4","Что такое git stash","Evapps","2025-02-14","interview_Evapps_000"
"q1","почему ушел с прошлого места","Evapps","2025-02-05","interview_Evapps_001"
"q2","что ищешь, на что внимание обращаешь","Evapps","2025-02-05","interview_Evapps_001"
"q3","как ЗП повышали или не повышали","Evapps","2025-02-05","interview_Evapps_001"
"q4","как развиваешься","Evapps","2025-02-05","interview_Evapps_001"
"q5","что такое Set и Map","Evapps","2025-02-05","interview_Evapps_001"
"q6","отличие useCallback vs useMemo","Evapps","2025-02-05","interview_Evapps_001"
"q7","расскажи про useEffect()","Evapps","2025-02-05","interview_Evapps_001"
"q1","Что выведет в консоли при выполнении кода с Object.assign и изменением вложенного объекта?","Evapps","2025-01-28","interview_Evapps_002"
"q2","Что выведет в консоли при деструктуризации объекта и массива: const { a, b } = obj; const [c, ...d] = arr; console.log(a, b, c, d);?","Evapps","2025-01-28","interview_Evapps_002"
"q3","Что выведет в консоли вызов функции foo(), где внутри функции объявлена переменная let x = 2, а до этого есть console.log(x)?","Evapps","2025-01-28","interview_Evapps_002"
"q4","Что выведет последовательность вызовов замыкания outer() с внутренней функцией inner(), которая увеличивает и выводит переменную a?","Evapps","2025-01-28","interview_Evapps_002"
"q5","В каком порядке в консоль выведутся сообщения при выполнении кода с setTimeout и Promise.resolve?","Evapps","2025-01-28","interview_Evapps_002"
"q6","Напишите функцию createC(a, b), которая принимает два объекта: a с произвольными свойствами и b с булевыми значениями, указывающими, какие свойства из a нужно включить в новый объект c","Evapps","2025-01-28","interview_Evapps_002"
"q7","Что такое замыкания?","Evapps","2025-01-28","interview_Evapps_002"
"q8","Что такое event-loop?","Evapps","2025-01-28","interview_Evapps_002"
"q9","Инициализируйте в базовом React-компоненте state с дефолтным значением","Evapps","2025-01-28","interview_Evapps_002"
