"id","question_text","company","date","interview_id"
"q1","Исправьте неправильные регулярные выражения и логику определения сложности пароля в компоненте PasswordStrength","Платежное Решение","2025-06-20","interview_Платежное_Решение_000"
"q2","Реализуйте оптимизированную фильтрацию пользователей с обработкой ошибок и отображением состояния загрузки в компоненте UserList","Платежное Решение","2025-06-20","interview_Платежное_Решение_000"
"q1","Опишите жизненный цикл React компонентов: shouldComponentUpdate, componentDidUpdate, componentDidMount, willUnmount, mount, unmount, update","Платежное Решение","2025-06-16","interview_Платежное_Решение_001"
"q2","Объясните использование useEffect для монтирования компонента и с возвратом функции анмаунт","Платежное Решение","2025-06-16","interview_Платежное_Решение_001"
"q3","Как работает обработка зависимостей (deps) в useEffect","Платежное Решение","2025-06-16","interview_Платежное_Решение_001"
"q4","Что такое Error boundary и как работает componentDidCatch в React","Платежное Решение","2025-06-16","interview_Платежное_Решение_001"
"q5","Объясните использование useMemo для кэширования результатов вычислений в React","Платежное Решение","2025-06-16","interview_Платежное_Решение_001"
"q6","Что такое короткоживущий кэш и как его реализовать","Платежное Решение","2025-06-16","interview_Платежное_Решение_001"
"q7","Объясните проблему race condition и способы её решения на примере React Query","Платежное Решение","2025-06-16","interview_Платежное_Решение_001"
"q8","Проведите проверку значений true, false, null, 0, 1, undefined в JavaScript и объясните их поведение","Платежное Решение","2025-06-16","interview_Платежное_Решение_001"
"q9","Объясните разницу и особенности операторов сравнения ?? и || в JavaScript","Платежное Решение","2025-06-16","interview_Платежное_Решение_001"
"q10","Опишите особенности логических операторов в JavaScript","Платежное Решение","2025-06-16","interview_Платежное_Решение_001"
"q11","Как уменьшить зависимости в проекте и провести рефакторинг с внедрением FSD архитектуры","Платежное Решение","2025-06-16","interview_Платежное_Решение_001"
"q12","Опишите методы оптимизации производительности: gzip сжатие, минификация и углификация, оптимизация SVG","Платежное Решение","2025-06-16","interview_Платежное_Решение_001"
"q13","Объясните работу с состояниями приложения: данные, загрузка, ошибки, кэширование состояний, изолированный layout","Платежное Решение","2025-06-16","interview_Платежное_Решение_001"
"q14","В чем разница между Pages Router и App Router в React","Платежное Решение","2025-06-16","interview_Платежное_Решение_001"
"q15","Опишите работу серверной части: Action server и серверные компоненты","Платежное Решение","2025-06-16","interview_Платежное_Решение_001"
"q16","Расскажите о стилизации в React: модульные стили, готовые решения, TailwindCSS","Платежное Решение","2025-06-16","interview_Платежное_Решение_001"
"q17","Опишите опыт работы с авторизацией на основе JWT и SSO","Платежное Решение","2025-06-16","interview_Платежное_Решение_001"
