"id","question_text","company","date","interview_id"
"q1","Имплементация TypeScript","Орнитех","2024-10-29","interview_Орнитех_000"
"q2","Для чего используется метод slice","Орнитех","2024-10-29","interview_Орнитех_000"
"q3","Что такое DevServer","Орнитех","2024-10-29","interview_Орнитех_000"
"q4","Что такое CORS и для чего он нужен","Орнитех","2024-10-29","interview_Орнитех_000"
"q5","В чем разница между http, https и websocket","Орнитех","2024-10-29","interview_Орнитех_000"
"q6","Что обеспечивает сертификат в контексте https","Орнитех","2024-10-29","interview_Орнитех_000"
"q7","Что такое ErrorBoundary в React","Орнитех","2024-10-29","interview_Орнитех_000"
"q8","Опишите жизненный цикл компонента в React","Орнитех","2024-10-29","interview_Орнитех_000"
"q9","Как работает хук useEffect в React","Орнитех","2024-10-29","interview_Орнитех_000"
"q10","Как использовать useState и как вернуться к предыдущему значению состояния","Орнитех","2024-10-29","interview_Орнитех_000"
"q11","Для чего используются useRef и forwardRef в React","Орнитех","2024-10-29","interview_Орнитех_000"
"q12","Для чего используется redux","Орнитех","2024-10-29","interview_Орнитех_000"
"q13","В чем разница и для чего нужны useMemo, useCallback и React.memo","Орнитех","2024-10-29","interview_Орнитех_000"
"q14","Опишите порядок выполнения event loop, включая микро- и макротаски","Орнитех","2024-10-29","interview_Орнитех_000"
"q15","Что такое поверхностное копирование объектов","Орнитех","2024-10-29","interview_Орнитех_000"
"q16","Как работают спред оператор и деструктуризация в JavaScript","Орнитех","2024-10-29","interview_Орнитех_000"
"q17","Что делает React.createContext()","Орнитех","2024-10-29","interview_Орнитех_000"
"q18","Как работает Promise.allSettled и в чем его особенности","Орнитех","2024-10-29","interview_Орнитех_000"
