"id","question_text","company","date","interview_id"
"q1","В какой команде бы хотел работать?","Cloud.Ru","2024-08-29","interview_Cloud.Ru_000"
"q2","Как относишься к больному темпу разработки?","Cloud.Ru","2024-08-29","interview_Cloud.Ru_000"
"q3","Как решал конфликтные вопросы?","Cloud.Ru","2024-08-29","interview_Cloud.Ru_000"
"q4","Что будешь делать, если начальник игнорирует твои идеи?","Cloud.Ru","2024-08-29","interview_Cloud.Ru_000"
"q5","Чем отличается синьер от мидла?","Cloud.Ru","2024-08-29","interview_Cloud.Ru_000"
"q6","Вопросы про общение с бизнесом?","Cloud.Ru","2024-08-29","interview_Cloud.Ru_000"
"q1","Объясните поведение функции fn, которая изменяет объект и выводит значения до и после вызова","Cloud.Ru","2024-08-22","interview_Cloud.Ru_001"
"q2","Задачи на промисы","Cloud.Ru","2024-08-22","interview_Cloud.Ru_001"
"q3","Что такое event-loop","Cloud.Ru","2024-08-22","interview_Cloud.Ru_001"
"q4","Что такое requestAnimationFrame и requestIdleCallback","Cloud.Ru","2024-08-22","interview_Cloud.Ru_001"
"q5","Объясните методы массивов в JavaScript","Cloud.Ru","2024-08-22","interview_Cloud.Ru_001"
"q6","Как прервать запросы с помощью AbortController и как это реализовать","Cloud.Ru","2024-08-22","interview_Cloud.Ru_001"
"q7","Что такое declare в TypeScript","Cloud.Ru","2024-08-22","interview_Cloud.Ru_001"
"q8","Обсуждение отличий unknown и any в TypeScript","Cloud.Ru","2024-08-22","interview_Cloud.Ru_001"
"q9","В чем разница между интерфейсами и типами в TypeScript","Cloud.Ru","2024-08-22","interview_Cloud.Ru_001"
"q10","Почему React считается библиотекой, а не фреймворком","Cloud.Ru","2024-08-22","interview_Cloud.Ru_001"
"q11","Назовите плюсы и минусы React","Cloud.Ru","2024-08-22","interview_Cloud.Ru_001"
"q12","Расскажите про процесс reconciliation в React","Cloud.Ru","2024-08-22","interview_Cloud.Ru_001"
"q13","Опишите этапы жизненного цикла компонента в React","Cloud.Ru","2024-08-22","interview_Cloud.Ru_001"
"q14","Опишите этапы рендеринга в React","Cloud.Ru","2024-08-22","interview_Cloud.Ru_001"
"q15","Подробно объясните useEffect и разницу с useLayoutEffect","Cloud.Ru","2024-08-22","interview_Cloud.Ru_001"
"q16","Что такое HOC (Higher-Order Component) в React","Cloud.Ru","2024-08-22","interview_Cloud.Ru_001"
"q17","Какие методы оптимизации существуют в React и в целом в фронтенде","Cloud.Ru","2024-08-22","interview_Cloud.Ru_001"
"q18","Объясните мемоизацию в React: memo, useMemo, useCallback","Cloud.Ru","2024-08-22","interview_Cloud.Ru_001"
"q19","Задача на рефакторинг компонента OrdersList с использованием BEM и TypeScript","Cloud.Ru","2024-08-22","interview_Cloud.Ru_001"
"q20","Объясните асинхронные скрипты в браузере","Cloud.Ru","2024-08-22","interview_Cloud.Ru_001"
"q21","Что такое tree shaking","Cloud.Ru","2024-08-22","interview_Cloud.Ru_001"
"q22","Что такое code splitting","Cloud.Ru","2024-08-22","interview_Cloud.Ru_001"
"q23","Объясните разницу между prefetch и preload","Cloud.Ru","2024-08-22","interview_Cloud.Ru_001"
"q24","Можно ли получить доступ к псевдоклассам и псевдоэлементам из JavaScript и как","Cloud.Ru","2024-08-22","interview_Cloud.Ru_001"
"q25","Какие существуют способы центровки элемента в CSS","Cloud.Ru","2024-08-22","interview_Cloud.Ru_001"
