"id","question_text","company","date","interview_id"
"q1","Что такое event-loop","Radium Finance","2024-12-17","interview_Radium_Finance_000"
"q2","Что такое замыкания","Radium Finance","2024-12-17","interview_Radium_Finance_000"
"q3","Реализуйте функцию getRoute, которая принимает массив точек и возвращает оптимальный маршрут","Radium Finance","2024-12-17","interview_Radium_Finance_000"
"q4","Реализуйте функцию parallelLimit, которая выполняет несколько асинхронных задач с ограничением по количеству одновременно выполняемых","Radium Finance","2024-12-17","interview_Radium_Finance_000"
"q1","Сделать так, чтобы в цикле с setTimeout выводилось [], [2], [2, 2]","Radium Finance","2024-08-11","interview_Radium_Finance_002"
"q2","Написать React-компонент с обработчиком события ресайза окна и реализовать отписку от события","Radium Finance","2024-08-11","interview_Radium_Finance_002"
"q3","Удалить из кода использование dangerouslySetInnerHTML для предотвращения XSS-атак","Radium Finance","2024-08-11","interview_Radium_Finance_002"
"q4","Удалить из функции строки кода, которые делают её нечистой (превратить функцию в чистую)","Radium Finance","2024-08-11","interview_Radium_Finance_002"
"q5","Как будешь реализовывать компонент со скриншота с списком чатов как в Telegram, на какой срок оценишь выполнение и почему","Radium Finance","2024-08-11","interview_Radium_Finance_002"
"q6","Про плюсы и минусы FSD (Feature-Sliced Design)","Radium Finance","2024-08-11","interview_Radium_Finance_002"
