"id","question_text","company","date","interview_id"
"q1","Как внедрял FSD в Next.js, учитывая, что Next.js не очень подходит под FSD архитектуру и существует атомарная архитектура, более подходящая для Next?","Igaming","2025-07-01","interview_Igaming_000"
"q2","Зачем использовался одновременно React Query и Zustand, если они оба являются стейт-менеджерами?","Igaming","2025-07-01","interview_Igaming_000"
"q3","Зачем использовали headless UI и как вносили правки в библиотеку?","Igaming","2025-07-01","interview_Igaming_000"
"q4","В чем отличие next build --standalone от обычного next build?","Igaming","2025-07-01","interview_Igaming_000"
"q5","С какими проблемами сталкивались при билде на Turbopack, например с next/image?","Igaming","2025-07-01","interview_Igaming_000"
"q6","Как реализовать offline-first PWA с использованием service worker, workbox build и indexedDB?","Igaming","2025-07-01","interview_Igaming_000"
"q7","В чем разница между Object, Map и Set?","Igaming","2025-07-01","interview_Igaming_000"
"q8","Отсортировать список слов по группам, где слова состоят из одинаковых букв, например: ['ab', 'ac', 'ba', 'ca'] --> [['ab','ac'], ['ba','ca']]","Igaming","2025-07-01","interview_Igaming_000"
"q9","Затипизировать функцию throttle в TypeScript так, чтобы убрать все ошибки, при этом throttle принимает функцию и задержку, и возвращает функцию с теми же параметрами, что и исходная функция","Igaming","2025-07-01","interview_Igaming_000"
"q10","Реализуйте React-компонент с кнопкой и таймером, которые начинаются с 10 и заканчиваются на 0, при этом отслеживать счетчик кликов по кнопке до истечения времени таймера, а кнопка должна исчезать после истечения времени таймера","Igaming","2025-07-01","interview_Igaming_000"
