company,rank,cluster_id,cluster_label,count,share
- Интеграционные Решения,1.0,9,9: сложности алгоритмов / typescript замыкание / react преимущества,8,1.0
- Ту Софт,1.0,9,9: сложности алгоритмов / typescript замыкание / react преимущества,10,1.0
07 Точка Маркетплейсы,1.0,9,9: сложности алгоритмов / typescript замыкание / react преимущества,1,1.0
65Apps,1.0,9,9: сложности алгоритмов / typescript замыкание / react преимущества,9,1.0
AEX Soft,1.0,9,9: сложности алгоритмов / typescript замыкание / react преимущества,8,1.0
ATI.su,1.0,9,9: сложности алгоритмов / typescript замыкание / react преимущества,21,1.0
Action Tech,1.0,9,9: сложности алгоритмов / typescript замыкание / react преимущества,8,1.0
Aggregate Digital,1.0,9,9: сложности алгоритмов / typescript замыкание / react преимущества,14,1.0
Agima,1.0,9,9: сложности алгоритмов / typescript замыкание / react преимущества,4,1.0
Aladdin,1.0,9,9: сложности алгоритмов / typescript замыкание / react преимущества,8,1.0
Alderasoft,1.0,9,9: сложности алгоритмов / typescript замыкание / react преимущества,16,1.0
Alfabit,1.0,9,9: сложности алгоритмов / typescript замыкание / react преимущества,6,1.0
Algorithmic Brains,1.0,9,9: сложности алгоритмов / typescript замыкание / react преимущества,9,1.0
Altenar,1.0,9,9: сложности алгоритмов / typescript замыкание / react преимущества,28,1.0
AmoCRM,1.0,9,9: сложности алгоритмов / typescript замыкание / react преимущества,29,1.0
Angie,1.0,9,9: сложности алгоритмов / typescript замыкание / react преимущества,15,1.0
Argo Studio,1.0,9,9: сложности алгоритмов / typescript замыкание / react преимущества,15,1.0
Automated Communication Solutions,1.0,9,9: сложности алгоритмов / typescript замыкание / react преимущества,9,1.0
Avito,1.0,9,9: сложности алгоритмов / typescript замыкание / react преимущества,5,1.0
Avs Consulting,1.0,9,9: сложности алгоритмов / typescript замыкание / react преимущества,19,1.0
BI.Zone,1.0,9,9: сложности алгоритмов / typescript замыкание / react преимущества,30,1.0
Bean Counter,1.0,9,9: сложности алгоритмов / typescript замыкание / react преимущества,3,1.0
Belitsoft,1.0,9,9: сложности алгоритмов / typescript замыкание / react преимущества,24,1.0
Bell Integrator,1.0,9,9: сложности алгоритмов / typescript замыкание / react преимущества,89,1.0
BetBoom,1.0,9,9: сложности алгоритмов / typescript замыкание / react преимущества,36,1.0
Bitrix24,1.0,9,9: сложности алгоритмов / typescript замыкание / react преимущества,3,1.0
Bitronics Lab,1.0,9,9: сложности алгоритмов / typescript замыкание / react преимущества,15,1.0
Bnd,1.0,9,9: сложности алгоритмов / typescript замыкание / react преимущества,7,1.0
Boomerang,1.0,9,9: сложности алгоритмов / typescript замыкание / react преимущества,11,1.0
Brainshell,1.0,9,9: сложности алгоритмов / typescript замыкание / react преимущества,26,1.0
Broad Apps,1.0,9,9: сложности алгоритмов / typescript замыкание / react преимущества,9,1.0
Broniboy Тех Скриннинг,1.0,9,9: сложности алгоритмов / typescript замыкание / react преимущества,5,1.0
CSSSR,1.0,9,9: сложности алгоритмов / typescript замыкание / react преимущества,2,1.0
Caltat,1.0,9,9: сложности алгоритмов / typescript замыкание / react преимущества,6,1.0
Centicore Solutions На Проект Go Invest,1.0,9,9: сложности алгоритмов / typescript замыкание / react преимущества,5,1.0
Ceramic3D,1.0,9,9: сложности алгоритмов / typescript замыкание / react преимущества,1,1.0
Clevertec,1.0,9,9: сложности алгоритмов / typescript замыкание / react преимущества,23,1.0
Click2Money,1.0,9,9: сложности алгоритмов / typescript замыкание / react преимущества,12,1.0
Cloud.Ru,1.0,9,9: сложности алгоритмов / typescript замыкание / react преимущества,25,1.0
Comagic,1.0,9,9: сложности алгоритмов / typescript замыкание / react преимущества,7,1.0
Consaltica,1.0,9,9: сложности алгоритмов / typescript замыкание / react преимущества,2,1.0
Cosysoft,1.0,9,9: сложности алгоритмов / typescript замыкание / react преимущества,19,1.0
Crtex,1.0,9,9: сложности алгоритмов / typescript замыкание / react преимущества,7,1.0
CubeLab,1.0,9,9: сложности алгоритмов / typescript замыкание / react преимущества,7,1.0
Darinsoft,1.0,9,9: сложности алгоритмов / typescript замыкание / react преимущества,11,1.0
