"id","question_text","company","date","interview_id"
"q1","Как ты понимаешь понятие функциональное программирование?","Lanit Bpm","2024-08-04","interview_Lanit_Bpm_000"
"q2","Можно ли использовать await без async?","Lanit Bpm","2024-08-04","interview_Lanit_Bpm_000"
"q3","Утилитарные типы в TypeScript?","Lanit Bpm","2024-08-04","interview_Lanit_Bpm_000"
"q4","Что такое type guard?","Lanit Bpm","2024-08-04","interview_Lanit_Bpm_000"
"q5","В чем отличие классовых компонентов от функциональных?","Lanit Bpm","2024-08-04","interview_Lanit_Bpm_000"
"q6","Что такое package-lock.json и что хранится в package.json?","Lanit Bpm","2024-08-04","interview_Lanit_Bpm_000"
"q7","Какие минусы у npm?","Lanit Bpm","2024-08-04","interview_Lanit_Bpm_000"
"q8","Как работает webpack module federation?","Lanit Bpm","2024-08-04","interview_Lanit_Bpm_000"
"q9","Что такое Nginx?","Lanit Bpm","2024-08-04","interview_Lanit_Bpm_000"
"q10","Как обрабатывали ошибки в RTK Query, например, неавторизованный пользователь?","Lanit Bpm","2024-08-04","interview_Lanit_Bpm_000"
"q11","Сколько создавали сторов?","Lanit Bpm","2024-08-04","interview_Lanit_Bpm_000"
"q12","Откуда узнаешь новости фронтенда?","Lanit Bpm","2024-08-04","interview_Lanit_Bpm_000"
"q13","Что интересного в React 19?","Lanit Bpm","2024-08-04","interview_Lanit_Bpm_000"
"q14","Способы авторизации","Lanit Bpm","2024-08-04","interview_Lanit_Bpm_000"
