"id","question_text","company","date","interview_id"
"q1","По пункту в резюме: как реализовано скачивание файлов в pdf","Alderasoft","2025-02-07","interview_Alderasoft_000"
"q2","В чем разница между null и undefined","Alderasoft","2025-02-07","interview_Alderasoft_000"
"q3","Что такое Symbol и зачем он нужен","Alderasoft","2025-02-07","interview_Alderasoft_000"
"q4","Пользовался ли var и почему не рекомендуется использовать эту переменную","Alderasoft","2025-02-07","interview_Alderasoft_000"
"q5","Можно ли через const изменить свойства объекта","Alderasoft","2025-02-07","interview_Alderasoft_000"
"q6","Можно ли сделать так, чтобы нельзя было менять свойства объекта (заморозить объект)","Alderasoft","2025-02-07","interview_Alderasoft_000"
"q7","Что такое замыкание","Alderasoft","2025-02-07","interview_Alderasoft_000"
"q8","Что такое event-loop","Alderasoft","2025-02-07","interview_Alderasoft_000"
"q9","Какие бывают виды функций, как работает контекст и какие есть методы сохранения контекста","Alderasoft","2025-02-07","interview_Alderasoft_000"
"q10","Можно ли применять bind/call/apply к стрелочным функциям и почему","Alderasoft","2025-02-07","interview_Alderasoft_000"
"q11","Расскажите все про промисы, включая статичные методы промиса, async/await и способы избегания callback hell","Alderasoft","2025-02-07","interview_Alderasoft_000"
"q12","Какие основные методы массива вы знаете","Alderasoft","2025-02-07","interview_Alderasoft_000"
"q13","Что такое AbortController и как отменять запросы с помощью axios","Alderasoft","2025-02-07","interview_Alderasoft_000"
"q14","Делали ли вы дженерики и в каких случаях, например в кастомных утилитах","Alderasoft","2025-02-07","interview_Alderasoft_000"
"q15","В чем разница между interface и type, что такое infer, и разница между any, unknown и never","Alderasoft","2025-02-07","interview_Alderasoft_000"
"q16","Расскажите кратко про React","Alderasoft","2025-02-07","interview_Alderasoft_000"
"q17","Какие способы оптимизации React-приложений вы знаете","Alderasoft","2025-02-07","interview_Alderasoft_000"
"q18","Сравните React, Vue и Angular","Alderasoft","2025-02-07","interview_Alderasoft_000"
"q19","Что такое хуки в React","Alderasoft","2025-02-07","interview_Alderasoft_000"
"q20","Что такое контекст в React, зачем он нужен и как работает","Alderasoft","2025-02-07","interview_Alderasoft_000"
"q21","Написать тип для функции multiplyBy2, которая является свойством функции sum: sum принимает два числа и возвращает число, sum.multiplyBy2 принимает два числа и возвращает число, равное sum(a,b) * 2","Alderasoft","2025-02-07","interview_Alderasoft_000"
