"id","question_text","company","date","interview_id"
"q1","Расскажи про свое последнее место работы","Perfect Panel","2024-11-12","interview_Perfect_Panel_000"
"q2","Какие тесты писали","Perfect Panel","2024-11-12","interview_Perfect_Panel_000"
"q3","Что такое вебсокеты","Perfect Panel","2024-11-12","interview_Perfect_Panel_000"
"q4","Что такое CORS","Perfect Panel","2024-11-12","interview_Perfect_Panel_000"
"q5","Как получать информацию между вкладками с учетом политики безопасности","Perfect Panel","2024-11-12","interview_Perfect_Panel_000"
"q6","Объясни работу local storage и session storage","Perfect Panel","2024-11-12","interview_Perfect_Panel_000"
"q7","Что такое семантическая верстка","Perfect Panel","2024-11-12","interview_Perfect_Panel_000"
"q8","Объясни работу метода forEach","Perfect Panel","2024-11-12","interview_Perfect_Panel_000"
"q9","Что такое Promise","Perfect Panel","2024-11-12","interview_Perfect_Panel_000"
"q10","Разница между var, let и const","Perfect Panel","2024-11-12","interview_Perfect_Panel_000"
"q11","Область видимости в JavaScript","Perfect Panel","2024-11-12","interview_Perfect_Panel_000"
"q12","Опыт с React и самооценка в React","Perfect Panel","2024-11-12","interview_Perfect_Panel_000"
"q13","Зачем нужен TypeScript","Perfect Panel","2024-11-12","interview_Perfect_Panel_000"
"q14","Что такое generic в TypeScript","Perfect Panel","2024-11-12","interview_Perfect_Panel_000"
