"id","question_text","company","date","interview_id"
"q1","О себе","Wildberries","2025-06-19","interview_Wildberries_000"
"q2","Почему использовали микрофронты?","Wildberries","2025-06-19","interview_Wildberries_000"
"q3","Можешь сравнить styled components и emotion? Рассказать плюсы и минусы?","Wildberries","2025-06-19","interview_Wildberries_000"
"q4","Что такое event loop и как он работает?","Wildberries","2025-06-19","interview_Wildberries_000"
"q5","Какие еще примеры макротасок знаешь, помимо setTimeout и setInterval?","Wildberries","2025-06-19","interview_Wildberries_000"
"q6","В какой момент в event loop происходит рендер?","Wildberries","2025-06-19","interview_Wildberries_000"
"q7","Какие минусы реакта?","Wildberries","2025-06-19","interview_Wildberries_000"
"q8","Минусы useContext?","Wildberries","2025-06-19","interview_Wildberries_000"
"q9","Если обновить tasks, то обновится ли ComponentB, если ComponentA и ComponentB используют разные значения из одного контекста?","Wildberries","2025-06-19","interview_Wildberries_000"
"q10","Проект очень маленький, всего несколько состояний. Коллега предлагает все состояния поместить в один контекст, обернуть контекстом приложение и доставать состояние там, где нужно. Ты бы одобрил такое решение?","Wildberries","2025-06-19","interview_Wildberries_000"
"q11","Если контекст будет пагубно влиять на приложение, будут лишние рендеры, будет лагать, что бы ты сделал?","Wildberries","2025-06-19","interview_Wildberries_000"
"q12","Примеры легковесных стейт менеджеров?","Wildberries","2025-06-19","interview_Wildberries_000"
"q13","Расскажи про useEffect, как он работает?","Wildberries","2025-06-19","interview_Wildberries_000"
"q14","Что выведет в консоли при использовании useEffect с пустым массивом зависимостей и функцией очистки?","Wildberries","2025-06-19","interview_Wildberries_000"
"q15","Что выведет в консоли при использовании useEffect с массивом зависимостей [abc], при изменении abc и размонтировании компонента?","Wildberries","2025-06-19","interview_Wildberries_000"
"q16","Как ты понимаешь, что функцию нужно оборачивать в useCallback?","Wildberries","2025-06-19","interview_Wildberries_000"
"q17","Нужно ли оборачивать функцию onClick в useCallback в компоненте Button?","Wildberries","2025-06-19","interview_Wildberries_000"
"q18","Как ты понимаешь, что нужно что-то обернуть в useMemo?","Wildberries","2025-06-19","interview_Wildberries_000"
"q19","Нужно ли оборачивать объект filters в useMemo, если он создается внутри компонента и используется в useEffect?","Wildberries","2025-06-19","interview_Wildberries_000"
"q20","В коде с компонентами Button и Content нужно правильно применить useMemo, useCallback и возможно memo для оптимизации рендеров","Wildberries","2025-06-19","interview_Wildberries_000"
"q21","Когда компонент нужно обернуть в memo?","Wildberries","2025-06-19","interview_Wildberries_000"
"q22","Как при помощи JavaScript отправить 20 файлов на сервер, если 1 запрос отсылает 1 файл? Нужно сделать 20 запросов","Wildberries","2025-06-19","interview_Wildberries_000"
"q23","Как отобразить на экране какие файлы не отправились (например, 1, 3 и 7 файл)?","Wildberries","2025-06-19","interview_Wildberries_000"
"q24","Есть таблица с 2000 пользователями, нужно оптимизировать рендеринг, чтобы не было пролагиваний. Предложи несколько вариантов решения","Wildberries","2025-06-19","interview_Wildberries_000"
"q25","Знаешь, как работает виртуализация?","Wildberries","2025-06-19","interview_Wildberries_000"
"q26","Есть колокольчик в хедере с красным кружочком и цифрой количества сообщений. Как реализовать реалтайм для этой цифры?","Wildberries","2025-06-19","interview_Wildberries_000"
"q27","Напиши реализацию функции Promise.all, которая принимает массив значений и промисов и возвращает промис с массивом результатов или ошибкой","Wildberries","2025-06-19","interview_Wildberries_000"
"q28","Как ты будешь работать с формами и валидацией? Какие библиотеки используешь?","Wildberries","2025-06-19","interview_Wildberries_000"
"q29","Сравни react-hook-form и formik","Wildberries","2025-06-19","interview_Wildberries_000"
"q1","Определить порядок вывода в консоль для следующего кода с использованием console.log, setTimeout и Promise.resolve().then","Wildberries","2025-06-10","interview_Wildberries_001"
"q2","Написать функцию по удалению дубликатов из массива двумя способами: с использованием Set и с использованием filter","Wildberries","2025-06-10","interview_Wildberries_001"
"q3","Отрефакторить React-компонент, который отображает список ключей, поддерживает генерацию новых ключей через API, удаление ключей, изменение визуального отображения использованных ключей, подсчет количества использованных ключей и обновление списка ключей каждые 30 секунд","Wildberries","2025-06-10","interview_Wildberries_001"
"q1","css: единицы измерения","Wildberries","2025-02-26","interview_Wildberries_002"
"q2","Какие есть свойства position в CSS","Wildberries","2025-02-26","interview_Wildberries_002"
"q3","Реализуйте задачу про флаг и CSS с учетом требований из примера","Wildberries","2025-02-26","interview_Wildberries_002"
"q4","Рассмотрите и проведите ревью предоставленного кода на GitHub с учетом лучших практик","Wildberries","2025-02-26","interview_Wildberries_002"
"q1","Какая команда, какой стек был, был ли опыт с е2е тестами","Wildberries","2025-02-26","interview_Wildberries_003"
"q1","Расскажи мазками где работал, чем занимался, про свои задачи, про команду.","Wildberries","2025-02-13","interview_Wildberries_004"
"q2","Как проводишь ревью, кто проводил, расскажи весь флоу, по какому принципу проводился ревью, на что обращалось внимание при ревью.","Wildberries","2025-02-13","interview_Wildberries_004"
"q3","Реализуйте функцию repeatify для строк, которая принимает число и возвращает строку, повторённую указанное количество раз.","Wildberries","2025-02-13","interview_Wildberries_004"
