"id","question_text","company","date","interview_id"
"q1","Расскажите про интересную задачу, связанную с функциональным программированием","Совкомбанк","2025-06-20","interview_Совкомбанк_000"
"q2","Расскажите про интересную задачу, связанную с объектно-ориентированным программированием","Совкомбанк","2025-06-20","interview_Совкомбанк_000"
"q1","Как сверстать кнопку","Совкомбанк","2025-02-07","interview_Совкомбанк_001"
"q2","Что такое семантическая верстка","Совкомбанк","2025-02-07","interview_Совкомбанк_001"
"q3","Объясните разницу между async и defer в HTML","Совкомбанк","2025-02-07","interview_Совкомбанк_001"
"q4","В чем разница между методами prepend, append и insertBefore в DOM","Совкомбанк","2025-02-07","interview_Совкомбанк_001"
"q5","Опишите процесс рендеринга страницы в браузере","Совкомбанк","2025-02-07","interview_Совкомбанк_001"
"q6","Что такое декораторы в JavaScript","Совкомбанк","2025-02-07","interview_Совкомбанк_001"
"q1","Кратко про опыт","Совкомбанк","2025-01-18","interview_Совкомбанк_002"
"q2","Что такое семантика","Совкомбанк","2025-01-18","interview_Совкомбанк_002"
"q3","Зачем скрипты вставляем снизу, а стили сверху","Совкомбанк","2025-01-18","interview_Совкомбанк_002"
"q4","Что такое Reset и Normalize.css","Совкомбанк","2025-01-18","interview_Совкомбанк_002"
"q5","Объясните box-sizing:border-box","Совкомбанк","2025-01-18","interview_Совкомбанк_002"
"q6","Что такое вспышка не стилизованного контента (FOUC)","Совкомбанк","2025-01-18","interview_Совкомбанк_002"
"q7","Что такое Critical CSS","Совкомбанк","2025-01-18","interview_Совкомбанк_002"
"q8","Объясните разницу между preload, prefetch и preconnect","Совкомбанк","2025-01-18","interview_Совкомбанк_002"
"q9","Объясните операторы ??, ?. , &&, ||=, &&=","Совкомбанк","2025-01-18","interview_Совкомбанк_002"
"q10","В чем разница между sort() и toSorted()","Совкомбанк","2025-01-18","interview_Совкомбанк_002"
"q11","Объясните разницу между function Person(){} и void function Person(){}()","Совкомбанк","2025-01-18","interview_Совкомбанк_002"
"q12","Объясните разницу между class и new","Совкомбанк","2025-01-18","interview_Совкомбанк_002"
"q13","Как сделать истинную константу для объекта","Совкомбанк","2025-01-18","interview_Совкомбанк_002"
"q14","Что такое дескрипторы свойств объекта","Совкомбанк","2025-01-18","interview_Совкомбанк_002"
"q15","Объясните атрибуты дескрипторов get и set","Совкомбанк","2025-01-18","interview_Совкомбанк_002"
"q16","Как сделать константу объекта внутри объекта, например obj.a.c","Совкомбанк","2025-01-18","interview_Совкомбанк_002"
"q17","Разница между Promise и await","Совкомбанк","2025-01-18","interview_Совкомбанк_002"
"q18","Как работают слушатели событий","Совкомбанк","2025-01-18","interview_Совкомбанк_002"
"q19","Как отписаться от событий, добавленных через addEventListener и onClick","Совкомбанк","2025-01-18","interview_Совкомбанк_002"
"q20","Что такое React Fiber","Совкомбанк","2025-01-18","interview_Совкомбанк_002"
"q21","Что такое Batching в React","Совкомбанк","2025-01-18","interview_Совкомбанк_002"
"q22","Как отключить Batching с помощью flushSync","Совкомбанк","2025-01-18","interview_Совкомбанк_002"
"q23","Что вызывает повторный рендер в React","Совкомбанк","2025-01-18","interview_Совкомбанк_002"
"q24","Объясните работу useMemo на примере компонента, который мемоизируется для избежания лишних ререндеров","Совкомбанк","2025-01-18","interview_Совкомбанк_002"
"q25","Разница между interface, type и абстрактными классами в TypeScript","Совкомбанк","2025-01-18","interview_Совкомбанк_002"
"q2","Интересные задачи","Совкомбанк","2025-01-16","interview_Совкомбанк_003"
"q3","Работал ли микрофронтами","Совкомбанк","2025-01-16","interview_Совкомбанк_003"
"q4","Что такое семантика? Для чего нужна?","Совкомбанк","2025-01-16","interview_Совкомбанк_003"
"q5","Что такое Reset и Normalize CSS?","Совкомбанк","2025-01-16","interview_Совкомбанк_003"
"q6","Что такое вендерный префикс и для чего он нужен?","Совкомбанк","2025-01-16","interview_Совкомбанк_003"
"q7","В чем разница между атрибутами defer и async при подключении скриптов?","Совкомбанк","2025-01-16","interview_Совкомбанк_003"
"q8","Что делает метод toSorted?","Совкомбанк","2025-01-16","interview_Совкомбанк_003"
"q9","Что означает оператор ?. (optional chaining)?","Совкомбанк","2025-01-16","interview_Совкомбанк_003"
"q10","Что делают операторы ||= и &&= ?","Совкомбанк","2025-01-16","interview_Совкомбанк_003"
"q11","Что такое spread оператор (…) и как он используется?","Совкомбанк","2025-01-16","interview_Совкомбанк_003"
"q12","Какие бывают функции в JavaScript и в чем их разница?","Совкомбанк","2025-01-16","interview_Совкомбанк_003"
"q13","Что такое this в JavaScript и как он работает?","Совкомбанк","2025-01-16","interview_Совкомбанк_003"
"q14","Что такое делегирование событий и как оно работает?","Совкомбанк","2025-01-16","interview_Совкомбанк_003"
"q15","Что такое event loop в JavaScript?","Совкомбанк","2025-01-16","interview_Совкомбанк_003"
"q16","Как можно повесить слушатель событий в нативном JavaScript?","Совкомбанк","2025-01-16","interview_Совкомбанк_003"
"q17","Что такое всплытие событий (event bubbling)?","Совкомбанк","2025-01-16","interview_Совкомбанк_003"
"q18","Что такое React, Virtual DOM, React Fiber и React Reconciliation?","Совкомбанк","2025-01-16","interview_Совкомбанк_003"
"q19","Во что компилируется JSX?","Совкомбанк","2025-01-16","interview_Совкомбанк_003"
"q20","Что такое типы Type, Interface и абстрактный класс в TypeScript?","Совкомбанк","2025-01-16","interview_Совкомбанк_003"
"q21","Как работает наследование в классах?","Совкомбанк","2025-01-16","interview_Совкомбанк_003"
"q1","Расскажи о своем опыте","Совкомбанк","2024-11-19","interview_Совкомбанк_004"
"q2","Причины ухода","Совкомбанк","2024-11-19","interview_Совкомбанк_004"
"q3","Назови 3 своих положительных качества и три отрицательных","Совкомбанк","2024-11-19","interview_Совкомбанк_004"
"q4","Расскажи о процессах которые идут после того как задача пришла от бизнеса","Совкомбанк","2024-11-19","interview_Совкомбанк_004"
"q5","Вопросы про команду, про стек, про взаимодействие в команде","Совкомбанк","2024-11-19","interview_Совкомбанк_004"
