"id","question_text","company","date","interview_id"
"q1","Исправить ошибку в коде, который должен для каждого объекта книги добавить массив отзывов, где reviews фильтруются по book_id, а не по id","Sarex","2025-03-05","interview_Sarex_000"
"q2","Что такое event-loop","Sarex","2025-03-05","interview_Sarex_000"
"q1","Как дела, настроение чем занимаешься вне программирования","Sarex","2024-10-27","interview_Sarex_001"
"q2","Как пришел в it","Sarex","2024-10-27","interview_Sarex_001"
"q3","Что такое ErrorBoundary","Sarex","2024-10-27","interview_Sarex_001"
"q4","Объясните реализацию функции debounce по коду и переименуйте функцию соответственно","Sarex","2024-10-27","interview_Sarex_001"
"q5","var/let/const: что будет если их вызвать до объявления","Sarex","2024-10-27","interview_Sarex_001"
"q6","В чем разница между undefined и null","Sarex","2024-10-27","interview_Sarex_001"
"q7","Что выведет в консоль код, где в if объявлена функция и ниже вызывается","Sarex","2024-10-27","interview_Sarex_001"
"q8","Работали ли вы с нейронными сетями","Sarex","2024-10-27","interview_Sarex_001"
"q9","Объясните особенности TypeScript: дженерики, Interface vs type","Sarex","2024-10-27","interview_Sarex_001"
"q1","Реализовать функцию, которая по массиву dataArray добавляет к каждому элементу свойство, значением которого является массив из всех элементов refArray с совпадающим block_id, учитывая, что в refArray могут быть несколько одинаковых block_id, при этом оптимизировать решение до сложности O(n)","Sarex","2024-10-27","interview_Sarex_001"
"q2","Объяснить, что выведет следующий код с замыканием: var i = 10; var array = []; while (i--) { array.push(function() { return i + i; }); } console.log([array[0](), array[1]()]); и как исправить код, чтобы функции возвращали ожидаемые значения","Sarex","2024-10-27","interview_Sarex_001"
"q3","Провести ревью React-кода с использованием useEffect, fetch, useCallback и useState","Sarex","2024-10-27","interview_Sarex_001"
