"id","question_text","company","date","interview_id"
"q1","Дополнить интерфейсы компонента Tree согласно приведенному примеру принимаемого типа данных data, избавиться от any там, где это возможно","Кловер Групп","2024-11-05","interview_Кловер_Групп_000"
"q2","Написать реализацию отображения элементов списка с раскрывающимися дочерними элементами по клику на иконку папки","Кловер Групп","2024-11-05","interview_Кловер_Групп_000"
"q3","Реализовать смену иконки папки с 'folder-close' на 'folder-open' после раскрытия элементов","Кловер Групп","2024-11-05","interview_Кловер_Групп_000"
"q4","Написать функцию для отображения иконок файлов в зависимости от их расширения (.tsx, .js), остальные файлы отображать с иконкой 'file'","Кловер Групп","2024-11-05","interview_Кловер_Групп_000"
"q5","Реализовать коллбеки onSelect и onExpand для обработки событий выбора элемента и раскрытия/закрытия папки","Кловер Групп","2024-11-05","interview_Кловер_Групп_000"
"q6","Расскажите подробно, как вы реализовали фичу, которую указали в резюме","Кловер Групп","2024-11-05","interview_Кловер_Групп_000"
"q1","Объясните, что такое event-loop","Кловер Групп","2024-05-22","interview_Кловер_Групп_001"
"q2","Что такое замыкания","Кловер Групп","2024-05-22","interview_Кловер_Групп_001"
"q3","Реализуйте функцию getRoute, которая принимает массив точек и возвращает оптимальный маршрут с учетом заданных ограничений","Кловер Групп","2024-05-22","interview_Кловер_Групп_001"
"q4","Реализуйте функцию parallelLimit, которая выполняет несколько асинхронных задач с ограничением на количество одновременно выполняемых задач","Кловер Групп","2024-05-22","interview_Кловер_Групп_001"
"q5","Реализуйте компонент React, который отображает дерево файлов с возможностью раскрытия и сворачивания папок","Кловер Групп","2024-05-22","interview_Кловер_Групп_001"
