"id","question_text","company","date","interview_id"
"q1","Рассказ про текущее место работы и интересные задачи","БКХ Еком","2025-07-08","interview_БКХ_Еком_000"
"q2","Какие были сложности на предыдущих проектах?","БКХ Еком","2025-07-08","interview_БКХ_Еком_000"
"q3","Какие направления в разработке интересны?","БКХ Еком","2025-07-08","interview_БКХ_Еком_000"
"q4","Объясните разницу между SSR, SSG и ISR","БКХ Еком","2025-07-08","interview_БКХ_Еком_000"
"q5","Как оптимизировать кеширование в ISR если на одном сервере запущено много инстансов одного приложения?","БКХ Еком","2025-07-08","interview_БКХ_Еком_000"
"q6","Можешь ли справляться с задачами самостоятельно?","БКХ Еком","2025-07-08","interview_БКХ_Еком_000"
"q7","Какую роль в команде занимал?","БКХ Еком","2025-07-08","interview_БКХ_Еком_000"
"q8","Расскажите о нетипичных задачах, где пришлось что-то специфичное писать","БКХ Еком","2025-07-08","interview_БКХ_Еком_000"
"q9","Сравните Vite, Webpack и Turbopack","БКХ Еком","2025-07-08","interview_БКХ_Еком_000"
"q10","Сравните node, deno и bun","БКХ Еком","2025-07-08","interview_БКХ_Еком_000"
"q11","Сравните eslint/prettier и biome","БКХ Еком","2025-07-08","interview_БКХ_Еком_000"
