"id","question_text","company","date","interview_id"
"q1","Разрешает ли нам redux хранить несколько стейтов?","Р-Софт","2025-03-25","interview_Р-Софт_000"
"q2","Нужно ли для сегковесных операций использовать redux?","Р-Софт","2025-03-25","interview_Р-Софт_000"
"q3","Как оптимизировать работу с загрузкой больших объемов данных по api (таблица)?","Р-Софт","2025-03-25","interview_Р-Софт_000"
"q4","Нужно ли мапить данные (изменять структуру), которые приходят с бекенда?","Р-Софт","2025-03-25","interview_Р-Софт_000"
"q5","Сделать код-ревью класса TennisGame и предложить улучшения","Р-Софт","2025-03-25","interview_Р-Софт_000"
"q6","Реализовать редьюсер stateReducer для управления состоянием теннисной игры с действиями addPlayer1Point, addPlayer2Point и getScore","Р-Софт","2025-03-25","interview_Р-Софт_000"
"q1","Сделать ревью и рефактор кода класса TennisGame и связанного с ним React-кода с использованием useReducer","Р-Софт","2025-02-24","interview_Р-Софт_001"
"q2","Объяснить принципы работы и преимущества использования useReducer в React для управления состоянием","Р-Софт","2025-02-24","interview_Р-Софт_001"
"q3","Что такое Redux и как он соотносится с useReducer в React?","Р-Софт","2025-02-24","interview_Р-Софт_001"
"q4","Объяснить основные концепции стейт-менеджеров в React","Р-Софт","2025-02-24","interview_Р-Софт_001"
