"id","question_text","company","date","interview_id"
"q1","Что драйвит и нравится в работе?","Clevertec","2025-07-15","interview_Clevertec_000"
"q2","Самые сложные задачи, с которыми сталкивались?","Clevertec","2025-07-15","interview_Clevertec_000"
"q3","Что наоборот не нравится в работе?","Clevertec","2025-07-15","interview_Clevertec_000"
"q4","Расскажи про факапы","Clevertec","2025-07-15","interview_Clevertec_000"
"q5","Что будет выведено в консоль при выполнении функции sayHi(), если phrase = 'Hello', а user объявлен внутри блока if с let?","Clevertec","2025-07-15","interview_Clevertec_000"
"q6","Что будет выведено в консоль при вызове foo.baz() и bar(), если baz — стрелочная функция, выводящая this?","Clevertec","2025-07-15","interview_Clevertec_000"
"q7","Что будет выведено в консоль при вызове функции showThis, если она дважды привязана через bind к разным объектам?","Clevertec","2025-07-15","interview_Clevertec_000"
"q8","Что произойдет при вызове метода pay экземпляра класса Customer после удаления метода из прототипа?","Clevertec","2025-07-15","interview_Clevertec_000"
"q9","Определите порядок вывода чисел в консоль при выполнении кода с setTimeout и Promise, учитывая event-loop и микротаски","Clevertec","2025-07-15","interview_Clevertec_000"
"q10","Реализуйте debounce функцию с настраиваемой задержкой и обработкой ошибок через try/catch","Clevertec","2025-07-15","interview_Clevertec_000"
"q11","Опишите, как можно реализовать индикатор загрузки (loading) при асинхронных операциях в React","Clevertec","2025-07-15","interview_Clevertec_000"
"q12","Реализуйте React-компонент ToDoList, который принимает массив задач и отображает их в виде списка","Clevertec","2025-07-15","interview_Clevertec_000"
"q13","Реализуйте React-компонент App, который загружает задачи по нажатию клавиши 'r' и отображает их с помощью ToDoList","Clevertec","2025-07-15","interview_Clevertec_000"
"q14","Напишите функцию, которая сортирует массив операций по дате и группирует их по году, при этом даты внутри года должны быть в формате MM-DD","Clevertec","2025-07-15","interview_Clevertec_000"
"q1","Какие задачи тебе нравятся?","Clevertec","2025-06-16","interview_Clevertec_001"
"q2","Что для тебя в приоритете в команде?","Clevertec","2025-06-16","interview_Clevertec_001"
"q3","Какая интересная задача была?","Clevertec","2025-06-16","interview_Clevertec_001"
"q4","Расскажи про свой факап?","Clevertec","2025-06-16","interview_Clevertec_001"
"q5","Какие редфлаги?","Clevertec","2025-06-16","interview_Clevertec_001"
"q6","Какие хобби?","Clevertec","2025-06-16","interview_Clevertec_001"
"q7","Объясните разницу между function declaration, function expression и стрелочными функциями","Clevertec","2025-06-16","interview_Clevertec_001"
"q8","Объясните контекст выполнения функций в JavaScript","Clevertec","2025-06-16","interview_Clevertec_001"
"q9","Как оптимизировать приложение?","Clevertec","2025-06-16","interview_Clevertec_001"
"q10","Какими хуками React вы пользуетесь?","Clevertec","2025-06-16","interview_Clevertec_001"
"q11","Объясните event-loop в JavaScript","Clevertec","2025-06-16","interview_Clevertec_001"
"q12","Что такое typeguard в TypeScript?","Clevertec","2025-06-16","interview_Clevertec_001"
"q13","В чем разница между type и interface в TypeScript?","Clevertec","2025-06-16","interview_Clevertec_001"
"q14","Что такое virtual DOM?","Clevertec","2025-06-16","interview_Clevertec_001"
"q16","Что выведет в консоль следующий код: let foo = { baz: function() { console.log(this); } }; foo.baz(); let bar = foo.baz; bar.bind(foo)();","Clevertec","2025-06-16","interview_Clevertec_001"
"q17","Что выведет в консоль следующий код: const a = { name: 'first object' }; const b = { name: 'second object' }; function showThis() { console.log(this); } const bindMe = showThis.bind(a).bind(b); bindMe();","Clevertec","2025-06-16","interview_Clevertec_001"
"q18","Что выведет в консоль следующий код: class Customer { constructor(name) { this.name = name; } } Customer.prototype.pay = function() { console.log(`Чек от месье ${this.name}`); }; const Ivan = new Customer(\\Ivan\\""); Ivan.pay(); delete Customer.prototype.pay; Ivan.pay();""","Clevertec","2025-06-16","interview_Clevertec_001"
"q19","Определите порядок вывода чисел в консоль при выполнении следующего кода с setTimeout и Promise","Clevertec","2025-06-16","interview_Clevertec_001"
"q20","Есть массив операций с датами и суммами. Необходимо отсортировать операции по дате и сгруппировать их по году, при этом в качестве значений представить массивы с датами в формате MM-DD. Отрефакторить предложенную функцию sortOperations для решения этой задачи","Clevertec","2025-06-16","interview_Clevertec_001"
