"id","question_text","company","date","interview_id"
"q1","Как попал в разработку","Funbox","2024-06-18","interview_Funbox_000"
"q2","Что такое BEM, опиши своими словами","Funbox","2024-06-18","interview_Funbox_000"
"q3","Что такое jwt авторизация","Funbox","2024-06-18","interview_Funbox_000"
"q4","Как работает кеширование в Nextjs, опиши 4 метода","Funbox","2024-06-18","interview_Funbox_000"
"q5","Что такое eventLoop","Funbox","2024-06-18","interview_Funbox_000"
"q6","В какой момент выполнится код из коллбека если в setTimeout указано 0","Funbox","2024-06-18","interview_Funbox_000"
"q7","Какие сложности возникают при запросах с фронтенда SPA на URL a.com к бэкенду на URL b.com без доступа к CORS и как помогает прокси сервер","Funbox","2024-06-18","interview_Funbox_000"
"q1","Определи что будет выведено в консоль после изменения объекта car2, учитывая что car2 создан через spread оператор от car1 и изменены brand, model и options.transmission","Funbox","2024-06-18","interview_Funbox_000"
"q2","Напиши решение в одну строку чтобы избавиться от finally в цепочке промисов с fetchData().then().catch().finally()","Funbox","2024-06-18","interview_Funbox_000"
"q3","Чему будет равно выражение 0.1 + 0.2 === 0.3, как избавиться от этой проблемы и почему так работает","Funbox","2024-06-18","interview_Funbox_000"
"q4","Что будет выведено в консоль при выполнении console.log(a() || b()) и при выполнении const x = a(); const y = b(); console.log(x || y); если a и b — разные функции","Funbox","2024-06-18","interview_Funbox_000"
"q5","Что будет выведено в консоль при выполнении кода с объектом obj, в который ключи — объекты a и b, а значения 10 и 20 соответственно, и выводе obj[a]","Funbox","2024-06-18","interview_Funbox_000"
"q6","Напиши функцию каррирования add, которая позволяет вызывать add(1)(2)(3)() и возвращать сумму всех аргументов","Funbox","2024-06-18","interview_Funbox_000"
"q7","Напиши React компонент формы с возможностью добавления любого количества инпутов по кнопке, валидацией ввода во всех инпутах и активацией кнопки 'Сохранить' только если во всех инпутах значение 'react'","Funbox","2024-06-18","interview_Funbox_000"
"q1","Написать функцию, которая соберет города с одинаковыми буквами в один массив","Funbox","2024-06-14","interview_Funbox_001"
"q2","Объяснить event-loop","Funbox","2024-06-14","interview_Funbox_001"
"q4","Расшифровать SOLID","Funbox","2024-06-14","interview_Funbox_001"
"q5","Объяснить разницу между flex и grid, где и что использовал","Funbox","2024-06-14","interview_Funbox_001"
"q6","Объяснить специфичность селекторов в CSS","Funbox","2024-06-14","interview_Funbox_001"
"q7","Какие тесты писал и как к ним относишься","Funbox","2024-06-14","interview_Funbox_001"
"q8","Отличия классовых компонентов от функциональных","Funbox","2024-06-14","interview_Funbox_001"
"q9","Что такое полиморфизм и инкапсуляция","Funbox","2024-06-14","interview_Funbox_001"
"q10","Что такое хук, какие знаешь, рассказать про правила хуков","Funbox","2024-06-14","interview_Funbox_001"
"q11","Что мы не можем написать на функциональных компонентах (например, Error Boundary)","Funbox","2024-06-14","interview_Funbox_001"
"q12","Зачем нужны стейтменеджеры, с какими знаком, когда не стал бы использовать стейтменеджер","Funbox","2024-06-14","interview_Funbox_001"
"q13","Какие преимущества и недостатки Redux знаешь","Funbox","2024-06-14","interview_Funbox_001"
"q14","Как доставляли приложение до клиента и про CI/CD","Funbox","2024-06-14","interview_Funbox_001"
