"id","question_text","company","date","interview_id"
"q1","Дизайнеры предоставили макет, какие теги использовать для интерактивных элементов?","Petshop","2025-05-12","interview_Petshop_000"
"q2","Как можно сверстать данный список с помощью CSS?","Petshop","2025-05-12","interview_Petshop_000"
"q3","Что произойдет при выполнении кода, если внутри функции выводится 'hello world', а снаружи 'hello undefined'?","Petshop","2025-05-12","interview_Petshop_000"
"q4","Что будет выведено на экране при выполнении кода, который выводит число 5?","Petshop","2025-05-12","interview_Petshop_000"
"q5","event-loop","Petshop","2025-05-12","interview_Petshop_000"
"q6","Что произойдет при выполнении кода, если в первом console.log будет undefined, а во втором 'John Doe'?","Petshop","2025-05-12","interview_Petshop_000"
"q7","Какой результат выполнения данного JSX кода?","Petshop","2025-05-12","interview_Petshop_000"
"q8","Как работает компонент с состоянием, если выводятся значения 2 и 4?","Petshop","2025-05-12","interview_Petshop_000"
"q9","Какого цвета будет ссылка согласно стилям?","Petshop","2025-05-12","interview_Petshop_000"
"q10","Вычислить количество пикселей, равное 240","Petshop","2025-05-12","interview_Petshop_000"
"q1","Написать React-компонент 'Корзина' с использованием хука useGetCard, который загружает данные карточек с имитацией асинхронного запроса, обрабатывает состояние загрузки и ошибки, и отображает список карточек с id, title и description","Petshop","2025-05-12","interview_Petshop_000"
"q2","Что такое замыкания","Petshop","2024-03-05","interview_Petshop_001"
"q1","Что такое event-loop","Petshop","2024-01-10","interview_Petshop_002"
