"id","question_text","company","date","interview_id"
"q1","Рассказать про опыт","Алабуга","2025-05-13","interview_Алабуга_000"
"q2","Что такое dom","Алабуга","2025-05-13","interview_Алабуга_000"
"q3","Элемент div как будет представлен","Алабуга","2025-05-13","interview_Алабуга_000"
"q4","Перечисли селекторы по весу убыванию","Алабуга","2025-05-13","interview_Алабуга_000"
"q5","Какие свойства есть у position","Алабуга","2025-05-13","interview_Алабуга_000"
"q6","Расскажи про css функции","Алабуга","2025-05-13","interview_Алабуга_000"
"q7","Псевдоклассы и псевдоэлементы","Алабуга","2025-05-13","interview_Алабуга_000"
"q8","transition timing function","Алабуга","2025-05-13","interview_Алабуга_000"
"q9","Как выровнять изображение по центру без потери качества","Алабуга","2025-05-13","interview_Алабуга_000"
"q10","Как по БЭМ сделать footer с 3 вариациями и как бы их назвал","Алабуга","2025-05-13","interview_Алабуга_000"
"q11","Преимущество SCSS","Алабуга","2025-05-13","interview_Алабуга_000"
"q12","Фреймворки для css","Алабуга","2025-05-13","interview_Алабуга_000"
"q13","Преимущество bootstrap","Алабуга","2025-05-13","interview_Алабуга_000"
"q14","Типы данных","Алабуга","2025-05-13","interview_Алабуга_000"
"q15","Разница между null и undefined","Алабуга","2025-05-13","interview_Алабуга_000"
"q16","typeof null","Алабуга","2025-05-13","interview_Алабуга_000"
"q17","Что такое замыкание","Алабуга","2025-05-13","interview_Алабуга_000"
"q18","Что такое this","Алабуга","2025-05-13","interview_Алабуга_000"
"q19","Что выведется в результате выполнения кода (вопрос на понимание вывода)","Алабуга","2025-05-13","interview_Алабуга_000"
"q20","Что такое promise","Алабуга","2025-05-13","interview_Алабуга_000"
"q21","Что выведется в результате выполнения другого кода (вопрос на понимание вывода)","Алабуга","2025-05-13","interview_Алабуга_000"
"q22","Как закрыть вебсокет соединение и какие аргументы принимает метод закрытия","Алабуга","2025-05-13","interview_Алабуга_000"
"q23","Какие события у вебсокет соединения можно отследить","Алабуга","2025-05-13","interview_Алабуга_000"
"q24","Что такое proto и prototype","Алабуга","2025-05-13","interview_Алабуга_000"
"q25","Что такое object case","Алабуга","2025-05-13","interview_Алабуга_000"
"q26","Что происходит при создании экземпляра класса","Алабуга","2025-05-13","interview_Алабуга_000"
"q27","Куда девается конструктор при создании экземпляра класса","Алабуга","2025-05-13","interview_Алабуга_000"
"q28","Что такое дженерик","Алабуга","2025-05-13","interview_Алабуга_000"
"q29","Вопросы про Utility Types в TypeScript","Алабуга","2025-05-13","interview_Алабуга_000"
"q2","Стандартные вопросы по js (var, let, const; this и т.п.)","Алабуга","2024-10-20","interview_Алабуга_001"
"q3","Рассказать про вебворкеры","Алабуга","2024-10-20","interview_Алабуга_001"
"q4","Работал ли с web sockets","Алабуга","2024-10-20","interview_Алабуга_001"
"q5","Отличие useEffect и useLayoutEffect","Алабуга","2024-10-20","interview_Алабуга_001"
"q6","Отличие any от unknown","Алабуга","2024-10-20","interview_Алабуга_001"
"q7","Батчинг","Алабуга","2024-10-20","interview_Алабуга_001"
"q8","Reconciliation в реакт","Алабуга","2024-10-20","interview_Алабуга_001"
"q9","Что такое дженерики в TS и зачем они нужны","Алабуга","2024-10-20","interview_Алабуга_001"
"q10","Реализация своей виртуализации без использования сторонних библиотек","Алабуга","2024-10-20","interview_Алабуга_001"
"q11","Реализовать функцию find(object, path), которая по строке пути с разделителем '.' возвращает значение из объекта или 'Invalid keys' если путь некорректен","Алабуга","2024-10-20","interview_Алабуга_001"
"q1","Расскажи про себя, про свой опыт.","Алабуга","2024-09-13","interview_Алабуга_002"
"q2","Что такое промис, какие методы у него есть?","Алабуга","2024-09-13","interview_Алабуга_002"
"q3","Что такое Web workers?","Алабуга","2024-09-13","interview_Алабуга_002"
"q4","Работал ли с websockets?","Алабуга","2024-09-13","interview_Алабуга_002"
"q5","Какие хуки использовал?","Алабуга","2024-09-13","interview_Алабуга_002"
"q6","Отличие useEffect и useLayoutEffect?","Алабуга","2024-09-13","interview_Алабуга_002"
"q7","Когда используем useMemo и useCallback?","Алабуга","2024-09-13","interview_Алабуга_002"
"q8","Можем ли написать функцию дебаунс с помощью useRef?","Алабуга","2024-09-13","interview_Алабуга_002"
"q9","Зачем используем useRef?","Алабуга","2024-09-13","interview_Алабуга_002"
"q10","Что такое Unit types в TypeScript (Null, Undefined, Void, Never, Unknown)?","Алабуга","2024-09-13","interview_Алабуга_002"
"q11","Что такое батчинг в React?","Алабуга","2024-09-13","interview_Алабуга_002"
"q12","Что такое дженерики в TypeScript своими словами? В чем отличие использования дженериков и просто any?","Алабуга","2024-09-13","interview_Алабуга_002"
"q13","Различие any и unknown в TypeScript?","Алабуга","2024-09-13","interview_Алабуга_002"
"q14","Работал ли с виртуализацией? Как реализуешь виртуализацию самостоятельно?","Алабуга","2024-09-13","interview_Алабуга_002"
"q15","У нас есть таймер на странице, который сделан с помощью setTimeout. Что происходит с таймером, когда пользователь сворачивает браузер? Как это исправить с помощью web worker?","Алабуга","2024-09-13","interview_Алабуга_002"
"q1","Как реализуешь свою виртуализацию","Алабуга","2024-05-24","interview_Алабуга_003"
"q2","Объясните разницу и применение Rest и спред операторов","Алабуга","2024-05-24","interview_Алабуга_003"
"q3","Объясните назначение и использование хуков useMemo и useCallback в React","Алабуга","2024-05-24","interview_Алабуга_003"
"q4","Перечислите и опишите способы клонирования объектов в JavaScript","Алабуга","2024-05-24","interview_Алабуга_003"
"q5","Объясните процесс согласования (reconciliation) в React и роль виртуального DOM","Алабуга","2024-05-24","interview_Алабуга_003"
