"id","question_text","company","date","interview_id"
"q1","Предыдущий опыт работы","Ртлабс","2025-02-25","interview_Ртлабс_000"
"q2","Как хранятся данные в браузере","Ртлабс","2025-02-25","interview_Ртлабс_000"
"q3","Разница между localStorage и Cookies","Ртлабс","2025-02-25","interview_Ртлабс_000"
"q4","Что такое IndexedDB","Ртлабс","2025-02-25","interview_Ртлабс_000"
"q5","Когда нужно использовать localStorage, а когда Cookies","Ртлабс","2025-02-25","interview_Ртлабс_000"
"q6","Способы взаимодействия между клиентом и сервером","Ртлабс","2025-02-25","interview_Ртлабс_000"
"q7","Что такое WebSocket и как работает","Ртлабс","2025-02-25","interview_Ртлабс_000"
"q8","Методы HTTP запросов","Ртлабс","2025-02-25","interview_Ртлабс_000"
"q9","Для чего каждый из HTTP методов используется","Ртлабс","2025-02-25","interview_Ртлабс_000"
"q10","Что такое цепочка прототипов","Ртлабс","2025-02-25","interview_Ртлабс_000"
"q11","Прототипное наследование: что это и как работает","Ртлабс","2025-02-25","interview_Ртлабс_000"
"q12","У каких объектов есть proto","Ртлабс","2025-02-25","interview_Ртлабс_000"
"q13","Что такое super и зачем он нужен","Ртлабс","2025-02-25","interview_Ртлабс_000"
"q14","Зачем нужно вызывать конструктор у родительского класса","Ртлабс","2025-02-25","interview_Ртлабс_000"
"q15","Что такое промисы","Ртлабс","2025-02-25","interview_Ртлабс_000"
"q16","Какие есть состояния у промисов","Ртлабс","2025-02-25","interview_Ртлабс_000"
"q17","Для чего нужен этап fulfilled и какое состояние его вызывает","Ртлабс","2025-02-25","interview_Ртлабс_000"
"q18","Когда в React компонент уходит на ререндер","Ртлабс","2025-02-25","interview_Ртлабс_000"
"q19","Как создать чистый компонент в классе","Ртлабс","2025-02-25","interview_Ртлабс_000"
"q20","Что такое VDOM","Ртлабс","2025-02-25","interview_Ртлабс_000"
"q21","Что такое эвритический алгоритм","Ртлабс","2025-02-25","interview_Ртлабс_000"
"q22","Механизм Reconciliation","Ртлабс","2025-02-25","interview_Ртлабс_000"
"q23","Для чего нужен key в React","Ртлабс","2025-02-25","interview_Ртлабс_000"
"q24","Почему key и ref находятся отдельно от объекта properties в React","Ртлабс","2025-02-25","interview_Ртлабс_000"
"q25","Что такое батчинг","Ртлабс","2025-02-25","interview_Ртлабс_000"
