"id","question_text","company","date","interview_id"
"q1","Объясните, почему блок try...catch не ловит ошибки из промисов и как работает обработка ошибок в цепочке промисов","06 Иц-Айтеко","2025-06-05","interview_06_Иц-Айтеко_000"
"q2","Проанализируйте вывод консольных логов в следующем коде: setTimeout(()=> console.log('setTimeout'), 0); console.log('scriptstart'); Promise.resolve().then(()=> { console.log(1); throw new Error('err'); console.log(100); }).then(()=> console.log(2)).then(()=> console.log(3))","06 Иц-Айтеко","2025-06-05","interview_06_Иц-Айтеко_000"
"q3","Как можно отрефакторить задачу с консольными логами, вынеся таблицу и логику запроса","06 Иц-Айтеко","2025-06-05","interview_06_Иц-Айтеко_000"
"q4","Зачем нужен React, объясните преимущества декларативности, виртуального DOM и процесса reconciliation","06 Иц-Айтеко","2025-06-05","interview_06_Иц-Айтеко_000"
"q5","Почему нельзя просто изменить текст в элементе через DOM API в React","06 Иц-Айтеко","2025-06-05","interview_06_Иц-Айтеко_000"
"q6","Объясните разницу между умным и глупым компонентом в React","06 Иц-Айтеко","2025-06-05","interview_06_Иц-Айтеко_000"
"q7","Перечислите и опишите методы жизненного цикла в React и работу хука useEffect","06 Иц-Айтеко","2025-06-05","interview_06_Иц-Айтеко_000"
"q8","Что такое замыкание, приведите пример замыкания на основе использования setState внутри useEffect","06 Иц-Айтеко","2025-06-05","interview_06_Иц-Айтеко_000"
"q9","Объясните назначение свойства key в React","06 Иц-Айтеко","2025-06-05","interview_06_Иц-Айтеко_000"
"q10","Какие правила хуков в React существуют и почему их нужно соблюдать","06 Иц-Айтеко","2025-06-05","interview_06_Иц-Айтеко_000"
"q11","Что такое JSX и можно ли использовать React без него","06 Иц-Айтеко","2025-06-05","interview_06_Иц-Айтеко_000"
