"id","question_text","company","date","interview_id"
"q1","Расскажите о вашем опыте работы","Афлт-Системс","2024-09-26","interview_Афлт-Системс_000"
"q2","Объясните основные принципы FSD (Feature-Sliced Design)","Афлт-Системс","2024-09-26","interview_Афлт-Системс_000"
"q3","Какие паттерны проектирования вы применяли в FSD и как именно?","Афлт-Системс","2024-09-26","interview_Афлт-Системс_000"
"q4","Как вы работали с UI Kit в своих проектах?","Афлт-Системс","2024-09-26","interview_Афлт-Системс_000"
"q5","В чем разница между версиями React?","Афлт-Системс","2024-09-26","interview_Афлт-Системс_000"
"q6","В чем разница между версиями Next.js?","Афлт-Системс","2024-09-26","interview_Афлт-Системс_000"
"q1","Где работал, какие задачи делал","Афлт-Системс","2024-08-06","interview_Афлт-Системс_001"
"q2","Копал про процессы","Афлт-Системс","2024-08-06","interview_Афлт-Системс_001"
"q3","Почему перешли на fsd","Афлт-Системс","2024-08-06","interview_Афлт-Системс_001"
"q4","Что добавилось в новых версиях реакта","Афлт-Системс","2024-08-06","interview_Афлт-Системс_001"
"q5","Про опыт замены сборщика","Афлт-Системс","2024-08-06","interview_Афлт-Системс_001"
"q6","Про архитектуру редакса","Афлт-Системс","2024-08-06","interview_Афлт-Системс_001"
"q7","Почему используют сторы а не реакт контекст","Афлт-Системс","2024-08-06","interview_Афлт-Системс_001"
"q8","Для чего использовали вебсокеты на проекте","Афлт-Системс","2024-08-06","interview_Афлт-Системс_001"
"q9","Отличие тестирования на cypress и jest","Афлт-Системс","2024-08-06","interview_Афлт-Системс_001"
"q10","git pull vs git merge","Афлт-Системс","2024-08-06","interview_Афлт-Системс_001"
"q11","Про ребейз","Афлт-Системс","2024-08-06","interview_Афлт-Системс_001"
"q12","Задача на вывод имени в документе с добавлением then для операции res.json() и корректировкой зависимостей в useEffect","Афлт-Системс","2024-08-06","interview_Афлт-Системс_001"
"q13","Задача на починку вывода списка по текущим фильтрам в селекте с использованием useState и фильтрацией массива пользователей по статусу","Афлт-Системс","2024-08-06","interview_Афлт-Системс_001"
